species_id	biome_id	gtdb_phylum	length	genome_type	AA	CB	CE	GH	GT	PL	total_cazy	cazy_density	genome_count	total_genes	core_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000000001	human-gut	Firmicutes_A	3221717	Isolate	0.0	1.0	0.0	20.0	15.0	0.0	36.0	11.174165825241634	4	3154	1350	0	0.0	0.4280279010779962
MGYG000000002	human-gut	Firmicutes_A	4441003	Isolate	0.0	4.0	0.0	32.0	21.0	0.0	57.0	12.834938413687178	359	28905	0	25633	0.8868015914201696	0.0
MGYG000000003	human-gut	Bacteroidota	3234232	Isolate	0.0	1.0	2.0	27.0	15.0	5.0	50.0	15.459620707481715	1181	14493	0	12075	0.8331608362657835	0.0
MGYG000000004	human-gut	Firmicutes_A	3707250	Isolate	0.0	1.0	0.0	9.0	6.0	0.0	16.0	4.31586755681435	25	5276	147	1595	0.3023123578468537	0.0278620166793025
MGYG000000008	human-gut	Firmicutes	1972012	Isolate	0.0	0.0	0.0	8.0	15.0	0.0	23.0	11.663215031145857	24	2959	30	1018	0.3440351470091247	0.0101385603244339
MGYG000000013	human-gut	Bacteroidota	6374953	Isolate	0.0	2.0	1.0	107.0	21.0	10.0	141.0	22.11781012346287	37	13927	229	7879	0.5657356214547282	0.0164428807352624
MGYG000000014	human-gut	Firmicutes_A	4567291	Isolate	0.0	7.0	0.0	49.0	24.0	0.0	80.0	17.51585348951928	74	9062	28	4596	0.5071728095343191	0.0030898256455528
MGYG000000015	human-gut	Proteobacteria	4889793	Isolate	1.0	6.0	2.0	46.0	42.0	0.0	97.0	19.83724055394574	5	5356	2953	0	0.0	0.55134428678118
MGYG000000016	human-gut	Firmicutes_A	2569277	Isolate	0.0	1.0	0.0	9.0	9.0	1.0	20.0	7.784291067097865	156	5393	0	2790	0.517337289078435	0.0
MGYG000000017	human-gut	Actinobacteriota	2178650	Isolate	0.0	1.0	0.0	8.0	15.0	0.0	24.0	11.015996144401347	43	3158	2	1168	0.369854338188727	0.0006333122229259
MGYG000000018	human-gut	Firmicutes_A	3285306	Isolate	0.0	3.0	0.0	27.0	13.0	1.0	44.0	13.392968569746625	374	8711	0	6219	0.7139249225117668	0.0
MGYG000000021	human-gut	Firmicutes	1947461	Isolate	0.0	1.0	0.0	3.0	15.0	0.0	19.0	9.756292937316845	14	2111	757	155	0.0734249171009	0.3585978209379441
MGYG000000022	human-gut	Firmicutes_A	3063217	Isolate	0.0	3.0	2.0	19.0	16.0	0.0	40.0	13.058167279693212	1258	16639	0	14429	0.8671795179998798	0.0
MGYG000000023	human-gut	Firmicutes	2135140	Isolate	0.0	2.0	1.0	17.0	17.0	0.0	37.0	17.329074440083556	16	2652	202	665	0.2507541478129713	0.0761689291101055
MGYG000000024	human-gut	Firmicutes_A	3643390	Isolate	0.0	1.0	0.0	16.0	13.0	0.0	30.0	8.234089680215403	4	4304	2809	0	0.0	0.6526486988847584
MGYG000000026	human-gut	Firmicutes	2532364	Isolate	0.0	1.0	0.0	10.0	20.0	0.0	31.0	12.24152609972342	281	6614	0	4225	0.6387964922890838	0.0
MGYG000000027	human-gut	Firmicutes_C	2395159	Isolate	0.0	1.0	1.0	7.0	16.0	0.0	25.0	10.43772041856094	215	4998	0	2959	0.5920368147258903	0.0
MGYG000000028	human-gut	Firmicutes_A	2459729	Isolate	0.0	3.0	0.0	12.0	16.0	0.0	31.0	12.60301439711448	218	7519	0	5266	0.7003590903045618	0.0
MGYG000000029	human-gut	Bacteroidota	4418465	Isolate	0.0	2.0	1.0	73.0	17.0	6.0	99.0	22.40597130451412	105	18180	13	14288	0.7859185918591859	0.0007150715071507
MGYG000000030	human-gut	Firmicutes_A	3027291	Isolate	0.0	9.0	0.0	21.0	12.0	0.0	42.0	13.873790131176683	94	7728	47	5174	0.6695134575569358	0.0060817805383022
MGYG000000031	human-gut	Firmicutes_A	3675824	Isolate	0.0	4.0	0.0	30.0	19.0	0.0	53.0	14.41853581673116	40	5620	2	2590	0.4608540925266904	0.0003558718861209
MGYG000000032	human-gut	Firmicutes_A	6979496	Isolate	0.0	6.0	2.0	84.0	26.0	4.0	122.0	17.47977217839225	150	16312	11	9397	0.5760789602746444	0.0006743501716527
MGYG000000033	human-gut	Firmicutes_A	3012737	Isolate	0.0	3.0	0.0	25.0	10.0	10.0	48.0	15.932356524980442	1330	15197	0	12715	0.8366782917681121	0.0
MGYG000000035	human-gut	Firmicutes_A	3531725	Isolate	0.0	5.0	0.0	16.0	18.0	0.0	39.0	11.042762389483894	28	4152	354	1006	0.2422928709055876	0.0852601156069364
MGYG000000036	human-gut	Firmicutes_A	2416064	Isolate	0.0	3.0	0.0	20.0	11.0	0.0	34.0	14.072474901327118	441	13454	0	11397	0.8471086665675636	0.0
MGYG000000037	human-gut	Firmicutes	2732957	Isolate	0.0	1.0	0.0	5.0	11.0	0.0	17.0	6.220368633681394	30	3841	156	1114	0.2900286383754231	0.0406144233272585
MGYG000000038	human-gut	Firmicutes_A	3126606	Isolate	0.0	3.0	0.0	16.0	18.0	0.0	37.0	11.833918312700735	577	18705	0	16218	0.8670408981555734	0.0
