gtdb_species_clade_id,n_phz_genes,has_phzA,has_phzB,has_phzD,has_phzF,has_phzG,has_phzS,has_phzM
s__Pseudomonas_E_khavaziana--RS_GCF_019145205.1,4,1,1,0,1,1,0,0
s__Jiangella_alba--RS_GCF_900106035.1,3,0,0,0,1,1,1,0
s__Microbispora_triticiradicis--GB_GCA_003260025.2,4,0,1,0,1,1,1,0
s__Xenorhabdus_ehlersii--RS_GCF_003610465.1,3,0,0,0,1,0,1,1
s__Xenorhabdus_stockiae--RS_GCF_002632825.1,3,0,0,0,1,0,1,1
s__Streptomyces_sioyaensis--RS_GCF_004122735.1,3,0,0,0,1,1,1,0
s__Pseudomonas_aeruginosa--RS_GCF_001457615.1,7,1,1,1,1,1,1,1
s__Burkholderia_cepacia--RS_GCF_001411495.1,3,0,0,0,1,1,1,0
s__Streptomyces_sporangiiformans--RS_GCF_005768555.2,3,0,0,0,1,1,1,0
s__Streptomyces_litmocidini--RS_GCF_014649755.1,3,0,0,0,1,1,1,0
s__Pseudomonas_aeruginosa_A--RS_GCF_000017205.1,6,1,1,1,1,1,0,1
s__Streptomyces_anulatus_C--RS_GCF_000721175.1,3,0,1,0,1,1,0,0
s__Streptomyces_hawaiiensis--RS_GCF_004803895.1,5,0,1,1,1,1,1,0
s__Streptomyces_spororaveus--RS_GCF_016755875.1,3,0,0,0,1,1,1,0
s__Xenorhabdus_hominickii--RS_GCF_002632725.1,4,0,0,1,1,0,1,1
s__Streptomyces_himastatinicus--RS_GCF_000158915.1,4,0,0,1,1,1,1,0
s__Pseudomonas_E_lini--RS_GCF_001042905.1,4,1,1,0,1,1,0,0
s__Streptomyces_kanasensis--RS_GCF_001484625.1,3,0,0,0,1,1,1,0
s__Pseudomonas_E_gingeri_C--RS_GCF_013386165.1,3,0,1,0,1,1,0,0
s__Xenorhabdus_griffiniae_A--RS_GCF_001028135.1,3,0,0,1,1,0,0,1
s__Pseudomonas_E_sp012985465--RS_GCF_012985465.1,4,1,1,0,1,1,0,0
s__Streptomyces_sp000720765--RS_GCF_000720765.1,3,0,1,0,1,1,0,0
s__Lysobacter_antibioticus--RS_GCF_001442535.1,5,0,0,1,1,1,1,1
s__Streptomyces_sp002847285--RS_GCF_002847285.1,3,0,0,0,1,1,1,0
s__CADEDU01_sp902826155--GB_GCA_902826155.1,3,0,0,0,1,0,1,1
s__Nocardiopsis_terrae--RS_GCF_014651695.1,3,0,0,0,1,1,1,0
s__Streptomyces_sp000772045--RS_GCF_000772045.1,4,0,0,1,1,1,1,0
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,5,1,1,0,1,1,1,0
s__Pseudomonas_E_orientalis_B--RS_GCF_022807995.1,4,1,1,0,1,1,0,0
s__Xenorhabdus_cabanillasii--RS_GCF_003386665.1,4,0,1,0,1,1,0,1
s__Streptomyces_iakyrus--RS_GCF_000717055.1,4,0,0,1,1,1,1,0
s__Nocardiopsis_dassonvillei--RS_GCF_000092985.1,3,0,0,0,1,1,1,0
s__Pseudomonas_E_chlororaphis--RS_GCF_003945765.1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_orientalis--RS_GCF_001439815.1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_sp012935755--RS_GCF_012935755.1,4,1,1,0,1,1,0,0
s__Streptomyces_flaveus--RS_GCF_014647675.1,4,0,1,1,1,1,0,0
s__Saccharopolyspora_pogona--RS_GCF_014697215.1,3,0,0,0,1,1,1,0
s__Streptomyces_spiroverticillatus--GB_GCA_014650415.1,4,0,1,1,1,1,0,0
s__Streptomyces_fildesensis--RS_GCF_016107395.1,3,0,0,0,1,1,1,0
s__Spirillospora_latina--RS_GCF_001552195.1,3,0,0,0,1,1,1,0
s__Microbispora_amethystogenes--RS_GCF_016863015.1,4,0,1,0,1,1,1,0
s__Streptomyces_sp010384365--RS_GCF_010384365.1,4,0,1,0,1,1,1,0
s__Pseudomonas_E_yamanorum--RS_GCF_900105735.1,4,1,1,0,1,1,0,0
s__Kitasatospora_purpeofusca--RS_GCF_000718025.1,3,0,0,0,1,1,1,0
s__Nonomuraea_parvosata--RS_GCF_900323885.1,3,0,0,0,1,1,1,0
s__Nocardiopsis_sp009830945--RS_GCF_009830945.1,3,0,0,0,1,1,1,0
s__Pseudomonas_E_synxantha--RS_GCF_900105675.1,4,1,1,0,1,1,0,0
s__Streptomyces_venezuelae_B--RS_GCF_008642355.1,3,0,0,0,1,1,1,0
s__Pseudomonas_E_orientalis_A--RS_GCF_002934065.1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_libanensis--RS_GCF_001439685.1,4,1,1,0,1,1,0,0
s__Streptomyces_mirabilis--GB_GCA_001550305.1,3,0,0,0,1,1,1,0
s__Microbispora_hainanensis--RS_GCF_006874475.1,4,0,1,0,1,1,1,0
s__Streptomyces_silaceus--RS_GCF_001419745.1,3,0,0,0,1,1,1,0
s__Microbispora_bryophytorum--RS_GCF_006874465.1,4,0,1,0,1,1,1,0
s__Lysobacter_antibioticus_B--RS_GCF_000731095.1,5,0,0,1,1,1,1,1
s__Pseudomonas_E_sp003014915--RS_GCF_003852315.1,4,1,1,0,1,1,0,0
s__Streptomyces_bryophytorum--RS_GCF_016916835.1,3,0,1,0,1,1,0,0
s__Streptomyces_glaucescens--RS_GCF_002154375.1,3,0,0,0,1,1,1,0
s__Pseudomonas_E_sp003852235--RS_GCF_003852235.1,4,1,1,0,1,1,0,0
s__Microbispora_aerata--RS_GCF_014647835.1,4,0,1,0,1,1,1,0
s__Streptomyces_sp016654115--RS_GCF_016654115.1,3,0,0,0,1,1,1,0
s__Streptomyces_purpureus--RS_GCF_014648195.1,5,0,1,1,1,1,1,0
s__Xenorhabdus_szentirmaii--RS_GCF_002632585.1,4,0,1,1,1,0,1,0
