locusId	sysName	scaffoldId	begin	end	strand	type	desc
MMP_RS00005	MMP_RS00005	NC_005791.1	68	182	-	2	5S ribosomal RNA
MMP_RS00010	MMP_RS00010	NC_005791.1	239	3206	-	2	23S ribosomal RNA
MMP_RS00015	MMP_RS00015	NC_005791.1	3353	4819	-	2	16S ribosomal RNA
MMP_RS00020	MMP_RS00020	NC_005791.1	5109	5223	-	2	5S ribosomal RNA
MMP_RS00025	MMP_RS00025	NC_005791.1	5280	8247	-	2	23S ribosomal RNA
MMP_RS00030	MMP_RS00030	NC_005791.1	8394	9860	-	2	16S ribosomal RNA
MMP_RS00035	MMP_RS00035	NC_005791.1	10104	10385	+	1	DUF2098 family protein
MMP_RS00040	MMP_RS00040	NC_005791.1	10416	11480	+	1	TIGR03576 family pyridoxal phosphate-dependent enzyme
MMP_RS00045	MMP_RS00045	NC_005791.1	11517	12608	-	1	2-oxoacid:acceptor oxidoreductase subunit alpha
MMP_RS00050	MMP_RS00050	NC_005791.1	12647	13543	-	1	AarF/UbiB family protein
MMP_RS00055	MMP_RS00055	NC_005791.1	13625	15208	-	1	DUF2254 domain-containing protein
MMP_RS00060	MMP_RS00060	NC_005791.1	15336	16421	+	1	3-dehydroquinate synthase II
MMP_RS00065	MMP_RS00065	NC_005791.1	16803	17573	+	1	geranylgeranylglyceryl/heptaprenylglyceryl phosphate synthase
MMP_RS00070	MMP_RS00070	NC_005791.1	17602	19359	-	1	DNA-directed DNA polymerase II small subunit
MMP_RS00075	MMP_RS00075	NC_005791.1	19370	20479	-	1	hypothetical protein
MMP_RS00080	MMP_RS00080	NC_005791.1	20506	20931	-	1	RecB-family nuclease
MMP_RS00085	MMP_RS00085	NC_005791.1	20974	22041	-	1	DNA cytosine methyltransferase
MMP_RS00090	MMP_RS00090	NC_005791.1	22111	22560	+	1	CoA-binding protein
MMP_RS00095	MMP_RS00095	NC_005791.1	22602	24047	+	1	argininosuccinate lyase
MMP_RS00100	MMP_RS00100	NC_005791.1	24061	25230	-	1	tRNA pseudouridine(13) synthase TruD
MMP_RS00105	MMP_RS00105	NC_005791.1	25243	26046	-	1	hypothetical protein
MMP_RS00110	MMP_RS00110	NC_005791.1	26061	26552	-	1	hypothetical protein
MMP_RS00115	MMP_RS00115	NC_005791.1	26673	27725	-	1	radical SAM protein
