locusId	sysName	scaffoldId	begin	end	strand	type	desc
Pf1N1B4_1		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	1060	1620	-	1	Colicin V production protein
Pf1N1B4_2		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	1719	2390	-	1	DedD protein
Pf1N1B4_3		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	2374	3681	-	1	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
Pf1N1B4_4		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	3678	4598	-	1	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)
Pf1N1B4_5		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	4782	4922	-	1	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)
Pf1N1B4_6		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	4964	5401	-	1	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)
Pf1N1B4_7		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	5465	6319	-	1	tRNA pseudouridine synthase A (EC 4.2.1.70)
Pf1N1B4_8		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	6476	7777	+	1	Mobile element protein
Pf1N1B4_9		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	7960	10593	-	1	Probable type IV pilus assembly FimV-related transmembrane protein
Pf1N1B4_10		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	10802	11812	-	1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
Pf1N1B4_11		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	12093	13205	-	1	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
Pf1N1B4_12		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	13273	14355	-	1	3-isopropylmalate dehydrogenase (EC 1.1.1.85)
Pf1N1B4_13		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	14449	15216	-	1	SAM-dependent methyltransferase YafE (UbiE paralog)
Pf1N1B4_14		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	15369	16013	-	1	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)
Pf1N1B4_15		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	16025	17443	-	1	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)
Pf1N1B4_16		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	17602	18492	+	1	Cys regulon transcriptional activator CysB
Pf1N1B4_17		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	18598	21855	+	1	Sensory box/GGDEF family protein
Pf1N1B4_18		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	21959	22405	-	1	16 kDa heat shock protein A
Pf1N1B4_19		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	22526	23485	-	1	tRNA-dihydrouridine synthase C (EC 1.-.-.-)
Pf1N1B4_20		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	23652	24101	-	1	FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein
Pf1N1B4_21		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	24150	24983	-	1	Probable hydrolase
Pf1N1B4_22		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	25014	25553	-	1	Transcriptional regulator, TetR family
Pf1N1B4_5160		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	25739	25811	-	5	tRNA-Glu-TTC
Pf1N1B4_5161		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	25894	25966	-	5	tRNA-Ala-GGC
Pf1N1B4_5162		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	26023	26095	-	5	tRNA-Glu-TTC
Pf1N1B4_5163		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	26178	26250	-	5	tRNA-Ala-GGC
Pf1N1B4_23		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	26441	26560	-	1	Glutamyl-tRNA synthetase (EC 6.1.1.17)
Pf1N1B4_24		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	26536	27849	-	1	Glutamyl-tRNA synthetase (EC 6.1.1.17)
Pf1N1B4_25		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	27820	27942	+	1	hypothetical protein
Pf1N1B4_26		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	28200	30215	-	1	Excinuclease ABC subunit B
Pf1N1B4_27		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	30553	31749	+	1	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aromatic-amino-acid aminotransferase (EC 2.6.1.57)
Pf1N1B4_28		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	31985	32185	+	1	FIG00958186: hypothetical protein
Pf1N1B4_29		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	32182	32412	-	1	FIG00967200: hypothetical protein
Pf1N1B4_5164		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	32638	32710	+	5	tRNA-Asn-GTT
Pf1N1B4_30		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	32813	35899	-	1	Cation efflux system protein
Pf1N1B4_31		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	35896	37017	-	1	Probable Co/Zn/Cd efflux system membrane fusion protein
Pf1N1B4_32		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	37197	37817	-	1	Transcriptional regulator, TetR family
Pf1N1B4_33		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	37992	39422	+	1	Outer membrane component of tripartite multidrug resistance system
Pf1N1B4_34		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	39575	41029	-	1	Xanthine permease
Pf1N1B4_35		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	41462	41629	+	1	hypothetical protein
Pf1N1B4_36		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	41633	41977	+	1	hypothetical protein
Pf1N1B4_37		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	42059	42898	-	1	N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118)
Pf1N1B4_38		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	43012	43806	-	1	Exodeoxyribonuclease III (EC 3.1.11.2)
Pf1N1B4_39		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	43907	46477	-	1	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
Pf1N1B4_40		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	46683	48254	-	1	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
Pf1N1B4_41		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	48622	49104	+	1	hypothetical protein
Pf1N1B4_42		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	49101	50606	-	1	hypothetical protein
Pf1N1B4_43		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	50934	51638	+	1	hypothetical protein
Pf1N1B4_44		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	51784	53577	+	1	Multicopper oxidase
Pf1N1B4_45		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	53588	54478	+	1	Copper resistance protein B
Pf1N1B4_46		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	54534	54917	+	1	Copper resistance protein C precursor
Pf1N1B4_47		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	54921	55850	+	1	Copper resistance protein D
Pf1N1B4_48		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	55996	56406	+	1	hypothetical protein
Pf1N1B4_49		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	56437	56643	+	1	hypothetical protein
Pf1N1B4_50		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	56807	56989	+	1	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
Pf1N1B4_51		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	57079	57348	+	1	hypothetical protein
Pf1N1B4_52		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	57686	58144	+	1	FIG00956056: hypothetical protein
Pf1N1B4_53		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	58151	58342	+	1	hypothetical protein
Pf1N1B4_54		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	58537	59328	+	1	Cyclohexadienyl dehydratase (EC 4.2.1.51)(EC 4.2.1.91)
Pf1N1B4_55		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	59566	59892	-	1	FIG00961388: hypothetical protein
Pf1N1B4_56		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	60625	60987	+	1	Tryptophan synthase beta chain like (EC 4.2.1.20)
Pf1N1B4_57		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	61248	62186	+	1	tRNA dihydrouridine synthase A
Pf1N1B4_58		unitig_2|quiver.unitig_0|quiver.unitig_1|quiver|pilon	62365	63291	+	1	Transaldolase (EC 2.2.1.2)
