genome_id	environment	t3ss_type	biofilm_type	pel_count	psl_count	exoS	exoT	exoU	exoY	gacS	ladS	pelA	pelB	pelC	pelD	pelE	pelF	pelG	pslA	pslC	pslD	pslE	pslF	pslG	pslH	pslI	pslJ	pslK	pslL	retS
GB_GCA_000258285.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
GB_GCA_000751715.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_000825745.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001060205.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
GB_GCA_001060395.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001060745.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	6	11	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001061455.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
GB_GCA_001062205.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001062775.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001062785.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001063435.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001063615.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001064395.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	10	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
GB_GCA_001065055.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001065155.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001066435.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	6	6	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1
GB_GCA_001066465.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	6	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1
GB_GCA_001067805.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001067815.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
