claim_id	claim_text	source_notebook	source_cell	figure_or_table	effect_size_present	ci_present	pvalue_present	notes
C-001	Δfur-vs-4584-logFC Spearman ρ = 0.315, p = 2.08e-03 over 93 Leaden Δfur DEGs	01_leaden2018_fur_signature.ipynb	5	Finding 1; NB01_fur_signature_scatter.png	yes	no	yes	Correlation coefficient ρ is the effect size; Spearman test from scipy.stats
C-002	71% sign concordance between Leaden Δfur and 4584-vs-4580 contrast	01_leaden2018_fur_signature.ipynb	5	Finding 1	no	no	no	Descriptive percentage; no statistical test reported
C-003	53 of 93 Leaden Δfur DEGs are buffered (logFC ~0 in 4584-vs-4580)	01_leaden2018_fur_signature.ipynb	5	Finding 1	no	no	no	Count of genes in SspB-buffered set
C-004	Genome background phenotype-bearing rate = 33.25% (|fitness t| > 4 in ≥2 envelope-stress experiments)	02_caulo_fitness_ranking.ipynb	9	Finding 2; Hypothesis scorecard	no	no	no	n=3943 genes; K=1311 phenotype-bearing; baseline for enrichment test
C-005	Path A (concordant_strong): 32 genes, 17 phenotype-bearing = 53.1%, fold=1.60×, p=0.016	02b_h2_hypergeometric_verdict.ipynb	2	Finding 2; Hypothesis scorecard H2 Path A	yes	no	yes	Fold-enrichment vs background; hypergeometric test
C-006	Path B (SspB-buffered): 26 genes, 9 phenotype-bearing = 34.6%, fold=1.04×, p=0.515	02b_h2_hypergeometric_verdict.ipynb	2	Finding 2; Hypothesis scorecard H2 Path B	yes	no	yes	Fold-enrichment vs background; not enriched
C-007	ChvT (CCNA_03108) |t| = 43.7 under envelope stress	02_caulo_fitness_ranking.ipynb	9	Finding 2	yes	no	no	Test statistic (t-value) from fitness ranking
C-008	Fur-derepressed TBDTs (CCNA_02910, 00210, 02048, 00028) |t| 9-28 under envelope stress	02_caulo_fitness_ranking.ipynb	9	Finding 2	yes	no	no	Range of test statistics for TBDT set
C-009	ChvI regulon union (Stein 2021 + Quintero-Yanes 2022) = 488 genes	03_chvi_phase_partition_sigU.ipynb	6	Finding 3	no	no	no	Reference set gene count; denominator for partition
C-010	ChvI phase structure: unique-to-early=20, both-phases=10, late-consequence=49 (disjoint partition)	03_chvi_phase_partition_sigU.ipynb	7	Finding 3; Hypothesis scorecard H1	no	no	no	Meets pre-registered ≥10 genes per cohort threshold
C-011	Lasso peptide cyclase CCNA_02794 logFC = +8.6 in 4584-vs-4580	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	logFC (effect size) for unique-to-early ChvI target
C-012	ApbE iron-sulfur cluster repair protein logFC = +3.8 in 4584-vs-4580	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	logFC for unique-to-early ChvI target
C-013	imuB SOS DNA polymerase logFC = +1.5 in 4584-vs-4580	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	logFC for unique-to-early ChvI target; validates Leaden SOS finding
C-014	ChvI itself (CCNA_00237) logFC = +1.45 in 4584-vs-4580	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	ChvI autoregulation evidence; in both-phases cohort
C-015	SIMPL family CCNA_02378 logFC = +1.9 (4584-vs-4580), +3.9 (4599-vs-4584)	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	logFC progression through both phases
C-016	LolA-family OM lipoprotein carrier CCNA_03820 logFC = +2.89 in 4599-vs-4584	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	logFC for late-consequence ChvI target
C-017	Pal-like CCNA_00784 logFC = +2.08 in 4599-vs-4584	03_chvi_phase_partition_sigU.ipynb	7	Finding 3	yes	no	no	Transcript logFC; also +2.84 at protein level
