berdl_cluster_id,adp1_cluster_id,is_core,is_auxiliary,is_singleton
NC_005966.1_1,NHSXFYEX_mmseqsCluster_3739,True,False,False
NC_005966.1_1024,NHSXFYEX_mmseqsCluster_1955,True,False,False
NC_005966.1_1025,NHSXFYEX_mmseqsCluster_3879,True,False,False
NC_005966.1_1026,NHSXFYEX_mmseqsCluster_2741,True,False,False
NC_005966.1_1027,NHSXFYEX_mmseqsCluster_3092,True,False,False
NC_005966.1_1028,NHSXFYEX_mmseqsCluster_0114,True,False,False
NC_005966.1_1056,NHSXFYEX_mmseqsCluster_3221,True,False,False
NC_005966.1_1057,NHSXFYEX_mmseqsCluster_1766,True,False,False
NC_005966.1_1088,NHSXFYEX_mmseqsCluster_2097,True,False,False
NC_005966.1_1120,NHSXFYEX_mmseqsCluster_2371,True,False,False
NC_005966.1_1121,NHSXFYEX_mmseqsCluster_0196,True,False,False
NC_005966.1_1122,NHSXFYEX_mmseqsCluster_0821,True,False,False
NC_005966.1_1123,NHSXFYEX_mmseqsCluster_3776,True,False,False
NC_005966.1_1152,NHSXFYEX_mmseqsCluster_2048,True,False,False
NC_005966.1_1153,NHSXFYEX_mmseqsCluster_3450,True,False,False
NC_005966.1_1154,NHSXFYEX_mmseqsCluster_0698,True,False,False
NC_005966.1_1184,NHSXFYEX_mmseqsCluster_1305,True,False,False
NC_005966.1_1185,NHSXFYEX_mmseqsCluster_3472,True,False,False
NC_005966.1_1186,NHSXFYEX_mmseqsCluster_0580,True,False,False
NC_005966.1_1216,NHSXFYEX_mmseqsCluster_3418,True,False,False
NC_005966.1_1217,NHSXFYEX_mmseqsCluster_0056,True,False,False
NC_005966.1_1218,NHSXFYEX_mmseqsCluster_3387,True,False,False
NC_005966.1_1248,NHSXFYEX_mmseqsCluster_3106,True,False,False
NC_005966.1_1249,NHSXFYEX_mmseqsCluster_2095,True,False,False
NC_005966.1_1250,NHSXFYEX_mmseqsCluster_1289,True,False,False
NC_005966.1_128,NHSXFYEX_mmseqsCluster_2673,True,False,False
NC_005966.1_1280,NHSXFYEX_mmseqsCluster_2031,True,False,False
NC_005966.1_1281,NHSXFYEX_mmseqsCluster_3445,True,False,False
NC_005966.1_1282,NHSXFYEX_mmseqsCluster_3101,True,False,False
NC_005966.1_129,NHSXFYEX_mmseqsCluster_0139,True,False,False
NC_005966.1_130,NHSXFYEX_mmseqsCluster_2287,True,False,False
NC_005966.1_1312,NHSXFYEX_mmseqsCluster_3710,True,False,False
NC_005966.1_1313,NHSXFYEX_mmseqsCluster_0839,True,False,False
NC_005966.1_1344,NHSXFYEX_mmseqsCluster_0437,True,False,False
NC_005966.1_1345,NHSXFYEX_mmseqsCluster_2996,True,False,False
NC_005966.1_1346,NHSXFYEX_mmseqsCluster_0687,True,False,False
