gtdb_species_clade_id,GTDB_species,phylum,class,order,family,genus,has_P_acquisition,has_N_fixation,has_metal_handling,n_phz_genes,has_phzA,has_phzB,has_phzD,has_phzF,has_phzG,has_phzS,has_phzM
s__Jiangella_alba--RS_GCF_900106035.1,s__Jiangella_alba,p__Actinomycetota,c__Actinomycetia,o__Jiangellales,f__Jiangellaceae,g__Jiangella,1,0,1,3,0,0,0,1,1,1,0
s__Saccharopolyspora_pogona--RS_GCF_014697215.1,s__Saccharopolyspora_pogona,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sioyaensis--RS_GCF_004122735.1,s__Streptomyces_sioyaensis,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sporangiiformans--RS_GCF_005768555.2,s__Streptomyces_sporangiiformans,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_litmocidini--RS_GCF_014649755.1,s__Streptomyces_litmocidini,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_anulatus_C--RS_GCF_000721175.1,s__Streptomyces_anulatus_C,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,1,0,1,1,0,0
s__Streptomyces_hawaiiensis--RS_GCF_004803895.1,s__Streptomyces_hawaiiensis,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,5,0,1,1,1,1,1,0
s__Streptomyces_spororaveus--RS_GCF_016755875.1,s__Streptomyces_spororaveus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_himastatinicus--RS_GCF_000158915.1,s__Streptomyces_himastatinicus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,0,1,1,1,1,0
s__Streptomyces_kanasensis--RS_GCF_001484625.1,s__Streptomyces_kanasensis,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sp000720765--RS_GCF_000720765.1,s__Streptomyces_sp000720765,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,1,0,1,1,0,0
s__Streptomyces_sp002847285--RS_GCF_002847285.1,s__Streptomyces_sp002847285,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sp000772045--RS_GCF_000772045.1,s__Streptomyces_sp000772045,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,0,1,1,1,1,0
s__Streptomyces_iakyrus--RS_GCF_000717055.1,s__Streptomyces_iakyrus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,0,1,1,1,1,0
s__Streptomyces_flaveus--RS_GCF_014647675.1,s__Streptomyces_flaveus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,1,1,1,1,0,0
s__Streptomyces_spiroverticillatus--GB_GCA_014650415.1,s__Streptomyces_spiroverticillatus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,1,1,1,1,0,0
s__Streptomyces_fildesensis--RS_GCF_016107395.1,s__Streptomyces_fildesensis,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sp010384365--RS_GCF_010384365.1,s__Streptomyces_sp010384365,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,4,0,1,0,1,1,1,0
