locusId	sysName	scaffoldId	begin	end	strand	type	desc
199198	SO0001	139	334	774	-	1	mioC protein (NCBI ptt file)
199199	SO0002	139	954	2504	+	1	proton/peptide symporter family protein (NCBI ptt file)
199200	SO0003	139	2589	3962	-	1	tRNA modification GTPase TrmE (NCBI ptt file)
199201	SO0004	139	4058	5683	-	1	inner membrane protein, 60 kDa (NCBI ptt file)
199202	SO0005	139	5687	5941	-	1	conserved hypothetical protein TIGR00278 (NCBI ptt file)
199203	SO0006	139	5908	6264	-	1	ribonuclease P protein component (NCBI ptt file)
199204	SO0007	139	6281	6418	-	1	ribosomal protein L34 (NCBI ptt file)
199205	SO0008	139	6873	8255	+	1	chromosomal replication initiator protein DnaA (NCBI ptt file)
199206	SO0009	139	8276	9376	+	1	DNA polymerase III, beta subunit (NCBI ptt file)
199207	SO0010	139	9539	10621	+	1	DNA replication and repair protein RecF (NCBI ptt file)
199208	SO0011	139	10638	13055	+	1	DNA gyrase, B subunit (NCBI ptt file)
199209	SO0012	139	13129	13791	-	1	glutathione S-transferase family protein (NCBI ptt file)
199210	SO0013	139	14311	15111	+	1	hypothetical protein (NCBI ptt file)
199211	SO0014	139	15180	17246	-	1	glycyl-tRNA synthetase, beta subunit (NCBI ptt file)
199212	SO0015	139	17256	18161	-	1	glycyl-tRNA synthetase, alpha subunit (NCBI ptt file)
199213	SO0016	139	18279	18854	+	1	DNA-3-methyladenine glycosidase I (NCBI ptt file)
199214	SO0017	139	18941	22090	-	1	hypothetical amidohydrolase (NCBI ptt file)
199215	SO0018	139	22330	22767	-	1	conserved hypothetical protein (NCBI ptt file)
199216	SO0019	139	22815	23060	-	1	conserved hypothetical protein (NCBI ptt file)
199217	SO0020	139	23307	24470	-	1	fatty oxidation complex, beta subunit (NCBI ptt file)
199218	SO0021	139	24493	26643	-	1	fatty oxidation complex, alpha subunit (NCBI ptt file)
199219	SO0022	139	27069	28388	+	1	prolidase (NCBI ptt file)
199220	SO0023	139	28404	29018	+	1	conserved hypothetical protein TIGR00257 (NCBI ptt file)
199221	SO0024	139	29096	30556	+	1	potassium uptake protein TrkH (NCBI ptt file)
199222	SO0025	139	30558	31082	+	1	hypothetical flavodoxin (NCBI ptt file)
199223	SO0026	139	31147	31455	-	1	transcriptional regulator, ArsR family (NCBI ptt file)
199224	SO0027	139	31656	32210	+	1	protoporphyrinogen oxidase, putative (NCBI ptt file)
199225	SO0028	139	32252	33694	-	1	potassium uptake protein TrkH (NCBI ptt file)
199226	SO0029	139	33706	35115	-	1	potassium uptake protein TrkA (NCBI ptt file)
199227	SO0030	139	35131	36417	-	1	sun protein (NCBI ptt file)
199228	SO0031	139	36420	37376	-	1	methionyl-tRNA formyltransferase (NCBI ptt file)
199229	SO0032	139	37392	37898	-	1	polypeptide deformylase (NCBI ptt file)
199230	SO0033	139	38024	39160	+	1	LysM domain protein (NCBI ptt file)
199231	SO0034	139	39244	40260	+	1	DNA processing protein DprA, putative (NCBI ptt file)
199232	SO0035	139	40263	40739	+	1	smg protein (NCBI ptt file)
199233	SO0036	139	40852	41418	+	1	topoisomerase DNA-binding C4 zinc finger domain protein (NCBI ptt file)
199234	SO0037	139	41557	42123	+	1	Sua5/YciO/YrdC/YwlC family protein (NCBI ptt file)
199235	SO0038	139	42152	43060	+	1	coproporphyrinogen III oxidase, aerobic (NCBI ptt file)
199236	SO0039	139	43090	43527	-	1	hypothetical globin (NCBI ptt file)
199237	SO0040	139	43717	44580	+	1	shikimate 5-dehydrogenase (NCBI ptt file)
199238	SO0041	139	44606	44881	+	1	conserved hypothetical protein (NCBI ptt file)
199239	SO0042	139	44973	45521	-	1	carbonic anhydrase, family 3 (NCBI ptt file)
199240	SO0043	139	45835	45951	+	1	hypothetical protein (NCBI ptt file)
2200916	SO_r001	139	46116	47644	+	3	16S ribosomal RNA (RefSeq)
407354	SO_r002	139	47961	50853	+	2	23S ribosomal RNA (RefSeq)
2200917	SO_r003	139	51057	51176	+	4	5S ribosomal RNA (RefSeq)
401094	SO_t001	139	51211	51287	+	5	tRNA-Asp (RefSeq)
199241	SO0044	139	51728	51979	+	1	conserved hypothetical protein (NCBI ptt file)
199242	SO0045	139	52004	52459	+	1	Rrf2 family protein (NCBI ptt file)
199243	SO0046	139	52434	53189	-	1	conserved hypothetical protein (NCBI ptt file)
199244	SO0047	139	53199	54407	-	1	carboxyl-terminal protease, putative (NCBI ptt file)
199245	SO0048	139	54456	55490	-	1	peptidase, M23/M37 family (NCBI ptt file)
199246	SO0049	139	55600	57144	-	1	phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (NCBI ptt file)
199247	SO0050	139	57409	57843	+	1	rhodanese domain protein (NCBI ptt file)
199248	SO0051	139	57826	57918	-	1	hypothetical protein (NCBI ptt file)
199249	SO0052	139	58105	58578	+	1	protein-export protein SecB (NCBI ptt file)
199250	SO0053	139	58583	59599	+	1	glycerol-3-phosphate dehydrogenase (NAD(P)+) (NCBI ptt file)
199251	SO0054	139	59949	61139	+	1	conserved hypothetical protein TIGR00275 (NCBI ptt file)
199252	SO0055	139	61362	63041	-	1	conserved domain protein (NCBI ptt file)
199253	SO0056	139	63429	64187	+	1	transporter, putative (NCBI ptt file)
199254	SO0057	139	64299	65660	-	1	potassium uptake protein, Trk family (NCBI ptt file)
199255	SO0058	139	65662	66360	-	1	potassium uptake protein, putative (NCBI ptt file)
199256	SO0059	139	66406	67095	-	1	transcriptional regulatory protein KdpE (NCBI ptt file)
199257	SO0060	139	67096	68142	-	1	sensor histidine kinase (NCBI ptt file)
199258	SO0061	139	68407	68871	+	1	lipoprotein, NLP/P60 family (NCBI ptt file)
199259	SO0062	139	69205	69591	+	1	hypothetical protein (NCBI ptt file)
199260	SO0063	139	69588	70895	+	1	conserved hypothetical protein (NCBI ptt file)
199262	SO0065	139	71134	71667	+	1	molybdenum cofactor biosynthesis protein Mog (NCBI ptt file)
199263	SO0066	139	72364	78060	+	1	conserved hypothetical protein (NCBI ptt file)
199264	SO0067	139	78057	80339	+	1	penicillin-binding protein 1C, putative (NCBI ptt file)
199265	SO0068	139	80364	80609	-	1	hypothetical protein (NCBI ptt file)
199266	SO0069	139	80667	81806	-	1	transport protein, putative (NCBI ptt file)
199267	SO0070	139	81904	82638	-	1	ATP-binding transport protein NatA (NCBI ptt file)
199268	SO0071	139	82641	84260	-	1	hydrolase, alpha/beta hydrolase fold family (NCBI ptt file)
199269	SO0072	139	84353	84724	+	1	transcriptional regulator, GntR family (NCBI ptt file)
199270	SO0073	139	84765	85628	+	1	ABC transporter, ATP-binding protein (NCBI ptt file)
199271	SO0074	139	85625	86932	+	1	hypothetical protein (NCBI ptt file)
199272	SO0075	139	87148	88854	+	1	AMP-binding family protein (NCBI ptt file)
199273	SO0076	139	88995	91481	+	1	hypothetical protein (NCBI ptt file)
199274	SO0077	139	91601	92017	+	1	hypothetical 4-hydroxybenzoyl-CoA thioesterase (NCBI ptt file)
199275	SO0078	139	92009	92812	-	1	hypothetical protein (NCBI ptt file)
199276	SO0079	139	92857	93123	-	1	conserved hypothetical protein (NCBI ptt file)
199277	SO0080	139	93185	93613	-	1	hypothetical 4-hydroxybenzoyl-CoA thioesterase (NCBI ptt file)
199278	SO0081	139	93827	94156	+	1	conserved hypothetical protein (NCBI ptt file)
199279	SO0082	139	94160	94516	+	1	transcriptional regulator, MerR family (NCBI ptt file)
199280	SO0083	139	94704	95090	+	1	carboxymuconolactone decarboxylase family protein (NCBI ptt file)
199281	SO0084	139	95148	95828	-	1	HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (NCBI ptt file)
199282	SO0085	139	96204	96626	+	1	hypothetical protein (NCBI ptt file)
199283	SO0086	139	96994	97095	+	1	hypothetical protein (NCBI ptt file)
199284	SO0087	139	97161	97721	+	1	hypothetical protein (NCBI ptt file)
199285	SO0088	139	97916	98515	-	1	hypothetical protein (NCBI ptt file)
199286	SO0089	139	98370	98540	+	1	hypothetical protein (NCBI ptt file)
199287	SO0090	139	98787	99329	+	1	hypothetical protein (NCBI ptt file)
199288	SO0091	139	99494	100090	-	1	hypothetical protein (NCBI ptt file)
199289	SO0092	139	100249	100959	-	1	purine nucleoside phosphorylase (NCBI ptt file)
199290	SO0093	139	100974	102194	-	1	NupC family protein (NCBI ptt file)
199291	SO0094	139	102352	102489	+	1	hypothetical protein (NCBI ptt file)
199292	SO0095	139	102534	103760	-	1	imidazolonepropionase (NCBI ptt file)
199293	SO0096	139	103967	104674	+	1	histidine utilization repressor (NCBI ptt file)
199294	SO0097	139	104801	106471	+	1	urocanate hydratase (NCBI ptt file)
199295	SO0098	139	106536	108077	+	1	histidine ammonia-lyase (NCBI ptt file)
199298	SO0101	139	108703	111717	+	1	selenium-containing formate dehydrogenase, nitrate inducible, alpha subunit (NCBI ptt file)
199299	SO0102	139	111720	112634	+	1	formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (NCBI ptt file)
199300	SO0103	139	112631	113272	+	1	formate dehydrogenase, nitrate-inducible, cytochrome b556 subunit (NCBI ptt file)
199301	SO0104	139	113272	114180	+	1	fdhE protein (NCBI ptt file)
199302	SO0105	139	114238	115659	+	1	L-seryl-tRNA selenium transferase (NCBI ptt file)
199303	SO0106	139	115656	117677	+	1	selenocysteine-specific translation elongation factor (NCBI ptt file)
401194	SO_t002	139	117553	117643	-	5	tRNA-Sec (RefSeq)
199304	SO0107	139	117785	118621	+	1	formate dehydrogenase accessory protein FdhD (NCBI ptt file)
199305	SO0108	139	118747	119961	+	1	hypothetical transporter component (NCBI ptt file)
199306	SO0109	139	119961	120194	+	1	conserved hypothetical protein (NCBI ptt file)
199307	SO0110	139	120287	121630	-	1	hypothetical protease (NCBI ptt file)
199308	SO0111	139	121746	122360	-	1	hypothetical protein (NCBI ptt file)
199309	SO0112	139	122642	123265	+	1	conserved hypothetical protein (NCBI ptt file)
199310	SO0113	139	123266	124222	-	1	conserved hypothetical protein (NCBI ptt file)
199311	SO0114	139	124394	125005	-	1	conserved hypothetical protein (NCBI ptt file)
199312	SO0115	139	125325	126302	+	1	hypothetical protein (NCBI ptt file)
199313	SO0116	139	126481	127458	+	1	hypothetical protein (NCBI ptt file)
199315	SO0118	139	128107	128979	+	1	hypothetical protein (NCBI ptt file)
199316	SO0119	139	129240	129632	+	1	conserved hypothetical protein (NCBI ptt file)
199317	SO0120	139	129650	130228	-	1	hypothetical protein (NCBI ptt file)
199318	SO0121	139	130527	131705	+	1	hypothetical Small-conductance mechanosensitive channel (NCBI ptt file)
199319	SO0122	139	131702	132325	-	1	transporter, LysE family (NCBI ptt file)
199320	SO0123	139	132352	132912	-	1	acyltransferase family protein (NCBI ptt file)
199322	SO0125	139	133124	133489	+	1	conserved hypothetical protein (NCBI ptt file)
199323	SO0126	139	133511	134311	-	1	conserved hypothetical protein (NCBI ptt file)
199324	SO0127	139	134374	135888	-	1	hypothetical protein (NCBI ptt file)
199325	SO0128	139	135995	136195	-	1	hypothetical protein (NCBI ptt file)
199326	SO0129	139	136310	136903	+	1	conserved hypothetical protein TIGR00427 (NCBI ptt file)
199327	SO0130	139	137207	140014	+	1	protease, putative (NCBI ptt file)
199328	SO0131	139	140071	140640	-	1	hypothetical chorismate pyruvate lyase (NCBI ptt file)
199329	SO0132	139	140742	141152	+	1	flagellar protein FliL, putative (NCBI ptt file)
199331	SO_0134	139	141383	142309	+	1	putative SAM-dependent methyltransferase (RefSeq)
199332	SO0135	139	142352	142642	-	1	hemolysin protein, putative (NCBI ptt file)
199333	SO0136	139	142669	143331	-	1	hypothetical protein (NCBI ptt file)
199334	SO0137	139	143381	144142	-	1	molybdopterin biosynthesis MoeB protein (NCBI ptt file)
199335	SO0138	139	144154	145407	-	1	molybdopterin biosynthesis MoeA protein (NCBI ptt file)
199336	SO0139	139	145712	146248	+	1	ferritin (NCBI ptt file)
199337	SO0140	139	146434	146529	+	1	hypothetical protein (NCBI ptt file)
199338	SO0141	139	146606	149839	-	1	sensory box protein (NCBI ptt file)
199339	SO0142	139	150203	150856	-	1	3,4-dihydroxy-2-butanone 4-phosphate synthase (NCBI ptt file)
199341	SO0144	139	151552	153654	+	1	protease II (NCBI ptt file)
199342	SO0145	139	153677	154045	+	1	hypothetical URI domain endonuclease (NCBI ptt file)
199343	SO0146	139	154156	155370	-	1	ISSod3, transposase (NCBI ptt file)
199344	SO0147	139	155715	156200	+	1	hypothetical protein (NCBI ptt file)
199345	SO0148	139	156320	157000	+	1	hypothetical protein (NCBI ptt file)
199347	SO0150	139	158400	159176	-	1	lipoprotein, putative (NCBI ptt file)
199348	SO0151	139	159448	160215	+	1	hypothetical SAM-dependent methyltransferase (NCBI ptt file)
199349	SO0152	139	160241	162124	-	1	hypothetical carboxypeptidase (NCBI ptt file)
199351	SO0154	139	162366	163490	-	1	conserved hypothetical protein (NCBI ptt file)
199354	SO0157	139	164022	165260	-	1	proton/glutamate symporter (NCBI ptt file)
199356	SO0159	139	165737	166093	+	1	hypothetical protein (NCBI ptt file)
199357	SO0160	139	166258	167817	-	1	transporter, putative (NCBI ptt file)
199359	SO0162	139	168071	169612	-	1	phosphoenolpyruvate carboxykinase (ATP) (NCBI ptt file)
199360	SO0163	139	169814	170674	-	1	chaperonin HslO (NCBI ptt file)
199361	SO0164	139	170700	171098	-	1	heat shock protein 15 (NCBI ptt file)
199362	SO0165	139	171350	172276	+	1	general secretion pathway protein C (NCBI ptt file)
199363	SO0166	139	172301	174415	+	1	general secretion pathway protein D (NCBI ptt file)
199364	SO0167	139	174412	175977	+	1	general secretion pathway protein E (NCBI ptt file)
199365	SO0168	139	175981	177204	+	1	general secretion pathway protein F (NCBI ptt file)
199366	SO0169	139	177279	177713	+	1	general secretion pathway protein G (NCBI ptt file)
199367	SO0170	139	177715	178287	+	1	general secretion pathway protein H (NCBI ptt file)
199368	SO0171	139	178274	178642	+	1	general secretion pathway protein I (NCBI ptt file)
199369	SO0172	139	178623	179390	+	1	general secretion pathway protein J (NCBI ptt file)
199370	SO0173	139	179387	180385	+	1	general secretion pathway protein K (NCBI ptt file)
199371	SO0174	139	180434	181621	+	1	general secretion pathway protein L (NCBI ptt file)
199372	SO0175	139	181623	182099	+	1	general secretion pathway protein M (NCBI ptt file)
199373	SO0176	139	182114	182875	+	1	general secretion pathway protein N (NCBI ptt file)
199374	SO0177	139	182935	183597	-	1	HAD-superfamily hydrolase, subfamily IA, variant 3 protein family (NCBI ptt file)
199376	SO0179	139	183749	184327	+	1	conserved hypothetical protein (NCBI ptt file)
199377	SO0180	139	184305	186314	+	1	hypothetical protein (NCBI ptt file)
199378	SO0181	139	186395	187441	+	1	hypothetical protein (NCBI ptt file)
199379	SO0182	139	187553	187840	+	1	hypothetical protein (NCBI ptt file)
199380	SO0183	139	187837	188319	-	1	acetyltransferase, GNAT family (NCBI ptt file)
199381	SO0184	139	188405	188956	+	1	hypothetical microcystin dependent protein (NCBI ptt file)
199382	SO0185	139	188996	189526	+	1	hypothetical microcystin dependent protein (NCBI ptt file)
199383	SO0186	139	189555	190100	+	1	hypothetical microcystin dependent protein (NCBI ptt file)
199384	SO0187	139	190156	191379	+	1	serine protease, subtilase family (NCBI ptt file)
199385	SO0188	139	191382	192473	+	1	hypothetical protein (NCBI ptt file)
199386	SO0189	139	192488	200056	+	1	fibronectin type III domain protein (NCBI ptt file)
199387	SO0190	139	200294	200845	+	1	MutT/nudix family protein (NCBI ptt file)
199388	SO0191	139	200915	201727	+	1	cysQ protein (NCBI ptt file)
199389	SO0192	139	201735	202178	+	1	acetyltransferase, GNAT family (NCBI ptt file)
199390	SO0193	139	202414	203025	+	1	transcriptional regulator, TetR family (NCBI ptt file)
199391	SO0194	139	203016	204878	+	1	acyltransferase family protein (NCBI ptt file)
