locusId	sysName	scaffoldId	begin	end	strand	type	desc
PfGW456L13_5153		scaffold1/0|quiver|pilon	47	166	-	2	5S RNA
PfGW456L13_5154		scaffold1/0|quiver|pilon	322	3216	-	2	Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA
PfGW456L13_5155		scaffold1/0|quiver|pilon	3467	3539	-	5	tRNA-Ala-TGC
PfGW456L13_5156		scaffold1/0|quiver|pilon	3573	3646	-	5	tRNA-Ile-GAT
PfGW456L13_5157		scaffold1/0|quiver|pilon	3728	5256	-	2	Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA
PfGW456L13_2		scaffold1/0|quiver|pilon	5846	7339	-	1	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
PfGW456L13_3		scaffold1/0|quiver|pilon	7517	8866	-	1	Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)
PfGW456L13_4		scaffold1/0|quiver|pilon	9005	9925	+	1	LysR family transcriptional regulator PA0133
PfGW456L13_5		scaffold1/0|quiver|pilon	10031	10681	+	1	Transcriptional regulator RutR of pyrimidine catabolism (TetR family)
PfGW456L13_6		scaffold1/0|quiver|pilon	10688	11269	+	1	FIG000605: protein co-occurring with transport systems (COG1739)
PfGW456L13_7		scaffold1/0|quiver|pilon	11816	13381	+	1	ABC transporter ATP-binding protein
PfGW456L13_8		scaffold1/0|quiver|pilon	13393	14499	+	1	Nucleoside ABC transporter, permease protein 1
PfGW456L13_9		scaffold1/0|quiver|pilon	14499	15425	+	1	Nucleoside ABC transporter, permease protein 2
PfGW456L13_10		scaffold1/0|quiver|pilon	15488	15928	-	1	FIG00954047: hypothetical protein
PfGW456L13_11		scaffold1/0|quiver|pilon	16009	16368	+	1	transcriptional regulator, MerR family
PfGW456L13_12		scaffold1/0|quiver|pilon	16388	17077	+	1	Probable short-chain dehydrogenase
PfGW456L13_13		scaffold1/0|quiver|pilon	17233	18591	+	1	Guanine deaminase (EC 3.5.4.3); Hydroxydechloroatrazine ethylaminohydrolase (EC 3.5.99.3)
PfGW456L13_14		scaffold1/0|quiver|pilon	18903	19985	+	1	Nucleoside ABC transporter, periplasmic nucleoside-binding protein
PfGW456L13_15		scaffold1/0|quiver|pilon	20145	21110	+	1	2-Oxobutyrate oxidase, putative
PfGW456L13_16		scaffold1/0|quiver|pilon	21193	22146	+	1	Adenosine deaminase (EC 3.5.4.4)
PfGW456L13_17		scaffold1/0|quiver|pilon	22248	22982	-	1	Transcriptional regulator, ArsR family
PfGW456L13_18		scaffold1/0|quiver|pilon	23298	24227	-	1	Transcriptional regulator, LysR family
PfGW456L13_19		scaffold1/0|quiver|pilon	24353	25366	+	1	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase
PfGW456L13_20		scaffold1/0|quiver|pilon	25603	25776	+	1	FIG00956405: hypothetical protein
PfGW456L13_21		scaffold1/0|quiver|pilon	25785	26981	-	1	Multidrug resistance transporter, Bcr/CflA family
PfGW456L13_22		scaffold1/0|quiver|pilon	27072	27269	-	1	Copper chaperone
PfGW456L13_23		scaffold1/0|quiver|pilon	27419	27802	+	1	FIG00953575: hypothetical protein
PfGW456L13_24		scaffold1/0|quiver|pilon	27996	30389	+	1	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
PfGW456L13_25		scaffold1/0|quiver|pilon	30386	30799	+	1	Cu(I)-responsive transcriptional regulator
PfGW456L13_26		scaffold1/0|quiver|pilon	30966	31859	-	1	FIG00956297: hypothetical protein
PfGW456L13_27		scaffold1/0|quiver|pilon	31869	32027	+	1	hypothetical protein
PfGW456L13_28		scaffold1/0|quiver|pilon	32307	34253	+	1	Methyl-accepting chemotaxis protein
PfGW456L13_29		scaffold1/0|quiver|pilon	34910	36187	-	1	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
PfGW456L13_30		scaffold1/0|quiver|pilon	36411	37763	+	1	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
PfGW456L13_31		scaffold1/0|quiver|pilon	37766	38620	+	1	Acyl dehydratase
PfGW456L13_32		scaffold1/0|quiver|pilon	38679	39035	-	1	hypothetical protein
PfGW456L13_33		scaffold1/0|quiver|pilon	39616	39771	+	1	hypothetical protein
PfGW456L13_34		scaffold1/0|quiver|pilon	39849	42536	+	1	Sensory box histidine kinase
PfGW456L13_35		scaffold1/0|quiver|pilon	42645	43208	-	1	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
PfGW456L13_36		scaffold1/0|quiver|pilon	43264	43872	-	1	lipoprotein, putative
PfGW456L13_37		scaffold1/0|quiver|pilon	43885	44634	-	1	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)
PfGW456L13_38		scaffold1/0|quiver|pilon	44634	44936	-	1	FIG00953349: hypothetical protein
PfGW456L13_39		scaffold1/0|quiver|pilon	45092	45385	+	1	Permeases of the major facilitator superfamily
PfGW456L13_40		scaffold1/0|quiver|pilon	45573	46922	+	1	DNA-damage-inducible protein F
PfGW456L13_41		scaffold1/0|quiver|pilon	46954	47715	-	1	hypothetical protein
PfGW456L13_42		scaffold1/0|quiver|pilon	47751	49070	-	1	VgrG protein
PfGW456L13_43		scaffold1/0|quiver|pilon	49303	51216	-	1	Biosynthetic arginine decarboxylase (EC 4.1.1.19)
PfGW456L13_44		scaffold1/0|quiver|pilon	51436	51807	-	1	Translation initiation factor SUI1-related protein
PfGW456L13_45		scaffold1/0|quiver|pilon	52110	52667	-	1	Putative Nudix hydrolase YfcD (EC 3.6.-.-)
PfGW456L13_46		scaffold1/0|quiver|pilon	52671	53738	-	1	FIG014328: hypothetical protein
PfGW456L13_47		scaffold1/0|quiver|pilon	54225	55895	+	1	Probable two-component response regulator
PfGW456L13_48		scaffold1/0|quiver|pilon	55948	57894	+	1	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
PfGW456L13_49		scaffold1/0|quiver|pilon	58067	59812	+	1	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)
PfGW456L13_50		scaffold1/0|quiver|pilon	59945	60400	+	1	3-dehydroquinate dehydratase II (EC 4.2.1.10)
PfGW456L13_51		scaffold1/0|quiver|pilon	60425	60889	+	1	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PfGW456L13_52		scaffold1/0|quiver|pilon	60907	62265	+	1	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)
PfGW456L13_53		scaffold1/0|quiver|pilon	62547	63425	+	1	Ribosomal protein L11 methyltransferase (EC 2.1.1.-)
PfGW456L13_54		scaffold1/0|quiver|pilon	63456	64709	+	1	Probable transmembrane protein
PfGW456L13_55		scaffold1/0|quiver|pilon	64894	65904	+	1	tRNA dihydrouridine synthase B (EC 1.-.-.-)
PfGW456L13_56		scaffold1/0|quiver|pilon	65943	66221	+	1	DNA-binding protein Fis
PfGW456L13_57		scaffold1/0|quiver|pilon	66304	67911	+	1	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
PfGW456L13_58		scaffold1/0|quiver|pilon	68061	69356	+	1	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
PfGW456L13_59		scaffold1/0|quiver|pilon	69484	72234	+	1	Sensor histidine kinase/response regulator
PfGW456L13_60		scaffold1/0|quiver|pilon	72300	72896	+	1	membrane protein, MarC family
PfGW456L13_61		scaffold1/0|quiver|pilon	73084	73407	+	1	hypothetical protein
PfGW456L13_62		scaffold1/0|quiver|pilon	73486	73599	+	1	hypothetical protein
PfGW456L13_63		scaffold1/0|quiver|pilon	73748	74167	-	1	hypothetical protein
PfGW456L13_64		scaffold1/0|quiver|pilon	74786	76492	-	1	Cobalamin biosynthesis protein CbiG / Cobalt-precorrin-3b C17-methyltransferase
PfGW456L13_65		scaffold1/0|quiver|pilon	76492	77226	-	1	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)
PfGW456L13_66		scaffold1/0|quiver|pilon	77223	77849	-	1	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)
PfGW456L13_67		scaffold1/0|quiver|pilon	77842	79113	-	1	Cobalamin biosynthesis protein CobG
PfGW456L13_68		scaffold1/0|quiver|pilon	79906	80049	+	1	hypothetical protein
PfGW456L13_69		scaffold1/0|quiver|pilon	80551	81399	+	1	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-) / Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)
PfGW456L13_70		scaffold1/0|quiver|pilon	81392	82489	+	1	Cobalt-precorrin-6 synthase, anaerobic
PfGW456L13_71		scaffold1/0|quiver|pilon	82486	83211	+	1	Cobalt-precorrin-6x reductase (EC 1.3.1.54)
PfGW456L13_72		scaffold1/0|quiver|pilon	83608	83931	+	1	hypothetical protein
PfGW456L13_73		scaffold1/0|quiver|pilon	84087	84440	+	1	FIG00955840: hypothetical protein
PfGW456L13_74		scaffold1/0|quiver|pilon	84488	84967	+	1	Copper metallochaperone, bacterial analog of Cox17 protein
PfGW456L13_75		scaffold1/0|quiver|pilon	84988	85440	+	1	Putative multicopper oxidases
PfGW456L13_76		scaffold1/0|quiver|pilon	85633	87750	+	1	Outer membrane receptor proteins, mostly Fe transport
PfGW456L13_77		scaffold1/0|quiver|pilon	87862	89241	+	1	Uncharacterized iron-regulated membrane protein; Iron-uptake factor PiuB
PfGW456L13_78		scaffold1/0|quiver|pilon	89398	90186	+	1	ABC transporter (iron.B12.siderophore.hemin) , ATP-binding component
PfGW456L13_79		scaffold1/0|quiver|pilon	90183	91142	+	1	ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component
PfGW456L13_80		scaffold1/0|quiver|pilon	91139	92149	+	1	ABC transporter (iron.B12.siderophore.hemin) , permease component
PfGW456L13_81		scaffold1/0|quiver|pilon	92462	93727	+	1	Urea ABC transporter, substrate binding protein UrtA
PfGW456L13_82		scaffold1/0|quiver|pilon	93891	95393	+	1	Urea ABC transporter, permease protein UrtB
PfGW456L13_83		scaffold1/0|quiver|pilon	95393	96472	+	1	Urea ABC transporter, permease protein UrtC
PfGW456L13_84		scaffold1/0|quiver|pilon	96469	97341	+	1	Urea ABC transporter, ATPase protein UrtD
PfGW456L13_85		scaffold1/0|quiver|pilon	97476	98174	+	1	Urea ABC transporter, ATPase protein UrtE
PfGW456L13_86		scaffold1/0|quiver|pilon	98336	99175	+	1	Urease accessory protein UreD
PfGW456L13_87		scaffold1/0|quiver|pilon	99332	99634	+	1	Urease gamma subunit (EC 3.5.1.5)
PfGW456L13_88		scaffold1/0|quiver|pilon	99644	100177	+	1	GCN5-related N-acetyltransferase
