	source	identity	t3ss_type	biofilm_type	strain_group	label
PROTECT_ASMA-1320	PROTECT (CF)	ASMA	ExoU+	Pel-only	708.0	ASMA-1320 (sg708.0)
PROTECT_ASMA-513	PROTECT (CF)	ASMA	Neither	Pel-only	729.0	ASMA-513 (sg729.0)
PROTECT_ASMA-636	PROTECT (CF)	ASMA	ExoS+	Pel-only	599.0	ASMA-636 (sg599.0)
PROTECT_ASMA-2364	PROTECT (CF)	ASMA	ExoS+	Pel-only	710.0	ASMA-2364 (sg710.0)
PROTECT_ASMA-2890	PROTECT (CF)	ASMA	ExoS+	Pel-only	583.0	ASMA-2890 (sg583.0)
PROTECT_ASMA-169	PROTECT (CF)	ASMA	ExoS+	Pel-only	721.0	ASMA-169 (sg721.0)
PROTECT_ASMA-2068	PROTECT (CF)	ASMA	ExoS+	Pel-only	724.0	ASMA-2068 (sg724.0)
PROTECT_ASMA-3072	PROTECT (CF)	ASMA	ExoS+	Pel-only	620.0	ASMA-3072 (sg620.0)
PROTECT_ASMA-1804	PROTECT (CF)	ASMA	ExoS+	Pel-only	615.0	ASMA-1804 (sg615.0)
PROTECT_ASMA-2356	PROTECT (CF)	ASMA	ExoS+	Pel-only	713.0	ASMA-2356 (sg713.0)
PROTECT_ASMA-4151	PROTECT (CF)	ASMA	ExoS+	Pel-only	702.0	ASMA-4151 (sg702.0)
PROTECT_ASMA-1144	PROTECT (CF)	ASMA	ExoS+	Pel-only	690.0	ASMA-1144 (sg690.0)
PROTECT_ASMA-1642	PROTECT (CF)	ASMA	ExoU+	Pel-only	667.0	ASMA-1642 (sg667.0)
PAN_RS_GCF_023717675.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001554305.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013115265.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
