locusId	sysName	scaffoldId	begin	end	strand	type	desc
349529	BT0001	241	93	710	+	1	conserved hypothetical protein (NCBI ptt file)
349530	BT0002	241	783	1778	+	1	hypothetical protein (NCBI ptt file)
349531	BT0003	241	1872	2648	+	1	hypothetical protein (NCBI ptt file)
349532	BT0004	241	2783	3451	+	1	hypothetical protein (NCBI ptt file)
349533	BT0005	241	3460	3996	+	1	30S ribosomal protein S17 (NCBI ptt file)
349534	BT0006	241	4088	4534	+	1	hypothetical protein (NCBI ptt file)
349535	BT0007	241	4457	4849	-	1	hypothetical protein (NCBI ptt file)
349536	BT0008	241	4958	5503	+	1	conserved hypothetical protein (NCBI ptt file)
349537	BT0009	241	5632	6741	+	1	phosphate-binding periplasmic protein precursor, putative ABC transporter (NCBI ptt file)
349538	BT0010	241	6796	7869	+	1	hypothetical protein (NCBI ptt file)
349539	BT0011	241	8075	8923	+	1	hypothetical protein (NCBI ptt file)
349540	BT0012	241	8983	10149	+	1	conserved hypothetical protein (NCBI ptt file)
349541	BT0013	241	10181	10723	+	1	hypothetical protein (NCBI ptt file)
349542	BT0014	241	10893	13316	+	1	rteA, two-component system histidine kinase, with response regulator receiver domain (NCBI ptt file)
349543	BT0015	241	13288	14586	+	1	rteB, two-component system response regulator (NCBI ptt file)
349544	BT0016	241	14774	15412	+	1	hypothetical protein (NCBI ptt file)
349545	BT0017	241	15525	16472	+	1	hypothetical protein (NCBI ptt file)
349546	BT0018	241	16655	17371	+	1	hypothetical protein (NCBI ptt file)
349547	BT0019	241	17383	17703	+	1	hypothetical protein (NCBI ptt file)
349548	BT0020	241	17710	18168	+	1	hypothetical protein (NCBI ptt file)
349549	BT0021	241	18251	18919	-	1	hypothetical protein (NCBI ptt file)
349550	BT0022	241	19044	19334	+	1	conserved hypothetical protein (NCBI ptt file)
349551	BT0023	241	19601	19966	-	1	transposase (NCBI ptt file)
349552	BT0024	241	19976	20512	-	1	transposase (NCBI ptt file)
349553	BT0025	241	20537	20674	-	1	putative transposase (NCBI ptt file)
349554	BT0026	241	20936	21358	-	1	putative transposase (NCBI ptt file)
349555	BT0027	241	21544	22080	-	1	putative transposase (NCBI ptt file)
349556	BT0028	241	22552	22830	+	1	alkaline phosphatase (NCBI ptt file)
349557	BT0029	241	22906	26169	+	1	putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)
349558	BT0030	241	26182	28011	+	1	putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)
349559	BT0031	241	28131	29195	+	1	conserved hypothetical protein (NCBI ptt file)
349560	BT0032	241	29209	29406	+	1	hypothetical protein (NCBI ptt file)
349561	BT0033	241	29680	29970	+	1	hypothetical protein (NCBI ptt file)
349562	BT0034	241	30281	31492	+	1	hypothetical protein (NCBI ptt file)
349563	BT0035	241	31935	32138	-	1	hypothetical protein (NCBI ptt file)
