locusId	sysName	scaffoldId	begin	end	strand	type	desc
OKGIIK_00005	OKGIIK_00005	contig_1_polypolish	256	1800	+	2	16S ribosomal RNA
OKGIIK_00010	OKGIIK_00010	contig_1_polypolish	1974	2050	+	5	tRNA-Ile
OKGIIK_00015	OKGIIK_00015	contig_1_polypolish	2117	2192	+	5	tRNA-Ala
OKGIIK_00020	OKGIIK_00020	contig_1_polypolish	2383	5262	+	2	23S ribosomal RNA
OKGIIK_00025	OKGIIK_00025	contig_1_polypolish	5508	5621	+	2	5S ribosomal RNA
OKGIIK_00030	OKGIIK_00030	contig_1_polypolish	6116	7561	+	1	glycerol kinase GlpK
OKGIIK_00035	OKGIIK_00035	contig_1_polypolish	7614	8549	-	1	carbohydrate kinase family protein
OKGIIK_00040	OKGIIK_00040	contig_1_polypolish	8826	9872	+	1	rod shape-determining protein
OKGIIK_00045	OKGIIK_00045	contig_1_polypolish	10205	11164	+	1	rod shape-determining protein MreC
OKGIIK_00050	OKGIIK_00050	contig_1_polypolish	11161	11646	+	1	rod shape-determining protein MreD
OKGIIK_00055	OKGIIK_00055	contig_1_polypolish	11663	13669	+	1	penicillin-binding protein 2
OKGIIK_00060	OKGIIK_00060	contig_1_polypolish	13666	14781	+	1	rod shape-determining protein RodA
OKGIIK_00065	OKGIIK_00065	contig_1_polypolish	14903	15610	+	1	Gluconate 2-dehydrogenase
OKGIIK_00070	OKGIIK_00070	contig_1_polypolish	15607	17382	+	1	GMC family oxidoreductase
OKGIIK_00075	OKGIIK_00075	contig_1_polypolish	17379	18758	+	1	Alcohol dehydrogenase
OKGIIK_00080	OKGIIK_00080	contig_1_polypolish	18956	19957	+	1	lytic murein transglycosylase B
OKGIIK_00085	OKGIIK_00085	contig_1_polypolish	19954	20874	+	1	Endolytic peptidoglycan transglycosylase RlpA
OKGIIK_00090	OKGIIK_00090	contig_1_polypolish	20949	22202	+	1	serine-type D-Ala-D-Ala carboxypeptidase
OKGIIK_00095	OKGIIK_00095	contig_1_polypolish	22202	22492	+	1	DUF493 domain-containing protein
OKGIIK_00100	OKGIIK_00100	contig_1_polypolish	22593	23291	+	1	lipoyl(octanoyl) transferase LipB
OKGIIK_00105	OKGIIK_00105	contig_1_polypolish	23301	24311	+	1	lipoyl synthase
OKGIIK_00110	OKGIIK_00110	contig_1_polypolish	24320	26560	+	1	C-terminal processing protease CtpA/Prc, contains a PDZ domain
OKGIIK_00115	OKGIIK_00115	contig_1_polypolish	26611	28485	-	1	Sulfotransferase
OKGIIK_00120	OKGIIK_00120	contig_1_polypolish	28565	31462	-	1	TonB-dependent receptor
OKGIIK_00125	OKGIIK_00125	contig_1_polypolish	31699	31833	-	1	hypothetical protein
OKGIIK_00130	OKGIIK_00130	contig_1_polypolish	32335	32955	+	1	DUF4126 domain-containing protein
OKGIIK_00135	OKGIIK_00135	contig_1_polypolish	32943	34322	-	1	leucyl aminopeptidase
OKGIIK_00140	OKGIIK_00140	contig_1_polypolish	34423	35121	-	1	HAD family hydrolase
OKGIIK_00145	OKGIIK_00145	contig_1_polypolish	35135	36481	-	1	Peptidoglycan-binding protein
OKGIIK_00150	OKGIIK_00150	contig_1_polypolish	36785	38191	-	1	Periplasmic serine endoprotease DegP-like
OKGIIK_00155	OKGIIK_00155	contig_1_polypolish	38592	41864	+	1	ribonucleoside-diphosphate reductase
OKGIIK_00160	OKGIIK_00160	contig_1_polypolish	41923	42576	+	1	hypothetical protein
OKGIIK_00165	OKGIIK_00165	contig_1_polypolish	42672	43424	+	1	NrdJb
OKGIIK_00170	OKGIIK_00170	contig_1_polypolish	43578	43721	+	1	DUF4433 domain-containing protein
