locusId	sysName	scaffoldId	begin	end	strand	type	desc
GFF3597	PGA1_262p00010	PGA1_262p	101	1405	+	1	putative plasmid partition protein A
GFF3598	PGA1_262p00020	PGA1_262p	1402	2544	+	1	plamid partition protein-like protein
GFF3599	PGA1_262p00030	PGA1_262p	2983	4281	+	1	Glycosyl hydrolases family 16./Hemolysin-type calcium-binding repeat (2 copies).
GFF3600	PGA1_262p00040	PGA1_262p	4316	5230	-	1	sulfotransferase-like protein
GFF3601	PGA1_262p00050	PGA1_262p	5402	6679	+	1	putative glycosyl transferase
GFF3602	PGA1_262p00060	PGA1_262p	6672	7988	+	1	putative glycosyl transferase
GFF3603	PGA1_262p00070	PGA1_262p	7972	9258	+	1	Lipid A core - O-antigen ligase and related enzymes
GFF3604	PGA1_262p00080	PGA1_262p	9287	10054	-	1	hypothetical protein
GFF3605	PGA1_262p00090	PGA1_262p	10062	12173	-	1	putative exopolysaccharide biosynthesis transport protein
GFF3606	PGA1_262p00100	PGA1_262p	12316	13404	+	1	putative glycosyl transferase
GFF3607	PGA1_262p00110	PGA1_262p	13409	14362	+	1	putative glycosyl transferase
GFF3608	PGA1_262p00120	PGA1_262p	14366	15547	+	1	succinoglycan biosynthesis protein ExoL
GFF3609	PGA1_262p00130	PGA1_262p	15451	16515	-	1	hypothetical protein
GFF3610	PGA1_262p00140	PGA1_262p	16729	17889	+	1	putative amino acid binding protein
GFF3611	PGA1_262p00150	PGA1_262p	17990	20662	+	1	methyl-accepting chemotaxis protein
GFF3612	PGA1_262p00160	PGA1_262p	20758	21057	-	1	Branched-chain amino acid transport protein (AzlD).
GFF3613	PGA1_262p00170	PGA1_262p	21054	21770	-	1	Predicted branched-chain amino acid permease (azaleucine resistance)
GFF3614	PGA1_262p00180	PGA1_262p	21859	22332	+	1	transcriptional regulator, AsnC family
GFF3615	PGA1_262p00190	PGA1_262p	22378	23694	-	1	putative transporter, MFS family
GFF3616	PGA1_262p00200	PGA1_262p	23763	24689	-	1	transcriptional regulator, LysR family
GFF3617	PGA1_262p00210	PGA1_262p	24762	26420	+	1	alcohol dehydrogenase AlkJ
GFF3618	PGA1_262p00220	PGA1_262p	26417	27592	+	1	putative mandelate racemase/muconate lactonizing enzyme
GFF3619	PGA1_262p00230	PGA1_262p	27589	29073	+	1	betaine aldehyde dehydrogenase BetB
GFF3620	PGA1_262p00240	PGA1_262p	29200	29445	+	1	Protein of unknown function (DUF1289).
GFF3621	PGA1_262p00250	PGA1_262p	29487	29960	-	1	ferritin-like protein
GFF3622	PGA1_262p00260	PGA1_262p	30070	30510	-	1	hypothetical protein
GFF3623	PGA1_262p00270	PGA1_262p	30666	31334	-	1	transcriptional regulator, GntR family
GFF3624	PGA1_262p00280	PGA1_262p	31428	32453	-	1	putative proline racemase
GFF3625	PGA1_262p00290	PGA1_262p	32654	33265	+	1	putative transcriptional regulator
GFF3626	PGA1_262p00300	PGA1_262p	33414	35000	+	1	ABC transporter, extracellular solute-binding protein
GFF3627	PGA1_262p00310	PGA1_262p	35068	36009	+	1	glutathione transport system permease protein GsiC
GFF3628	PGA1_262p00320	PGA1_262p	36006	36872	+	1	ABC transporter, inner membrane component
GFF3629	PGA1_262p00330	PGA1_262p	36886	37884	+	1	oligopeptide ABC transporter, ATP binding protein
GFF3630	PGA1_262p00340	PGA1_262p	37881	38879	+	1	oligopeptide ABC transporter, ATP binding protein
