locusId	sysName	scaffoldId	begin	end	strand	type	desc
6935783	Sama_0001	248323	70	510	-	1	flavodoxin (RefSeq)
6935784	Sama_0002	248323	657	1571	+	1	hypothetical protein (RefSeq)
6935785	Sama_0003	248323	1522	2367	-	1	carboxylesterase (RefSeq)
6935786	Sama_0004	248323	2377	3510	-	1	alcohol dehydrogenase, zinc-binding (RefSeq)
6935787	Sama_0005	248323	3686	4558	+	1	LysR, substrate-binding (RefSeq)
6935788	Sama_0006	248323	4686	5186	+	1	hypothetical protein (RefSeq)
6935789	Sama_0007	248323	5295	6401	+	1	oxidoreductase, FAD/FMN-binding (RefSeq)
6935790	Sama_0008	248323	6502	7863	-	1	tRNA modification GTPase TrmE (RefSeq)
6935791	Sama_0009	248323	7951	9576	-	1	inner membrane protein, 60 kDa (RefSeq)
6935792	Sama_0010	248323	9581	9835	-	1	hypothetical protein (RefSeq)
6935793	Sama_0011	248323	9802	10158	-	1	ribonuclease P protein component (RefSeq)
6935794	Sama_0012	248323	10175	10312	-	1	50S ribosomal protein L34 (RefSeq)
6935795	Sama_0013	248323	10775	12148	+	1	chromosomal replication initiation protein (RefSeq)
6935796	Sama_0014	248323	12168	13268	+	1	DNA-directed DNA polymerase (RefSeq)
6935797	Sama_0015	248323	13296	14378	+	1	recombination protein F (RefSeq)
6935798	Sama_0016	248323	14471	16888	+	1	DNA topoisomerase (ATP-hydrolyzing) (RefSeq)
6935799	Sama_0017	248323	16992	17393	-	1	MutT/nudix family protein (RefSeq)
6935800	Sama_0018	248323	17393	18046	-	1	pyroglutamyl-peptidase I (RefSeq)
6935801	Sama_0019	248323	18058	19041	-	1	putative transmembrane protein (RefSeq)
6935802	Sama_0020	248323	19038	19778	-	1	hypothetical protein (RefSeq)
6935803	Sama_0021	248323	19768	20493	-	1	hypothetical protein (RefSeq)
6935804	Sama_0022	248323	20486	21418	-	1	Urea carboxylase (RefSeq)
6935805	Sama_0023	248323	21420	22082	-	1	hypothetical protein (RefSeq)
6935806	Sama_0024	248323	22337	23392	+	1	putative signal transduction protein (RefSeq)
6935807	Sama_0025	248323	23457	25526	-	1	glycyl-tRNA synthetase subunit beta (RefSeq)
6935808	Sama_0026	248323	25552	26457	-	1	glycyl-tRNA synthetase subunit alpha (RefSeq)
6935809	Sama_0027	248323	26565	27134	+	1	DNA-3-methyladenine glycosylase I (RefSeq)
6935810	Sama_0028	248323	27239	30427	-	1	amidohydrolase (RefSeq)
6935811	Sama_0029	248323	30571	30870	-	1	redox protein regulator of disulfide bond formation (RefSeq)
6935812	Sama_0030	248323	31147	33129	+	1	putative methyl-accepting chemotaxis sensory transducer (RefSeq)
6935813	Sama_0031	248323	33194	34357	-	1	3-ketoacyl-CoA thiolase (RefSeq)
6935814	Sama_0032	248323	34377	36527	-	1	multifunctional fatty acid oxidation complex subunit alpha (RefSeq)
6935815	Sama_0033	248323	36808	38127	+	1	proline dipeptidase (RefSeq)
6935816	Sama_0034	248323	38130	38750	+	1	hypothetical protein (RefSeq)
6935817	Sama_0035	248323	38875	40332	+	1	TrkH family potassium uptake protein (RefSeq)
6935818	Sama_0036	248323	40332	40865	+	1	protoporphyrinogen oxidase (RefSeq)
6935819	Sama_0037	248323	40878	41186	-	1	ArsR family transcriptional regulator (RefSeq)
6935820	Sama_0038	248323	41376	41927	+	1	protoporphyrinogen oxidase (RefSeq)
6935821	Sama_0039	248323	41933	43375	-	1	potassium uptake protein TrkH (RefSeq)
6935822	Sama_0040	248323	43378	44787	-	1	potassium transporter peripheral membrane component (RefSeq)
6935823	Sama_0041	248323	44805	46088	-	1	sun protein (RefSeq)
6935824	Sama_0042	248323	46088	47050	-	1	methionyl-tRNA formyltransferase (RefSeq)
6935825	Sama_0043	248323	47066	47569	-	1	peptide deformylase (RefSeq)
6935826	Sama_0044	248323	47757	48797	+	1	LysM domain-containing protein (RefSeq)
6935827	Sama_0045	248323	48882	49898	+	1	DNA processing protein DprA, putative (RefSeq)
6935828	Sama_0046	248323	49901	50380	+	1	hypothetical protein (RefSeq)
6935829	Sama_0047	248323	50462	50728	-	1	hypothetical protein (RefSeq)
6935830	Sama_0048	248323	51290	51853	+	1	topoisomerase DNA-binding C4 zinc finger domain-containing protein (RefSeq)
6935831	Sama_0049	248323	51951	52523	+	1	SUA5/YciO/YrdC-like protein (RefSeq)
6935832	Sama_0050	248323	52537	53451	+	1	coproporphyrinogen III oxidase (RefSeq)
6935833	Sama_0051	248323	53477	53908	-	1	globin (RefSeq)
6935834	Sama_0052	248323	54060	54896	+	1	shikimate dehydrogenase (RefSeq)
6935835	Sama_0053	248323	54899	55156	+	1	hypothetical protein (RefSeq)
6935836	Sama_0054	248323	55153	55701	-	1	carbonic anhydrase (RefSeq)
6935837	Sama_R0001	248323	56157	57693	+	3	16S ribosomal RNA (RefSeq)
6935838	Sama_R0002	248323	57960	60873	+	2	23S ribosomal RNA (RefSeq)
6935839	Sama_R0003	248323	61045	61160	+	4	5S ribosomal RNA (RefSeq)
6935840	Sama_0055	248323	61309	61560	+	1	hypothetical protein (RefSeq)
6935841	Sama_0056	248323	61576	62031	+	1	Rrf2 family protein (RefSeq)
6935842	Sama_0057	248323	62006	62758	-	1	protein of unknown function DUF610, YibQ (RefSeq)
6935843	Sama_0058	248323	62780	63976	-	1	C-terminal processing peptidase (RefSeq)
6935844	Sama_0059	248323	64007	65143	-	1	M24/M37 family peptidase (RefSeq)
6935845	Sama_0060	248323	65149	66690	-	1	phosphoglyceromutase (RefSeq)
6935846	Sama_0061	248323	66964	67356	+	1	rhodanese-like protein (RefSeq)
6935847	Sama_0062	248323	67576	68055	+	1	preprotein translocase subunit SecB (RefSeq)
6935848	Sama_0063	248323	68062	69081	+	1	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase (RefSeq)
6935849	Sama_0064	248323	69152	70345	+	1	hypothetical protein (RefSeq)
6935850	Sama_0065	248323	70912	71829	+	1	response regulator receiver protein (RefSeq)
6935851	Sama_0066	248323	71844	72794	+	1	ABC-type nitrate/sulfonate/bicarbonate transport system protein (RefSeq)
6935852	Sama_0067	248323	72794	75859	+	1	signal transduction histidine kinase-like protein protein (RefSeq)
6935853	Sama_0068	248323	75976	76506	+	1	molybdenum cofactor biosynthesis protein (RefSeq)
6935854	Sama_0069	248323	76553	76999	+	1	NLP/P60 family lipoprotein (RefSeq)
6935855	Sama_0070	248323	77043	77630	-	1	hypothetical protein (RefSeq)
6935856	Sama_0071	248323	77654	77893	-	1	hypothetical protein (RefSeq)
6935857	Sama_0072	248323	77895	78806	-	1	D-alanyl-D-alanine endopeptidase (RefSeq)
6935858	Sama_0073	248323	78895	79329	-	1	4-hydroxybenzoyl-CoA thioesterase (RefSeq)
6935859	Sama_0074	248323	79435	80115	-	1	HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (RefSeq)
6935860	Sama_0075	248323	80333	81535	+	1	hypothetical protein (RefSeq)
6935861	Sama_0076	248323	81833	82699	+	1	transcription activator, effector binding (RefSeq)
6935862	Sama_0077	248323	82839	84014	-	1	MerR family transcriptional regulator (RefSeq)
6935863	Sama_0078	248323	84659	86656	+	1	prolyl oligopeptidase family protein (RefSeq)
6935864	Sama_0079	248323	86728	87702	-	1	putative esterase (RefSeq)
6935865	Sama_0080	248323	87909	89147	-	1	imidazolonepropionase (RefSeq)
6935866	Sama_0081	248323	89362	90066	+	1	histidine utilization repressor (RefSeq)
6935867	Sama_0082	248323	90316	92769	+	1	GGDEF domain-containing protein (RefSeq)
6935868	Sama_0083	248323	92823	93776	-	1	alpha/beta hydrolase fold (RefSeq)
6935869	Sama_0084	248323	93820	95679	-	1	hypothetical protein (RefSeq)
6935870	Sama_0085	248323	95910	96908	+	1	adenosine deaminase (RefSeq)
6935871	Sama_0086	248323	96995	98335	-	1	coproporphyrinogen III oxidase (RefSeq)
6935872	Sama_0087	248323	98474	99745	+	1	amidohydrolase (RefSeq)
6935873	Sama_0088	248323	99802	100269	-	1	hypothetical protein (RefSeq)
6935874	Sama_0089	248323	100286	100822	-	1	hypothetical protein (RefSeq)
6935875	Sama_0090	248323	100859	101539	-	1	hypothetical protein (RefSeq)
6935876	Sama_0091	248323	102313	102933	-	1	cytochrome c, class I (RefSeq)
6935877	Sama_0092	248323	103103	103756	+	1	ribosome biogenesis GTP-binding protein YsxC (RefSeq)
6935878	Sama_0093	248323	104678	107449	-	1	DNA-directed DNA polymerase (RefSeq)
6935879	Sama_0094	248323	107836	108489	+	1	isoprenoid biosynthesis protein with amidotransferase-like domain (RefSeq)
6935880	Sama_0095	248323	108523	109353	-	1	glpG protein (RefSeq)
6935881	Sama_0096	248323	109353	109664	-	1	glpE protein (RefSeq)
6935882	Sama_0097	248323	109791	110816	-	1	L-threonine 3-dehydrogenase (RefSeq)
6935883	Sama_0098	248323	110838	112031	-	1	2-amino-3-ketobutyrate coenzyme A ligase (RefSeq)
6935884	Sama_0099	248323	112290	112925	-	1	TetR family transcriptional regulator (RefSeq)
6935885	Sama_0100	248323	113051	114313	+	1	3-deoxy-D-manno-octulosonic-acid (KDO) transferase (RefSeq)
6935886	Sama_0101	248323	114298	115050	-	1	3-deoxy-D-manno-octulosonic-acid kinase (RefSeq)
6935887	Sama_0102	248323	115093	116145	+	1	glycosyl transferase family protein (RefSeq)
6935888	Sama_0103	248323	116150	117250	+	1	hypothetical protein (RefSeq)
6935889	Sama_0104	248323	117247	118344	+	1	glycosyl transferase, group 1 family protein (RefSeq)
6935890	Sama_0105	248323	118400	119377	-	1	hypothetical protein (RefSeq)
6935891	Sama_0106	248323	119428	120150	-	1	hypothetical protein (RefSeq)
6935892	Sama_0107	248323	120147	121730	-	1	hypothetical protein (RefSeq)
6935893	Sama_0108	248323	121738	122112	-	1	hypothetical protein (RefSeq)
6935894	Sama_0109	248323	122136	123344	-	1	glycosyl transferase, group 1 family protein (RefSeq)
6935895	Sama_0110	248323	123549	124118	+	1	pantetheine-phosphate adenylyltransferase (RefSeq)
6935896	Sama_0111	248323	124137	125621	+	1	hypothetical protein (RefSeq)
6935897	Sama_0112	248323	125758	126489	+	1	glycosyl transferase, group 2 family protein (RefSeq)
6935898	Sama_0113	248323	126486	127163	+	1	hypothetical protein (RefSeq)
6935899	Sama_0114	248323	127172	128935	+	1	hypothetical protein (RefSeq)
6935900	Sama_0115	248323	129110	130114	+	1	phospholipase C (RefSeq)
6935901	Sama_0116	248323	130181	131071	-	1	hypothetical protein (RefSeq)
6935902	Sama_0117	248323	131236	132051	-	1	formamidopyrimidine-DNA glycosylase (RefSeq)
6935903	Sama_0118	248323	132080	132517	-	1	hypothetical protein (RefSeq)
6935904	Sama_0119	248323	132579	133562	-	1	molybdenum cofactor biosynthesis protein A (RefSeq)
6935905	Sama_0120	248323	133572	135371	-	1	molybdopterin biosynthesis MoeA protein, putative (RefSeq)
6935906	Sama_0121	248323	135388	135978	-	1	molybdopterin-guanine dinucleotide biosynthesis protein (RefSeq)
6935907	Sama_0122	248323	135962	136654	-	1	ABC transporter, ATP-binding protein (RefSeq)
6935908	Sama_0123	248323	136654	137361	-	1	ABC transporter, permease protein (RefSeq)
6935909	Sama_0124	248323	137358	138170	-	1	putative sulfate transport system substrate-binding protein (RefSeq)
6935910	Sama_0125	248323	138447	139829	+	1	response regulator receiver protein (RefSeq)
6935911	Sama_0126	248323	139832	141958	+	1	sensor histidine kinase (RefSeq)
6935912	Sama_0127	248323	142808	143269	-	1	acetyltransferase (RefSeq)
6935913	Sama_0128	248323	143351	144010	-	1	hypothetical protein (RefSeq)
6935914	Sama_0129	248323	144286	145017	+	1	hypothetical protein (RefSeq)
6935915	Sama_0130	248323	145079	146437	-	1	menaquinone-specific isochorismate synthase, putative (RefSeq)
6935916	Sama_0131	248323	146791	148878	+	1	TonB-dependent receptor (RefSeq)
6935917	Sama_0132	248323	148875	150365	+	1	ABC transporter related (RefSeq)
6935918	Sama_0133	248323	150362	151033	+	1	hypothetical protein (RefSeq)
6935919	Sama_0134	248323	151023	151580	+	1	hypothetical protein (RefSeq)
6935920	Sama_0135	248323	151580	152323	+	1	hypothetical protein (RefSeq)
6935921	Sama_0136	248323	152768	153964	+	1	putative metal dependent phosphohydrolase (RefSeq)
6935922	Sama_0137	248323	153990	154754	-	1	molybdopterin biosynthesis protein MoeB (RefSeq)
6935923	Sama_0138	248323	154760	156001	-	1	molybdopterin biosynthesis MoeA protein (RefSeq)
6935924	Sama_0139	248323	156138	157208	-	1	secretion protein HlyD (RefSeq)
6935925	Sama_0140	248323	157205	160285	-	1	acriflavin resistance protein (RefSeq)
6935926	Sama_0141	248323	160498	161025	+	1	ferritin (RefSeq)
6935927	Sama_0142	248323	161067	164276	-	1	sensory box protein (RefSeq)
6935928	Sama_0143	248323	164603	165271	-	1	3,4-dihydroxy-2-butanone 4-phosphate synthase (RefSeq)
6935929	Sama_0144	248323	165836	167947	+	1	oligopeptidase B (RefSeq)
6935930	Sama_0145	248323	167944	168264	+	1	endonuclease (RefSeq)
6935931	Sama_0146	248323	168261	168920	+	1	response regulator receiver protein (RefSeq)
6935932	Sama_0147	248323	168917	170131	+	1	signal transduction histidine kinase-like protein (RefSeq)
6935933	Sama_0148	248323	170186	170986	+	1	hypothetical protein (RefSeq)
6935934	Sama_0149	248323	171444	172322	+	1	hypothetical protein (RefSeq)
6935935	Sama_0150	248323	172620	173411	+	1	putative SAM-dependent methyltransferase (RefSeq)
6935936	Sama_0151	248323	173735	178651	+	1	serine protease (RefSeq)
6935937	Sama_0152	248323	178728	179651	+	1	hypothetical protein (RefSeq)
6935938	Sama_0153	248323	179654	180034	+	1	hypothetical protein (RefSeq)
6935939	Sama_0154	248323	180034	180747	+	1	response regulator receiver protein (RefSeq)
6935940	Sama_0155	248323	180750	181979	+	1	signal transduction histidine kinase-like protein (RefSeq)
6935941	Sama_0156	248323	182293	185619	+	1	glycosyl hydrolase family 31 protein (RefSeq)
6935942	Sama_0157	248323	185703	186641	-	1	metallo-beta-lactamase family protein (RefSeq)
6935943	Sama_0158	248323	186759	187667	+	1	LysR family transcriptional regulator (RefSeq)
6935944	Sama_0159	248323	187894	188409	+	1	hypothetical protein (RefSeq)
6935945	Sama_0160	248323	188547	190193	+	1	glutamate synthase domain-containing protein (RefSeq)
6935946	Sama_0161	248323	190244	192076	-	1	carboxypeptidase (RefSeq)
6935947	Sama_0162	248323	192484	192888	-	1	biopolymer transport protein ExbD/TolR (RefSeq)
6935948	Sama_0163	248323	193206	193613	-	1	hypothetical protein (RefSeq)
6935949	Sama_0164	248323	193682	193900	-	7	
6935950	Sama_0165	248323	193980	195521	-	1	phosphoenolpyruvate carboxykinase (RefSeq)
6935951	Sama_0166	248323	195721	196605	-	1	Hsp33-like chaperonin (RefSeq)
6935952	Sama_0167	248323	196621	197025	-	1	heat shock protein 15 (RefSeq)
6935953	Sama_0168	248323	197297	198220	+	1	general secretion pathway protein C (RefSeq)
6935954	Sama_0169	248323	198247	200358	+	1	type II and III secretion system protein (RefSeq)
6935955	Sama_0170	248323	200369	201931	+	1	general secretion pathway protein E (RefSeq)
