feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS16655,,rpmH,LSU ribosomal protein L34p,50S ribosomal protein L34,"50S ribosomal protein bL34, a small basic component of the large ribosomal subunit important for efficient translation; mutants show altered fitness under translation-targeting antibiotics (e.g., fusidic acid, gentamicin/sisomicin) and metal/oxidative stress conditions.",specific,specific,specific,other_specific,RAST,LSU ribosomal protein L34p
ACIAD_RS16650,,rnpA,Ribonuclease P protein component (EC 3.1.26.5),ribonuclease P protein component,Protein subunit of bacterial RNase P that binds the catalytic RNase P RNA and promotes 5′-end processing of precursor tRNAs (tRNA maturation).,specific,specific,specific,enzyme,RAST,Ribonuclease P protein component (EC 3.1.26.5)
ACIAD_RS16645,ACIAD3682,yidD,Membrane protein insertion efficiency factor YidD,membrane protein insertion efficiency factor YidD,"Predicted YidD-like membrane protein insertion efficiency factor, a small inner-membrane protein implicated in facilitating insertion/biogenesis of membrane proteins.",specific,specific,specific,other_specific,RAST,Membrane protein insertion efficiency factor YidD
ACIAD_RS16640,,yidC,"Inner membrane protein translocase and chaperone YidC, long form",membrane protein insertase YidC,Inner-membrane insertase YidC; catalyzes insertion/folding of membrane proteins (Sec/YidC-dependent) and supports robust growth across diverse nutrient conditions.,specific,specific,specific,other_specific,RAST,"Inner membrane protein translocase and chaperone YidC, long form"
ACIAD_RS16635,,mnmE,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,"tRNA-modifying P-loop GTPase MnmE (TrmE), which with MnmG catalyzes formation of the mnm5 group on wobble uridine (U34) in multiple tRNAs to support efficient/accurate translation and growth under diverse conditions.",specific,specific,specific,other_specific,RAST,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE
ACIAD_RS16630,,hlyD,Membrane fusion component of MSF-type tripartite multidrug efflux system,HlyD family secretion protein,"Periplasmic membrane fusion/adaptor protein (AcrA/MdtA-like) that partners with inner-membrane multidrug transporters and an outer-membrane channel to form a tripartite efflux pump, contributing to tolerance to diverse antibiotics and chemical/oxidative stresses.",specific,specific,specific,transporter,RAST,Membrane fusion component of MSF-type tripartite multidrug efflux system
ACIAD_RS16625,ACIAD3678,,Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system,MFS transporter,"Predicted EmrB-like major facilitator superfamily (MFS) transporter, likely functioning as a drug/multidrug efflux pump.",specific,specific,specific,transporter,RAST,Inner-membrane proton/drug antiporter (MSF type) of tripartite multidrug efflux system
ACIAD_RS16620,ACIAD3677,,hypothetical protein,N-acetyltransferase domain-containing protein,"Likely accessory protein in a chaperone–usher (type 1 fimbrial) pilus operon, implicated in fimbriae/adhesin assembly and outer-surface attachment.",hypothetical,specific,specific,hypothetical,Bakta,N-acetyltransferase domain-containing protein
ACIAD_RS16615,ACIAD3676,,Homolog of plant auxin-responsive GH3-like protein,GH3 auxin-responsive promoter,"Glycoside hydrolase family 3 (GH3) enzyme, likely a beta-N-acetylglucosaminidase/beta-glucosidase that hydrolyzes glycosidic bonds in oligosaccharides (possibly peptidoglycan-derived), contributing to cell envelope maintenance and stress tolerance.",specific,specific,specific,other_specific,RAST,Homolog of plant auxin-responsive GH3-like protein
ACIAD_RS16610,,,"CzcABC family efflux RND transporter, outer membrane protein",Putative outer membrane protein,"TolC-like outer membrane channel protein that forms the outer-membrane exit duct for tripartite efflux/secretion systems, contributing to fitness during growth on specific carbon sources.",specific,specific,specific,transporter,RAST,"CzcABC family efflux RND transporter, outer membrane protein"
ACIAD_RS16605,ACIAD3674,,hypothetical protein,N-acetyltransferase domain-containing protein,"Predicted GNAT-like acyl-CoA–dependent N-acyltransferase that acetylates amine-containing metabolites, impacting carbon/nitrogen utilization and tolerance to antibiotics/envelope stresses.",hypothetical,specific,specific,hypothetical,Agent,"Predicted GNAT-like acyl-CoA–dependent N-acyltransferase that acetylates amine-containing metabolites, impacting carbon/nitrogen utilization and tolerance to antibiotics/envelope stresses."
