locusId	sysName	scaffoldId	begin	end	strand	type	desc
HGI48_RS00010	HGI48_RS00010	NZ_CP051429	1325	2425	+	1	DNA polymerase III subunit beta
HGI48_RS00015	HGI48_RS00015	NZ_CP051429	2591	3676	+	1	DNA replication/repair protein RecF
HGI48_RS00020	HGI48_RS00020	NZ_CP051429	3694	6105	+	1	DNA topoisomerase (ATP-hydrolyzing) subunit B
HGI48_RS00025	HGI48_RS00025	NZ_CP051429	6296	7525	+	1	AAA family ATPase
HGI48_RS00030	HGI48_RS00030	NZ_CP051429	7522	10971	+	1	tetratricopeptide repeat protein
HGI48_RS00035	HGI48_RS00035	NZ_CP051429	11041	12228	-	1	MFS transporter
HGI48_RS00040	HGI48_RS00040	NZ_CP051429	12422	13174	-	1	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ
HGI48_RS00045	HGI48_RS00045	NZ_CP051429	13171	15213	-	1	oligopeptidase A
HGI48_RS00050	HGI48_RS00050	NZ_CP051429	15345	15629	-	1	DUF2623 domain-containing protein
HGI48_RS00055	HGI48_RS00055	NZ_CP051429	15832	16674	+	1	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
HGI48_RS00060	HGI48_RS00060	NZ_CP051429	16688	17602	-	1	ribonuclease Z
HGI48_RS00065	HGI48_RS00065	NZ_CP051429	17924	19276	+	1	glutathione-disulfide reductase
HGI48_RS00070	HGI48_RS00070	NZ_CP051429	19819	21234	+	1	MBOAT family protein
HGI48_RS00075	HGI48_RS00075	NZ_CP051429	21221	22288	+	1	DUF459 domain-containing protein
HGI48_RS00080	HGI48_RS00080	NZ_CP051429	22311	23525	+	1	hypothetical protein
HGI48_RS00085	HGI48_RS00085	NZ_CP051429	23629	23754	+	7	IS3 family transposase
HGI48_RS00090	HGI48_RS00090	NZ_CP051429	24219	25466	-	1	formyl-CoA transferase
HGI48_RS00095	HGI48_RS00095	NZ_CP051429	25560	25997	-	1	PAS domain-containing protein
HGI48_RS00100	HGI48_RS00100	NZ_CP051429	26003	27280	-	1	formyl-CoA transferase
HGI48_RS00105	HGI48_RS00105	NZ_CP051429	27319	29064	-	1	oxalyl-CoA decarboxylase
HGI48_RS00110	HGI48_RS00110	NZ_CP051429	29118	30425	-	1	OFA family MFS transporter
HGI48_RS00115	HGI48_RS00115	NZ_CP051429	31016	31912	+	1	LysR family transcriptional regulator
HGI48_RS00120	HGI48_RS00120	NZ_CP051429	32365	32832	+	1	GNAT family N-acetyltransferase
HGI48_RS00125	HGI48_RS00125	NZ_CP051429	33103	33393	+	1	DUF3861 domain-containing protein
HGI48_RS00130	HGI48_RS00130	NZ_CP051429	33534	34502	+	1	glucokinase
HGI48_RS00135	HGI48_RS00135	NZ_CP051429	34595	35713	-	1	alkylhydroperoxidase domain protein
HGI48_RS00140	HGI48_RS00140	NZ_CP051429	35710	36750	-	1	putative FMN-dependent luciferase-like monooxygenase
HGI48_RS00145	HGI48_RS00145	NZ_CP051429	36780	38477	-	1	ABC transporter ATP-binding protein
HGI48_RS00150	HGI48_RS00150	NZ_CP051429	38474	39349	-	1	ABC transporter permease
HGI48_RS00155	HGI48_RS00155	NZ_CP051429	39351	40292	-	1	ABC transporter permease
HGI48_RS00160	HGI48_RS00160	NZ_CP051429	40322	41965	-	1	TIGR04028 family ABC transporter substrate-binding protein
HGI48_RS00165	HGI48_RS00165	NZ_CP051429	42289	43545	-	1	valine--pyruvate transaminase
HGI48_RS00170	HGI48_RS00170	NZ_CP051429	43899	45107	+	1	aldose 1-epimerase family protein
HGI48_RS00175	HGI48_RS00175	NZ_CP051429	45209	46171	-	1	glyoxylate/hydroxypyruvate reductase GhrB
HGI48_RS00180	HGI48_RS00180	NZ_CP051429	46828	47766	+	1	RNA-directed DNA polymerase
HGI48_RS00185	HGI48_RS00185	NZ_CP051429	47763	49421	+	1	AAA family ATPase
HGI48_RS00190	HGI48_RS00190	NZ_CP051429	49418	50065	+	1	TIGR02646 family protein
HGI48_RS00195	HGI48_RS00195	NZ_CP051429	50123	50578	-	1	N-acetyltransferase
HGI48_RS00200	HGI48_RS00200	NZ_CP051429	50575	51135	-	1	DNA-3-methyladenine glycosylase I
HGI48_RS00205	HGI48_RS00205	NZ_CP051429	51334	52140	+	1	sulfite exporter TauE/SafE family protein
HGI48_RS00210	HGI48_RS00210	NZ_CP051429	52285	53199	+	1	glycine--tRNA ligase subunit alpha
HGI48_RS00215	HGI48_RS00215	NZ_CP051429	53209	55278	+	1	glycine--tRNA ligase subunit beta
HGI48_RS00220	HGI48_RS00220	NZ_CP051429	55867	56637	+	1	alpha/beta hydrolase
HGI48_RS00225	HGI48_RS00225	NZ_CP051429	56977	60570	-	1	urea carboxylase
HGI48_RS00230	HGI48_RS00230	NZ_CP051429	60672	61307	-	1	urea carboxylase-associated family protein
HGI48_RS00235	HGI48_RS00235	NZ_CP051429	61310	62029	-	1	urea carboxylase-associated family protein
HGI48_RS00240	HGI48_RS00240	NZ_CP051429	62058	62834	-	1	ATP-binding cassette domain-containing protein
HGI48_RS00245	HGI48_RS00245	NZ_CP051429	62862	63674	-	1	ABC transporter permease subunit
HGI48_RS00250	HGI48_RS00250	NZ_CP051429	63691	64746	-	1	ABC transporter substrate-binding protein
HGI48_RS00255	HGI48_RS00255	NZ_CP051429	65457	66167	+	1	DUF3053 domain-containing protein
HGI48_RS00260	HGI48_RS00260	NZ_CP051429	66657	68564	+	1	PTS mannitol transporter subunit IICBA
HGI48_RS00265	HGI48_RS00265	NZ_CP051429	68640	69788	+	1	mannitol-1-phosphate 5-dehydrogenase
