locusId	sysName	scaffoldId	begin	end	strand	type	desc
CCNA_00001	CCNA_00001	NC_011916	202	1107	+	1	ATP/GTP-binding protein
CCNA_00002	CCNA_00002	NC_011916	1104	1703	+	1	septum formation protein Maf
CCNA_00003	CCNA_00003	NC_011916	1700	2557	+	1	shikimate 5-dehydrogenase
CCNA_00004	CCNA_00004	NC_011916	2559	3158	+	1	dephospho-CoA kinase
CCNA_00005	CCNA_00005	NC_011916	3190	3903	+	1	DNA polymerase III, epsilon chain
CCNA_00006	CCNA_00006	NC_011916	4022	4810	+	1	enoyl-CoA hydratase
CCNA_00007	CCNA_00007	NC_011916	4960	5235	+	1	SSU ribosomal protein S20P
CCNA_00008	CCNA_00008	NC_011916	5636	7108	+	1	chromosome replication initiator protein DnaA
CCNA_00009	CCNA_00009	NC_011916	7170	7790	-	1	alkylated DNA repair protein AlkB
CCNA_00010	CCNA_00010	NC_011916	8165	10060	+	1	chaperone protein DnaK
CCNA_00011	CCNA_00011	NC_011916	10223	11380	+	1	chaperone protein DnaJ
CCNA_00012	CCNA_00012	NC_011916	11467	14178	+	1	DNA mismatch repair protein MutS
CCNA_00013	CCNA_00013	NC_011916	14199	17021	+	1	protein-PII uridylyltransferase
CCNA_00014	CCNA_00014	NC_011916	17018	17494	-	1	molybdenum cofactor biosynthesis protein C
CCNA_00015	CCNA_00015	NC_011916	17491	18042	-	1	molybdenum cofactor biosynthesis protein B
CCNA_00016	CCNA_00016	NC_011916	18043	18495	-	1	molybdopterin converting factor, large subunit
CCNA_00017	CCNA_00017	NC_011916	18492	18731	-	1	molybdopterin converting factor, small subunit
CCNA_00018	CCNA_00018	NC_011916	18735	19784	-	1	molybdenum cofactor biosynthesis protein A
CCNA_00019	CCNA_00019	NC_011916	19815	20447	+	1	molybdopterin-guanine dinucleotide biosynthesis protein A
CCNA_00020	CCNA_00020	NC_011916	20444	20668	-	1	hypothetical protein
CCNA_03911	CCNA_03911	NC_011916	20665	20778	-	1	hypothetical protein
CCNA_00021	CCNA_00021	NC_011916	20840	23032	-	1	putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL
CCNA_00022	CCNA_00022	NC_011916	23029	23559	-	1	putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS
CCNA_00023	CCNA_00023	NC_011916	23742	24074	+	1	putative periplasmic protein
CCNA_00024	CCNA_00024	NC_011916	24091	24981	+	1	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase
CCNA_00025	CCNA_00025	NC_011916	24991	26643	-	1	major facilitator superfamily transporter
CCNA_00026	CCNA_00026	NC_011916	26701	29403	-	1	PAS-family sensor histidine kinase
CCNA_00027	CCNA_00027	NC_011916	29502	30191	-	1	2OG-Fe(II) oxygenase
CCNA_00028	CCNA_00028	NC_011916	30337	32658	-	1	TonB-dependent receptor
CCNA_00029	CCNA_00029	NC_011916	32914	33546	+	1	lysine exporter protein
CCNA_00030	CCNA_00030	NC_011916	33595	34329	+	1	ribonuclease T2
CCNA_00031	CCNA_00031	NC_011916	34312	34698	-	1	toxin protein VapC
CCNA_00032	CCNA_00032	NC_011916	34699	34941	-	1	antitoxin protein VapB
CCNA_03912	CCNA_03912	NC_011916	35047	35667	-	1	hypothetical protein
CCNA_00033	CCNA_00033	NC_011916	35824	37962	-	1	polyribonucleotide nucleotidyltransferase/polynucleotide adenylyltransferase
CCNA_00034	CCNA_00034	NC_011916	38211	38480	-	1	SSU ribosomal protein S15P
CCNA_00035	CCNA_00035	NC_011916	38495	39427	-	1	tRNA pseudouridine synthase B
CCNA_00036	CCNA_00036	NC_011916	39430	39879	-	1	ribosome-binding factor A
CCNA_00037	CCNA_00037	NC_011916	39980	40768	-	1	esterase lipase family protein
CCNA_00038	CCNA_00038	NC_011916	40828	41403	-	1	hypothetical protein
CCNA_00039	CCNA_00039	NC_011916	41403	41921	-	1	hypothetical protein
CCNA_00040	CCNA_00040	NC_011916	41960	42511	-	1	YcxB-like membrane protein
CCNA_00041	CCNA_00041	NC_011916	42585	45614	-	1	protein translation initiation factor 2 IF-2
CCNA_00042	CCNA_00042	NC_011916	45893	46543	-	1	RNA-binding protein, YlxR family
CCNA_00043	CCNA_00043	NC_011916	46622	48268	-	1	N utilization substance protein A NusA
