locusId	sysName	scaffoldId	begin	end	strand	type	desc
pANS_2		NC_004990	574	1137	-	1	orfA
pANS_3		NC_004990	1485	1928	+	1	pmaA
pANS_4		NC_004990	1938	2483	+	1	pmaB
pANS_5		NC_004990	2644	3159	-	1	orfD
pANS_6		NC_004990	3567	4040	-	1	repB
pANS_7		NC_004990	3995	6625	-	1	repA
pANS_8		NC_004990	6800	7402	-	1	orfG
Synpcc7942_B2615	Synpcc7942_B2615	NC_007595	65	394	-	1	hypothetical protein
Synpcc7942_B2626	Synpcc7942_B2626	NC_007595	497	1321	-	1	hypothetical protein
Synpcc7942_B2637	Synpcc7942_B2637	NC_007595	1318	1929	-	1	ParA-like protein
Synpcc7942_B2648	Synpcc7942_B2648	NC_007595	2063	2329	+	1	hypothetical protein
Synpcc7942_B2659	Synpcc7942_B2659	NC_007595	2340	2723	+	1	nucleic acid-binding protein,contains PIN domain
Synpcc7942_B2654	Synpcc7942_B2654	NC_007595	2720	3070	-	1	hypothetical protein
Synpcc7942_B2661	Synpcc7942_B2661	NC_007595	3160	5040	-	1	cysteine desulfurase
Synpcc7942_B2662	Synpcc7942_B2662	NC_007595	5275	6195	-	1	major membrane protein I
Synpcc7942_B2663	Synpcc7942_B2663	NC_007595	6290	7249	-	1	putative serine acetyltransferase
Synpcc7942_B2664	Synpcc7942_B2664	NC_007595	7246	8235	-	1	cysteine synthase
Synpcc7942_B2616	Synpcc7942_B2616	NC_007595	8691	9050	+	1	hypothetical protein
Synpcc7942_B2617	Synpcc7942_B2617	NC_007595	9300	9845	-	1	hypothetical protein
Synpcc7942_B2618	Synpcc7942_B2618	NC_007595	9947	10381	+	1	transcriptional regulator, BadM/Rrf2 family
Synpcc7942_B2619	Synpcc7942_B2619	NC_007595	10600	11178	+	1	carbonic anhydrase, putative
Synpcc7942_B2620	Synpcc7942_B2620	NC_007595	11202	12299	+	1	putative catalase
Synpcc7942_B2621	Synpcc7942_B2621	NC_007595	12400	12948	+	1	Uncharacterized membrane protein-like
Synpcc7942_B2622	Synpcc7942_B2622	NC_007595	13100	14281	+	1	probable chromate transport transmembrane protein
Synpcc7942_B2623	Synpcc7942_B2623	NC_007595	14412	15401	+	1	cysteine synthase A
Synpcc7942_B2624	Synpcc7942_B2624	NC_007595	15398	16924	+	1	gamma-glutamyltransferase 2. Threonine peptidase. MEROPS family T03
Synpcc7942_B2625	Synpcc7942_B2625	NC_007595	17149	17676	+	1	hypothetical protein
Synpcc7942_B2627	Synpcc7942_B2627	NC_007595	17687	18748	+	1	hypothetical protein
Synpcc7942_B2628	Synpcc7942_B2628	NC_007595	18745	19557	+	1	sulfonate ABC transporter, ATP-binding protein, putative
Synpcc7942_B2629	Synpcc7942_B2629	NC_007595	19583	20806	+	1	sulfonate ABC transporter, periplasmic sulfonate-binding protein, putative
Synpcc7942_B2630	Synpcc7942_B2630	NC_007595	20808	21608	+	1	sulfonate ABC transporter, permease protein, putative
Synpcc7942_B2631	Synpcc7942_B2631	NC_007595	21934	22212	+	1	hypothetical protein
Synpcc7942_B2652	Synpcc7942_B2652	NC_007595	22166	22417	+	1	hypothetical protein
Synpcc7942_B2655	Synpcc7942_B2655	NC_007595	22675	23511	-	1	hypothetical protein
Synpcc7942_B2632	Synpcc7942_B2632	NC_007595	23609	24160	-	1	hypothetical protein
Synpcc7942_B2633	Synpcc7942_B2633	NC_007595	24871	27870	+	1	hypothetical protein
Synpcc7942_B2656	Synpcc7942_B2656	NC_007595	27980	28894	-	1	hypothetical protein
Synpcc7942_B2657	Synpcc7942_B2657	NC_007595	29150	29365	-	1	hypothetical protein
Synpcc7942_B2634	Synpcc7942_B2634	NC_007595	29941	31320	-	1	hypothetical protein
Synpcc7942_B2635	Synpcc7942_B2635	NC_007595	31738	32697	+	1	hypothetical protein
Synpcc7942_B2636	Synpcc7942_B2636	NC_007595	33473	33760	+	1	hypothetical protein
Synpcc7942_B2658	Synpcc7942_B2658	NC_007595	34129	34359	-	1	hypothetical protein
Synpcc7942_B2638	Synpcc7942_B2638	NC_007595	34543	34836	+	1	hypothetical protein
Synpcc7942_B2639	Synpcc7942_B2639	NC_007595	34802	35131	+	1	hypothetical protein
Synpcc7942_B2640	Synpcc7942_B2640	NC_007595	35646	36077	-	1	hypothetical protein
Synpcc7942_B2641	Synpcc7942_B2641	NC_007595	36267	36392	+	1	hypothetical protein
Synpcc7942_B2642	Synpcc7942_B2642	NC_007595	36501	37493	-	1	putative zinc-binding oxidoreductase
Synpcc7942_B2643	Synpcc7942_B2643	NC_007595	37703	38428	-	1	ThiJ family protein
Synpcc7942_B2644	Synpcc7942_B2644	NC_007595	38521	39228	+	1	response regulator receiver domain protein (CheY-like)
Synpcc7942_B2645	Synpcc7942_B2645	NC_007595	39571	40194	+	1	hypothetical protein
Synpcc7942_B2646	Synpcc7942_B2646	NC_007595	40470	41786	-	1	two-component sensor histidine kinase
Synpcc7942_B2647	Synpcc7942_B2647	NC_007595	41755	42429	-	1	response regulator receiver domain protein (CheY-like)
Synpcc7942_B2649	Synpcc7942_B2649	NC_007595	42652	43134	+	1	hypothetical protein
Synpcc7942_B2650	Synpcc7942_B2650	NC_007595	43298	43888	+	1	hypothetical protein
Synpcc7942_B2660	Synpcc7942_B2660	NC_007595	43857	44252	+	1	hypothetical protein
Synpcc7942_B2651	Synpcc7942_B2651	NC_007595	44779	45741	-	1	integrase/recombinase
Synpcc7942_B2653	Synpcc7942_B2653	NC_007595	45831	46181	-	1	transcriptional modulator of MazE/toxin, MazF
Synpcc7942_0001	Synpcc7942_0001	NC_007604	65	1237	+	1	DNA polymerase III subunit beta
Synpcc7942_0002	Synpcc7942_0002	NC_007604	1262	2134	+	1	hypothetical protein
Synpcc7942_0003	Synpcc7942_0003	NC_007604	2178	4511	+	1	phosphoribosylformylglycinamidine synthase II
Synpcc7942_0004	Synpcc7942_0004	NC_007604	4596	6077	+	1	amidophosphoribosyltransferase
Synpcc7942_0005	Synpcc7942_0005	NC_007604	6111	7706	-	1	hypothetical protein
Synpcc7942_0006	Synpcc7942_0006	NC_007604	7779	8192	-	1	hypothetical protein
Synpcc7942_0007	Synpcc7942_0007	NC_007604	8189	8539	-	1	hypothetical protein
Synpcc7942_0008	Synpcc7942_0008	NC_007604	8536	8859	-	1	hypothetical protein
Synpcc7942_0009	Synpcc7942_0009	NC_007604	8964	10166	+	1	argininosuccinate synthase
Synpcc7942_0010	Synpcc7942_0010	NC_007604	10252	10878	-	1	hypothetical protein
Synpcc7942_0011	Synpcc7942_0011	NC_007604	10998	11474	-	1	hypothetical protein
Synpcc7942_0012	Synpcc7942_0012	NC_007604	11641	11964	-	1	30S ribosomal protein S6
Synpcc7942_0013	Synpcc7942_0013	NC_007604	12321	13028	+	1	hypothetical protein
Synpcc7942_0014	Synpcc7942_0014	NC_007604	13067	13411	-	1	hypothetical protein
