locusId	sysName	scaffoldId	begin	end	strand	type	desc
CA264_00005	CA264_00005	CP021235	1	1425	+	1	chromosomal replication initiation protein DnaA
CA264_00010	CA264_00010	CP021235	1516	1944	-	1	hypothetical protein
CA264_00015	CA264_00015	CP021235	2355	3854	+	1	hypothetical protein
CA264_00020	CA264_00020	CP021235	4390	5541	+	1	1-deoxy-D-xylulose-5-phosphate reductoisomerase
CA264_00025	CA264_00025	CP021235	5599	6912	+	1	RIP metalloprotease RseP
CA264_00030	CA264_00030	CP021235	6928	8055	+	1	peptidoglycan-binding protein
CA264_00035	CA264_00035	CP021235	8115	8621	+	1	hypothetical protein
CA264_00040	CA264_00040	CP021235	9050	11023	-	1	hypothetical protein
CA264_00045	CA264_00045	CP021235	11239	13728	+	1	endopeptidase La
CA264_00050	CA264_00050	CP021235	13950	14993	+	1	hypothetical protein
CA264_00055	CA264_00055	CP021235	15063	16457	+	1	ATP-dependent protease ATP-binding subunit HslU
CA264_00060	CA264_00060	CP021235	16701	17432	+	1	short-chain dehydrogenase
CA264_00065	CA264_00065	CP021235	17626	18045	+	1	transposase
CA264_00070	CA264_00070	CP021235	18949	20298	+	1	hypothetical protein
CA264_00075	CA264_00075	CP021235	20337	20600	+	1	hypothetical protein
CA264_00080	CA264_00080	CP021235	20628	22319	+	1	cation acetate symporter
CA264_00085	CA264_00085	CP021235	22439	22657	+	1	hypothetical protein
CA264_00090	CA264_00090	CP021235	22654	25377	+	1	histidine kinase
CA264_00095	CA264_00095	CP021235	25393	25776	+	1	response regulator
CA264_00100	CA264_00100	CP021235	25800	29657	+	1	acetate--CoA ligase
CA264_00105	CA264_00105	CP021235	30270	32201	+	1	nucleotidyltransferase
CA264_00110	CA264_00110	CP021235	32201	32899	+	1	DNA polymerase III subunit epsilon
CA264_00115	CA264_00115	CP021235	33064	33564	+	1	hypothetical protein
CA264_00120	CA264_00120	CP021235	33678	34238	+	1	hypothetical protein
CA264_00125	CA264_00125	CP021235	34408	35481	-	1	hypothetical protein
CA264_00130	CA264_00130	CP021235	35512	36021	-	1	glyoxalase
CA264_00135	CA264_00135	CP021235	36133	36453	+	1	transcriptional regulator
CA264_00140	CA264_00140	CP021235	36696	36908	+	1	hypothetical protein
CA264_00145	CA264_00145	CP021235	37074	37637	+	1	DNA mismatch repair protein MutT
CA264_00150	CA264_00150	CP021235	37745	38551	+	1	1-acyl-sn-glycerol-3-phosphate acyltransferase
CA264_00155	CA264_00155	CP021235	38493	38780	+	1	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
CA264_00160	CA264_00160	CP021235	38911	41952	+	1	hypothetical protein
CA264_00165	CA264_00165	CP021235	41962	42690	+	1	macrolide ABC transporter ATP-binding protein
CA264_00170	CA264_00170	CP021235	42690	43244	+	1	ATP:cob(I)alamin adenosyltransferase
CA264_00175	CA264_00175	CP021235	43302	44375	+	1	branched chain amino acid aminotransferase
