locusId	sysName	scaffoldId	begin	end	strand	type	desc
3606569	Dshi_0001	57145	128	1567	+	1	glutamate synthase, small subunit (RefSeq)
3606570	Dshi_0002	57145	1782	6320	+	1	Glutamate synthase (ferredoxin) (RefSeq)
3606572	Dshi_0004	57145	7257	8114	-	1	hypothetical protein (RefSeq)
3606573	Dshi_0005	57145	8220	8924	+	1	hypothetical protein (RefSeq)
3606574	Dshi_0006	57145	9028	9855	+	1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (RefSeq)
3606576	Dshi_0008	57145	10683	11255	+	1	hypothetical protein (RefSeq)
3606577	Dshi_0009	57145	11747	11953	-	1	cold-shock DNA-binding domain protein (RefSeq)
3606578	Dshi_0010	57145	12121	12642	-	1	protein of unknown function DUF305 (RefSeq)
3606579	Dshi_0011	57145	12777	13124	+	1	hypothetical protein (RefSeq)
3606580	Dshi_0012	57145	13129	14268	+	1	succinyl-diaminopimelate desuccinylase (RefSeq)
3606581	Dshi_0013	57145	14265	14693	+	1	GCN5-related N-acetyltransferase (RefSeq)
3606582	Dshi_0014	57145	14693	15271	+	1	hypothetical protein (RefSeq)
3606583	Dshi_0015	57145	15472	17727	+	1	ribonuclease R (RefSeq)
3606584	Dshi_0016	57145	18179	19426	+	1	lytic murein transglycosylase (RefSeq)
3606585	Dshi_0017	57145	19516	20166	-	1	hypothetical protein (RefSeq)
3606586	Dshi_0018	57145	20326	22629	-	1	multicopper oxidase type 2 (RefSeq)
3606587	Dshi_0019	57145	22866	24683	+	1	GTP-binding protein TypA (RefSeq)
3606588	Dshi_0020	57145	25297	26019	-	1	putative transcriptional regulator, CadC (RefSeq)
3606589	Dshi_0021	57145	25973	26377	-	1	hypothetical protein (RefSeq)
3606590	Dshi_0022	57145	26400	26954	+	1	hypothetical protein (RefSeq)
3606591	Dshi_0023	57145	26998	27618	+	1	Ribonuclease H (RefSeq)
3606592	Dshi_0024	57145	27713	28819	+	1	DNA methylase N-4/N-6 domain protein (RefSeq)
3606593	Dshi_0025	57145	29143	29814	+	1	anti-ECFsigma factor, ChrR (RefSeq)
3606594	Dshi_0026	57145	29888	30529	+	1	NAD-dependent epimerase/dehydratase (RefSeq)
3606595	Dshi_0027	57145	30653	31807	-	1	Alkane 1-monooxygenase (RefSeq)
3606596	Dshi_0028	57145	31815	32909	-	1	A/G-specific adenine glycosylase (RefSeq)
3606597	Dshi_0029	57145	32995	33507	+	1	protein of unknown function DUF1159 (RefSeq)
3606598	Dshi_0030	57145	33519	34190	+	1	thiol-disulfide oxidoreductase D, putative (RefSeq)
3606599	Dshi_0031	57145	34226	35239	-	1	tetraacyldisaccharide 4'-kinase (RefSeq)
3606600	Dshi_0032	57145	35239	36555	-	1	Three-deoxy-D-manno-octulosonic-acid transferase domain protein (RefSeq)
3606601	Dshi_0033	57145	36716	36907	-	1	protein of unknown function DUF343 (RefSeq)
3606602	Dshi_0034	57145	36904	37551	-	1	peptidase S16 lon domain protein (RefSeq)
3606603	Dshi_0035	57145	37578	38489	-	1	Thioredoxin domain (RefSeq)
3606604	Dshi_0036	57145	38563	39351	-	1	exodeoxyribonuclease III Xth (RefSeq)
3606605	Dshi_0037	57145	39692	40216	+	1	LPXTG-motif cell wall anchor domain (RefSeq)
3606606	Dshi_0038	57145	40432	41118	-	1	two component transcriptional regulator, winged helix family (RefSeq)
