locusId	sysName	scaffoldId	begin	end	strand	type	desc
Pf6N2E2_1		unitig_0|quiver.unitig_1|quiver|pilon	90	860	-	1	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)
Pf6N2E2_2		unitig_0|quiver.unitig_1|quiver|pilon	1006	1740	+	1	FIG057993:Thioesterase involved in non-ribosomal peptide biosynthesis
Pf6N2E2_3		unitig_0|quiver.unitig_1|quiver|pilon	2014	14454	+	1	Non-ribosomal peptide synthetase modules, pyoverdine
Pf6N2E2_4		unitig_0|quiver.unitig_1|quiver|pilon	14454	20954	+	1	Non-ribosomal peptide synthetase modules, pyoverdine @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
Pf6N2E2_5		unitig_0|quiver.unitig_1|quiver|pilon	20966	27997	+	1	Non-ribosomal peptide synthetase modules, pyoverdine @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
Pf6N2E2_6		unitig_0|quiver.unitig_1|quiver|pilon	27994	31221	+	1	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
Pf6N2E2_7		unitig_0|quiver.unitig_1|quiver|pilon	31462	31596	+	1	hypothetical protein
Pf6N2E2_8		unitig_0|quiver.unitig_1|quiver|pilon	31862	34336	+	1	TonB-dependent siderophore receptor
Pf6N2E2_9		unitig_0|quiver.unitig_1|quiver|pilon	34541	38686	-	1	Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
Pf6N2E2_10		unitig_0|quiver.unitig_1|quiver|pilon	38724	40382	-	1	PvdE, pyoverdine ABC export system, fused ATPase and permease components
Pf6N2E2_11		unitig_0|quiver.unitig_1|quiver|pilon	40736	40888	-	1	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)
Pf6N2E2_12		unitig_0|quiver.unitig_1|quiver|pilon	41033	41908	-	1	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)
Pf6N2E2_13		unitig_0|quiver.unitig_1|quiver|pilon	41933	43213	-	1	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V
Pf6N2E2_14		unitig_0|quiver.unitig_1|quiver|pilon	43210	44580	-	1	Putative dipeptidase, pyoverdin biosynthesis PvdM
Pf6N2E2_15		unitig_0|quiver.unitig_1|quiver|pilon	44782	46380	+	1	Pyoverdine biosynthesis related protein PvdP
Pf6N2E2_16		unitig_0|quiver.unitig_1|quiver|pilon	46583	46909	-	1	hypothetical protein
Pf6N2E2_17		unitig_0|quiver.unitig_1|quiver|pilon	49527	49730	-	1	hypothetical protein
Pf6N2E2_18		unitig_0|quiver.unitig_1|quiver|pilon	51075	52469	-	1	Outer membrane pyoverdine eflux protein
Pf6N2E2_19		unitig_0|quiver.unitig_1|quiver|pilon	52480	54450	-	1	Pyoverdine efflux carrier and ATP binding protein
Pf6N2E2_20		unitig_0|quiver.unitig_1|quiver|pilon	54451	55602	-	1	pyoverdine-specific efflux macA-like protein
Pf6N2E2_21		unitig_0|quiver.unitig_1|quiver|pilon	56134	56616	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis
Pf6N2E2_22		unitig_0|quiver.unitig_1|quiver|pilon	56762	58096	+	1	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis
Pf6N2E2_23		unitig_0|quiver.unitig_1|quiver|pilon	58372	61572	+	1	Hybrid sensory histidine kinase in two-component regulatory system with EvgA
Pf6N2E2_24		unitig_0|quiver.unitig_1|quiver|pilon	61700	62134	+	1	hypothetical protein
Pf6N2E2_25		unitig_0|quiver.unitig_1|quiver|pilon	62210	62863	+	1	DNA-binding response regulator, LuxR family
Pf6N2E2_26		unitig_0|quiver.unitig_1|quiver|pilon	63017	63883	+	1	Pirin
Pf6N2E2_27		unitig_0|quiver.unitig_1|quiver|pilon	63992	65434	+	1	Mechanosensitive ion channel
Pf6N2E2_28		unitig_0|quiver.unitig_1|quiver|pilon	65741	66181	+	1	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein
Pf6N2E2_29		unitig_0|quiver.unitig_1|quiver|pilon	66405	66905	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis @ FIG006045: Sigma factor, ECF subfamily
Pf6N2E2_30		unitig_0|quiver.unitig_1|quiver|pilon	66943	67926	+	1	Antisigma transmembrane sensor FpvR
Pf6N2E2_31		unitig_0|quiver.unitig_1|quiver|pilon	68024	70462	+	1	Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein
Pf6N2E2_32		unitig_0|quiver.unitig_1|quiver|pilon	70667	71818	-	1	Membrane protein mosC
Pf6N2E2_33		unitig_0|quiver.unitig_1|quiver|pilon	71998	72999	+	1	Diaminopimelate epimerase (EC 5.1.1.7)
Pf6N2E2_34		unitig_0|quiver.unitig_1|quiver|pilon	73056	74303	-	1	Cytosine deaminase (EC 3.5.4.1)
Pf6N2E2_35		unitig_0|quiver.unitig_1|quiver|pilon	74316	75587	-	1	Cytosine permease
Pf6N2E2_36		unitig_0|quiver.unitig_1|quiver|pilon	75774	76604	-	1	Possible oxidoreductase
Pf6N2E2_37		unitig_0|quiver.unitig_1|quiver|pilon	76838	77194	-	1	6-carboxytetrahydropterin synthase (EC 4.1.2.50) @ Queuosine biosynthesis QueD, PTPS-I
Pf6N2E2_38		unitig_0|quiver.unitig_1|quiver|pilon	77278	78357	-	1	FIG00954456: hypothetical protein
Pf6N2E2_39		unitig_0|quiver.unitig_1|quiver|pilon	78501	78809	+	1	FIG00857858: hypothetical protein
