locusId	sysName	scaffoldId	begin	end	strand	type	desc
Ac3H11_3791		scaffold5/0	252	2318	-	1	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)
Ac3H11_3792		scaffold5/0	2439	2660	-	1	hypothetical protein
Ac3H11_3793		scaffold5/0	2657	3169	-	1	Bona fide RidA/YjgF/TdcF/RutC subgroup
Ac3H11_3794		scaffold5/0	3209	3640	-	1	Hemoglobin-like protein HbO
Ac3H11_3795		scaffold5/0	3716	6235	-	1	ABC transporter, permease protein, putative
Ac3H11_3796		scaffold5/0	6299	7981	-	1	MORN repeat family protein
Ac3H11_3797		scaffold5/0	8029	8925	-	1	Formate dehydrogenase chain D (EC 1.2.1.2)
Ac3H11_3798		scaffold5/0	9264	10844	+	1	diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)
Ac3H11_3799		scaffold5/0	10985	11338	-	1	putative exported protein
Ac3H11_3800		scaffold5/0	11386	12600	-	1	Formate dehydrogenase -O, gamma subunit (EC 1.2.1.2)
Ac3H11_3801		scaffold5/0	12609	12848	-	1	putative lipoprotein
Ac3H11_3802		scaffold5/0	12845	13462	-	1	Formate dehydrogenase-O, iron-sulfur subunit (EC 1.2.1.2); Putative formate dehydrogenase iron-sulfur subunit (EC 1.2.1.2)
Ac3H11_3803		scaffold5/0	13486	16455	-	1	Formate dehydrogenase-O, major subunit (EC 1.2.1.2)
Ac3H11_3804		scaffold5/0	16826	17461	-	1	Putative formate dehydrogenase-specific chaperone
Ac3H11_3805		scaffold5/0	17458	19527	-	1	Iron-sulfur cluster-binding protein
Ac3H11_3806		scaffold5/0	19487	20203	-	1	FIG00433900: hypothetical protein
Ac3H11_3807		scaffold5/0	20196	20756	-	1	FIG00431662: hypothetical protein
Ac3H11_3808		scaffold5/0	20822	23707	-	1	tungsten-containing formate dehydrogenase alpha subunit
Ac3H11_3809		scaffold5/0	23704	25611	-	1	tungsten-containing formate dehydrogenase beta subunit
Ac3H11_3810		scaffold5/0	25787	26407	-	1	Transcriptional regulator, TetR family
Ac3H11_3811		scaffold5/0	26476	26883	+	1	putative membrane protein
Ac3H11_3812		scaffold5/0	27029	27991	-	1	Hydrogen peroxide-inducible genes activator
Ac3H11_3813		scaffold5/0	27996	29054	-	1	FIG074102: hypothetical protein
Ac3H11_3814		scaffold5/0	29129	30220	-	1	Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like
Ac3H11_3815		scaffold5/0	30330	30911	+	1	putative membrane protein
Ac3H11_3816		scaffold5/0	31030	32322	+	1	Patatin
Ac3H11_3817		scaffold5/0	32326	33444	-	1	strictosidine synthase family protein
Ac3H11_3818		scaffold5/0	33619	35709	+	1	Methionyl-tRNA synthetase (EC 6.1.1.10)
Ac3H11_3819		scaffold5/0	36331	36978	-	1	FIG00537335: hypothetical protein
Ac3H11_3820		scaffold5/0	37309	38970	+	1	Sulfate permease
Ac3H11_3821		scaffold5/0	39007	39519	-	1	Probable lipoprotein
Ac3H11_3822		scaffold5/0	39597	39803	+	1	FIG01197990: hypothetical protein
Ac3H11_3823		scaffold5/0	39868	40731	+	1	Segregation and condensation protein A
Ac3H11_3824		scaffold5/0	40798	42387	+	1	L-aspartate oxidase (EC 1.4.3.16)
Ac3H11_3825		scaffold5/0	42384	43019	+	1	Queuosine Biosynthesis QueE Radical SAM
Ac3H11_3826		scaffold5/0	43043	43417	+	1	6-carboxytetrahydropterin synthase (EC 4.1.2.50) @ Queuosine biosynthesis QueD, PTPS-I
Ac3H11_3827		scaffold5/0	43473	43853	+	1	Aspartate 1-decarboxylase (EC 4.1.1.11)
Ac3H11_3828		scaffold5/0	43974	45311	+	1	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)
Ac3H11_3829		scaffold5/0	45311	45982	+	1	Dethiobiotin synthetase (EC 6.3.3.3)
Ac3H11_3830		scaffold5/0	45979	47250	+	1	8-amino-7-oxononanoate synthase (EC 2.3.1.47)
Ac3H11_3831		scaffold5/0	47436	48041	+	1	two component transcriptional regulator, LuxR family
Ac3H11_3832		scaffold5/0	48038	49825	+	1	integral membrane sensor hybrid histidine kinase
Ac3H11_3833		scaffold5/0	49975	50367	+	1	probable membrane protein YPO2051
Ac3H11_3834		scaffold5/0	50355	51245	+	1	hydrolase, alpha/beta fold family
Ac3H11_3835		scaffold5/0	51305	51664	+	1	Probable 5-carboxymethyl-2-hydroxymuconate delta isomerase
Ac3H11_3836		scaffold5/0	51726	53558	-	1	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) / Aminodeoxychorismate lyase (EC 4.1.3.38)
Ac3H11_3837		scaffold5/0	53600	54730	-	1	Quinolinate synthetase (EC 2.5.1.72)
Ac3H11_3838		scaffold5/0	54727	55575	-	1	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)
Ac3H11_3839		scaffold5/0	55742	56623	+	1	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)
Ac3H11_3840		scaffold5/0	56674	57519	+	1	Pantoate--beta-alanine ligase (EC 6.3.2.1)
Ac3H11_3841		scaffold5/0	57593	58315	-	1	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)
Ac3H11_3842		scaffold5/0	58466	61963	+	1	Large protein containing transglutaminase-like domain
Ac3H11_3843		scaffold5/0	62232	64901	+	1	Protein containing domains DUF404, DUF407, DUF403
Ac3H11_3844		scaffold5/0	64904	65872	+	1	Protein containing transglutaminase-like domain, putative cysteine protease
