orgId	locusId	gene_cluster_id	gtdb_species_clade_id	pident	evalue	bitscore	is_core	is_auxiliary	is_singleton	cluster_id	kegg_ko
Cup4G11	RR42_RS00270	NZ_SUQM01000026.1_71	s__Cupriavidus_basilensis--RS_GCF_008801925.2	93.2	7.13e-177	486.0	False	True	False	NZ_SUQM01000026.1_71	K02030
Cup4G11	RR42_RS00835	NZ_JAMBNM010000022.1_26	s__Cupriavidus_basilensis--RS_GCF_008801925.2	96.7	1.42e-149	413.0	True	False	False	NZ_JAMBNM010000022.1_26	K03673
Cup4G11	RR42_RS01685	NZ_CP062803.1_392	s__Cupriavidus_basilensis--RS_GCF_008801925.2	92.1	4.17e-143	397.0	True	False	False	NZ_CP062803.1_392	K07018
Cup4G11	RR42_RS03360	NZ_JAMBNM010000029.1_6	s__Cupriavidus_basilensis--RS_GCF_008801925.2	96.5	0.0	974.0	True	False	False	NZ_JAMBNM010000029.1_6	K10441
Cup4G11	RR42_RS03365	NZ_LZZU01000014.1_35	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.8	2.41e-216	592.0	True	False	False	NZ_LZZU01000014.1_35	K10440
Cup4G11	RR42_RS03370	NZ_JAMBNM010000029.1_8	s__Cupriavidus_basilensis--RS_GCF_008801925.2	95.4	2.0700000000000002e-212	581.0	True	False	False	NZ_JAMBNM010000029.1_8	K10439
Cup4G11	RR42_RS04045	NZ_JAMBNM010000047.1_16	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.0	6.06e-146	403.0	True	False	False	NZ_JAMBNM010000047.1_16	K07394
Cup4G11	RR42_RS04225	NZ_LZZU01000062.1_2	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.0	1.53e-141	392.0	True	False	False	NZ_LZZU01000062.1_2	K03744
Cup4G11	RR42_RS04335	NZ_CP010536.1_872	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	1.4e-253	687.0	True	False	False	NZ_CP010536.1_872	K02012
Cup4G11	RR42_RS04470	NZ_SUQM01000004.1_110	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.0	7.880000000000001e-201	551.0	True	False	False	NZ_SUQM01000004.1_110	K04517
Cup4G11	RR42_RS06105	NZ_JAMBNM010000031.1_55	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.2	1.1999999999999999e-173	477.0	True	False	False	NZ_JAMBNM010000031.1_55	K09810
Cup4G11	RR42_RS07835	NZ_CP062803.1_1503	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.5	2.33e-296	803.0	True	False	False	NZ_CP062803.1_1503	K03762
Cup4G11	RR42_RS09495	NZ_SUQM01000023.1_37	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.1	1.89e-179	493.0	True	False	False	NZ_SUQM01000023.1_37	K02030
Cup4G11	RR42_RS10130	NZ_CP010536.1_2046	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	3.34e-192	525.0	False	True	True	NZ_CP010536.1_2046	K02030
Cup4G11	RR42_RS10980	NZ_SUQM01000035.1_48	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.1	8.54e-193	526.0	True	False	False	NZ_SUQM01000035.1_48	K01816
Cup4G11	RR42_RS14365	NZ_CP062803.1_2792	s__Cupriavidus_basilensis--RS_GCF_008801925.2	96.6	3.7e-160	441.0	True	False	False	NZ_CP062803.1_2792	K01817
Cup4G11	RR42_RS16395	NZ_CP010536.1_3299	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	2.05e-215	586.0	False	True	True	NZ_CP010536.1_3299	K02030
Cup4G11	RR42_RS16910	NZ_LZZU01000090.1_278	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.0	8.92e-144	397.0	True	False	False	NZ_LZZU01000090.1_278	K09975
Cup4G11	RR42_RS17010	NZ_LZZU01000090.1_298	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.1	0.0	1054.0	True	False	False	NZ_LZZU01000090.1_298	K00278
Cup4G11	RR42_RS17015	NZ_SUQM01000024.1_75	s__Cupriavidus_basilensis--RS_GCF_008801925.2	96.2	4.16e-187	514.0	True	False	False	NZ_SUQM01000024.1_75	K00767
Cup4G11	RR42_RS17280	NZ_SUQM01000003.1_33	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.9	1.35e-125	350.0	True	False	False	NZ_SUQM01000003.1_33	K00798
Cup4G11	RR42_RS17750	NZ_SUQM01000003.1_127	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.6	2.47e-303	821.0	False	True	False	NZ_SUQM01000003.1_127	K03762
Cup4G11	RR42_RS19610	NZ_LZZU01000046.1_4	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.8	4.53e-308	833.0	True	False	False	NZ_LZZU01000046.1_4	K03762
Cup4G11	RR42_RS19735	NZ_CP062803.1_3870	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.2	3.67e-81	233.0	True	False	False	NZ_CP062803.1_3870	K07460
Cup4G11	RR42_RS19835	NZ_SUQM01000028.1_31	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.7	1.74e-304	823.0	True	False	False	NZ_SUQM01000028.1_31	K03762
Cup4G11	RR42_RS19855	NZ_SUQM01000028.1_27	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.5	1.04e-193	528.0	True	False	False	NZ_SUQM01000028.1_27	K01816
Cup4G11	RR42_RS20635	NZ_SUQM01000012.1_69	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.8	5.22e-262	712.0	True	False	False	NZ_SUQM01000012.1_69	K02012
Cup4G11	RR42_RS21245	NZ_JAMBNM010000007.1_50	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.5	4.88e-192	526.0	True	False	False	NZ_JAMBNM010000007.1_50	K00767
Cup4G11	RR42_RS21310	NZ_CP010537.1_93	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	4.57e-262	709.0	False	True	True	NZ_CP010537.1_93	K04033
Cup4G11	RR42_RS21420	NZ_SUQM01000032.1_9	s__Cupriavidus_basilensis--RS_GCF_008801925.2	99.7	1.16e-278	754.0	True	False	False	NZ_SUQM01000032.1_9	K06446
Cup4G11	RR42_RS21885	NZ_CP010537.1_212	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	3.7399999999999998e-264	717.0	True	False	False	NZ_CP010537.1_212	K15727
Cup4G11	RR42_RS22025	NZ_LZZU01000098.1_55	s__Cupriavidus_basilensis--RS_GCF_008801925.2	97.5	8.409999999999998e-228	620.0	True	False	False	NZ_LZZU01000098.1_55	K04033
Cup4G11	RR42_RS22860	NZ_CP062804.1_467	s__Cupriavidus_basilensis--RS_GCF_008801925.2	98.8	2.1600000000000003e-257	697.0	True	False	False	NZ_CP062804.1_467	K00060
Cup4G11	RR42_RS23085	NZ_CP010537.1_455	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	2.93e-224	610.0	True	False	False	NZ_CP010537.1_455	K13876
Cup4G11	RR42_RS23210	NZ_CP062804.1_2436	s__Cupriavidus_basilensis--RS_GCF_008801925.2	95.1	4.16e-153	423.0	True	False	False	NZ_CP062804.1_2436	K07018
Cup4G11	RR42_RS23730	NZ_LZZU01000038.1_41	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	9.08e-71	204.0	True	False	False	NZ_LZZU01000038.1_41	K02610
Cup4G11	RR42_RS24260	NZ_CP010537.1_690	s__Cupriavidus_basilensis--RS_GCF_008801925.2	100.0	8.33e-174	478.0	False	True	True	NZ_CP010537.1_690	K18303
