gtdb_species_clade_id	n_genomes_with_emb	total_emb_variance	mean_emb_variance	phb_status	has_phaC	has_complete_pathway	gtdb_phylum	PHB status
s__0-14-3-00-41-53_sp002780895--GB_GCA_002780895.1	7	0.06125040673515911	0.0009570376052368611	precursors_only	0	0	Nitrospirota	phaC-
s__01-FULL-54-110_sp001789045--GB_GCA_001789045.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__12-FULL-67-14b_sp002737365--GB_GCA_002737365.1	6	0.18407180961423245	0.002876122025222382	precursors_only	0	0	Acidobacteriota	phaC-
s__13-2-20CM-66-19_sp001914695--GB_GCA_001914695.1	19	0.0	0.0	complete	1	1	Pseudomonadota	phaC+
s__13-2-20CM-66-19_sp005878835--GB_GCA_005878835.1	6	0.0	0.0	complete	1	1	Pseudomonadota	phaC+
s__14-2_sp011960065--GB_GCA_910575555.1	10	0.26760062231144427	0.004181259723616317	precursors_only	0	0	Bacillota_A	phaC-
s__14-2_sp910575075--GB_GCA_910575075.1	5	0.19266247854630397	0.0030103512272859996	precursors_only	0	0	Bacillota_A	phaC-
s__1XD8-76_sp910573755--GB_GCA_910573755.1	5	0.19266247854630397	0.0030103512272859996	precursors_only	0	0	Bacillota_A	phaC-
s__2-01-FULL-37-20_sp001784115--GB_GCA_001784115.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-01-FULL-39-21_sp001792535--GB_GCA_001792535.1	6	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__2-01-FULL-40-13_sp001789695--GB_GCA_001789695.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-01-FULL-40-42_sp001789965--GB_GCA_001789965.1	7	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-01-FULL-41-26_sp001794125--GB_GCA_001794125.1	6	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__2-01-FULL-46-14_sp001777515--GB_GCA_001777515.1	7	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-02-FULL-39-13_sp002782365--GB_GCA_002782365.1	5	0.08575056942922277	0.0013398526473316057	absent	0	0	Patescibacteria	phaC-
s__2-02-FULL-40-10_sp001779115--GB_GCA_001779115.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__2-02-FULL-40-12_sp001824375--GB_GCA_001824375.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-02-FULL-42-43_sp001801425--GB_GCA_001801425.1	5	0.0	0.0	precursors_only	0	0	Pseudomonadota	phaC-
s__2-02-FULL-45-18_sp001774075--GB_GCA_001774075.1	5	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__2-02-FULL-45-22_sp001796285--GB_GCA_001796285.1	6	0.0	0.0	absent	0	0	Chlamydiota	phaC-
s__2-02-FULL-48-16_sp001821135--GB_GCA_001821135.1	5	0.0	0.0	absent	0	0	Patescibacteria	phaC-
s__2-02-FULL-49-12_sp001796315--GB_GCA_001796315.1	7	0.0	0.0	absent	0	0	Chlamydiota	phaC-
s__2-02-FULL-50-16-A_sp001828605--GB_GCA_001828605.1	5	0.0	0.0	precursors_only	0	0	Planctomycetota	phaC-
s__2-02-FULL-55-14_sp001802945--GB_GCA_001802945.1	5	0.0	0.0	precursors_only	0	0	Bacteroidota	phaC-
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	5	0.030893007663821317	0.0004827032447472081	complete	1	1	Methylomirabilota	phaC+
s__2-12-FULL-37-7b_sp001788095--GB_GCA_001788095.1	6	0.0	0.0	precursors_only	0	0	Patescibacteria	phaC-
s__2011-GWC2-44-17_sp001029695--GB_GCA_001029695.1	5	0.49051397968165544	0.007664280932525866	accessory_only	0	0	Patescibacteria	phaC-
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	7	0.0	0.0	complete	1	1	Methylomirabilota	phaC+
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1	6	0.0	0.0	precursors_only	0	0	Chloroflexota	phaC-
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1	8	0.0	0.0	precursors_only	0	0	Gemmatimonadota	phaC-
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	7	0.0	0.0	complete	1	1	Nitrospirota	phaC+
s__40CM-4-65-16_sp001917775--GB_GCA_005882115.1	7	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-
s__40CM-4-65-16_sp005881335--GB_GCA_005881335.1	5	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	5	0.0	0.0	precursors_only	0	0	Dormibacterota	phaC-
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1	5	0.0	0.0	precursors_only	0	0	Myxococcota	phaC-
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	5	0.0	0.0	complete	1	1	Methylomirabilota	phaC+
s__AAA044-D11_sp009698045--GB_GCA_009698045.1	7	0.0	0.0	precursors_only	0	0	Actinomycetota	phaC-
s__AAA044-D11_sp009726125--GB_GCA_009726125.1	6	0.0	0.0	precursors_only	0	0	Actinomycetota	phaC-
s__AAA164-E04_sp000383715--GB_GCA_000383715.1	9	0.02303217375820714	0.00035987771497198655	absent	0	0	Verrucomicrobiota	phaC-
s__AG11_sp013361335--GB_GCA_013361335.1	7	0.0	0.0	precursors_only	0	0	Gemmatimonadota	phaC-
s__ASP10-02a_sp002335115--GB_GCA_002335115.1	6	0.017085815293991537	0.00026696586396861776	precursors_only	0	0	Pseudomonadota	phaC-
s__ATM1_sp003577165--GB_GCA_003577165.1	6	0.5301759763256004	0.008283999630087507	precursors_only	0	0	Armatimonadota	phaC-
s__AV80_sp003134765--GB_GCA_003134765.1	5	0.003955849882326693	6.181015441135457e-05	precursors_only	0	0	Verrucomicrobiota	phaC-
s__AV80_sp003167555--GB_GCA_003167555.1	7	0.003303579984450647	5.161843725704136e-05	precursors_only	0	0	Verrucomicrobiota	phaC-
s__AWTP1-35_sp003962875--GB_GCA_020637215.1	5	0.4164606258318726	0.006507197278623009	precursors_only	0	0	Actinomycetota	phaC-
s__Accumulibacter_cognatus--GB_GCA_013414765.1	8	0.6695196107382894	0.010461243917785771	complete	1	1	Pseudomonadota	phaC+
s__Acd1_sp000389735--GB_GCA_000389735.1	16	0.23172191107102239	0.0036206548604847248	precursors_only	0	0	Thermoproteota	phaC-
s__Acetanaerobacterium_sp023460535--GB_GCA_023460535.1	5	0.3840915371583962	0.006001430268099941	absent	0	0	Bacillota_A	phaC-
s__Acetatifactor_intestinalis--RS_GCF_009695995.1	25	0.4440532246175114	0.006938331634648616	precursors_only	0	0	Bacillota_A	phaC-
s__Acetatifactor_sp900066565--GB_GCA_003584705.1	21	0.40217510448181093	0.006283986007528296	precursors_only	0	0	Bacillota_A	phaC-
s__Acetobacter_peroxydans--RS_GCF_006539345.1	10	0.03390405757848211	0.000529750899663783	precursors_only	0	0	Pseudomonadota	phaC-
s__Acetobacter_sp012517935--GB_GCA_012517935.1	13	0.019595457241101857	0.0003061790193922165	precursors_only	0	0	Pseudomonadota	phaC-
s__Achromobacter_insuavis--RS_GCF_902859645.1	9	0.6027947752747292	0.009418668363667644	complete	1	1	Pseudomonadota	phaC+
s__Achromobacter_mucicolens--RS_GCF_902859725.1	9	0.6110974105330369	0.009548397039578702	complete	1	1	Pseudomonadota	phaC+
s__Achromobacter_ruhlandii--RS_GCF_902859695.1	5	0.8228090679564445	0.012856391686819445	complete	1	1	Pseudomonadota	phaC+
s__Achromobacter_xylosoxidans--RS_GCF_001457475.1	51	0.4634877958093961	0.007241996809521814	complete	1	1	Pseudomonadota	phaC+
s__Acidiferrobacter_thiooxydans--RS_GCF_003333315.1	5	0.3865778725835834	0.0060402792591184905	precursors_only	0	0	Pseudomonadota	phaC-
s__Acidifodinimicrobium_mancum--GB_GCA_015121965.1	6	0.4512419201296906	0.007050655002026416	absent	0	0	Nanoarchaeota	phaC-
s__Acidilobus_sp000495735--GB_GCA_000495735.1	12	0.21216456647976914	0.003315071351246393	precursors_only	0	0	Thermoproteota	phaC-
s__Acidithiobacillus_ferriphilus--RS_GCF_018854775.1	5	0.7512390294168195	0.011738109834637805	absent	0	0	Pseudomonadota	phaC-
s__Acidithiobacillus_ferrooxidans--RS_GCF_000021485.1	7	0.8881336164309747	0.013877087756733979	absent	0	0	Pseudomonadota	phaC-
s__Acidocella_sp003164135--GB_GCA_003164135.1	5	0.0	0.0	complete	1	1	Pseudomonadota	phaC+
s__Acidoferrum_sp003154775--GB_GCA_003154775.1	6	0.001340836705282685	2.0950573520041955e-05	precursors_only	0	0	Acidobacteriota	phaC-
s__Acidoferrum_sp003225295--GB_GCA_003225295.1	5	0.0	0.0	precursors_only	0	0	Acidobacteriota	phaC-
s__Acidovorax_defluvii--GB_GCA_003268905.1	8	0.422545920315636	0.006602280004931812	complete	1	1	Pseudomonadota	phaC+
s__Acidovorax_facilis--RS_GCF_023913775.1	12	0.5213027969062141	0.008145356201659595	complete	1	1	Pseudomonadota	phaC+
s__Acidovorax_sp018828125--GB_GCA_018828125.1	9	0.0	0.0	complete	1	1	Pseudomonadota	phaC+
s__Acidovorax_temperans--RS_GCF_006716905.1	5	0.6780759640208953	0.01059493693782649	complete	1	1	Pseudomonadota	phaC+
s__Acidulodesulfobacterium_A_sp021781285--GB_GCA_021781285.1	6	0.33916286267820284	0.005299419729346919	absent	0	0	SZUA-79	phaC-
s__Acidulodesulfobacterium_ferriphilum--GB_GCA_004195035.1	5	0.4088965120119531	0.006389008000186767	absent	0	0	SZUA-79	phaC-
s__Acinetobacter_baumannii--RS_GCF_009759685.1	3455	0.6877232478979538	0.010745675748405528	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_bereziniae--RS_GCF_000368925.1	30	0.5498249818192812	0.008591015340926269	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_haemolyticus--RS_GCF_000369065.1	7	0.7472339192774922	0.011675529988710815	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_indicus--RS_GCF_000488255.1	46	0.536112156547294	0.00837675244605147	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_johnsonii--RS_GCF_000368045.1	10	0.7875610779765359	0.012305641843383373	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_junii--RS_GCF_000368765.1	8	0.8232746202724395	0.012863665941756867	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_lactucae--RS_GCF_001605885.1	5	0.6690271285571847	0.010453548883706011	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1	74	0.5050742126741281	0.007891784573033252	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_oleivorans--RS_GCF_000196795.1	14	0.7267899462108067	0.011356092909543855	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_piscicola_A--RS_GCF_015218165.1	5	0.0	0.0	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_pittii--RS_GCF_000369045.1	106	0.618816934483623	0.009669014601306609	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_pittii_H--RS_GCF_002928115.1	5	0.3047629465228662	0.004761921039419784	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_pseudolwoffii--RS_GCF_002803605.1	19	0.40270458085097827	0.006292259075796535	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_schindleri--RS_GCF_000368625.1	6	0.3412040270652569	0.005331312922894639	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_seifertii--RS_GCF_000368065.1	16	0.7425397640115121	0.011602183812679877	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_soli--RS_GCF_000760595.1	10	0.6860850044697215	0.010720078194839399	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_sp002018365--RS_GCF_002018365.1	77	0.43022977951810326	0.0067223403049703635	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_sp002135245--RS_GCF_016599715.1	7	0.40257504602988153	0.006290235094216899	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_terrae--RS_GCF_013004375.1	7	0.1706312928571955	0.0026661139508936797	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_towneri--RS_GCF_000368785.1	38	0.4677637338369067	0.007308808341201668	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_ursingii--RS_GCF_000368825.1	7	0.828914229269387	0.012951784832334171	complete	1	1	Pseudomonadota	phaC+
s__Acinetobacter_variabilis--RS_GCF_000369625.1	29	0.5031000265844825	0.007860937915382539	complete	1	1	Pseudomonadota	phaC+
s__Acutalibacter_sp009936035--RS_GCF_009936035.1	6	0.49993012105576073	0.0078114081414962615	absent	0	0	Bacillota_A	phaC-
s__Acutalibacter_sp910574935--GB_GCA_910574935.1	7	0.0	0.0	precursors_only	0	0	Bacillota_A	phaC-
s__Adlercreutzia_caecimuris--RS_GCF_000403355.2	5	0.4959231441313117	0.007748799127051746	precursors_only	0	0	Actinomycetota	phaC-
s__Adlercreutzia_equolifaciens--RS_GCF_000478885.1	5	0.26584795839395226	0.004153874349905504	precursors_only	0	0	Actinomycetota	phaC-
s__Adlercreutzia_hattorii--RS_GCF_011405655.1	10	0.21954399213637427	0.003430374877130848	complete	1	1	Actinomycetota	phaC+
s__Adlercreutzia_muris--RS_GCF_008831045.1	7	0.381788130907994	0.0059654395454374065	precursors_only	0	0	Actinomycetota	phaC-
s__Aerococcus_urinae_D--RS_GCF_002884575.1	7	0.0	0.0	precursors_only	0	0	Bacillota	phaC-
s__Aeromicrobium_sp001423335--RS_GCF_942548115.1	5	0.1802332440854606	0.002816144438835322	complete	1	1	Actinomycetota	phaC+
s__Aeromonas_caviae--RS_GCF_000819785.1	39	0.6214669287432577	0.009710420761613402	complete	1	1	Pseudomonadota	phaC+
s__Aeromonas_dhakensis--RS_GCF_000820305.1	15	0.6811401142201102	0.010642814284689222	complete	1	1	Pseudomonadota	phaC+
s__Aeromonas_hydrophila--RS_GCF_000014805.1	57	0.5519990814431387	0.008624985647549042	complete	1	1	Pseudomonadota	phaC+
s__Aeromonas_jandaei--RS_GCF_000819955.1	11	0.4862296282362165	0.007597337941190883	precursors_only	0	0	Pseudomonadota	phaC-
s__Aeromonas_salmonicida--RS_GCF_001643305.1	7	0.5367458431308644	0.008386653798919756	complete	1	1	Pseudomonadota	phaC+
s__Aeromonas_veronii--RS_GCF_000820225.1	62	0.8039532476171337	0.012561769494017714	complete	1	1	Pseudomonadota	phaC+
s__Agathobacter_faecis--RS_GCF_001406815.1	22	0.4386838295805958	0.00685443483719681	precursors_only	0	0	Bacillota_A	phaC-
s__Agathobacter_rectalis--GB_GCA_000020605.1	93	0.4276747316227313	0.006682417681605176	complete	1	1	Bacillota_A	phaC+
s__Agathobacter_sp900543445--GB_GCA_900543445.1	8	0.28494872399707916	0.004452323812454362	precursors_only	0	0	Bacillota_A	phaC-
s__Agathobaculum_butyriciproducens--GB_GCA_003096535.1	10	0.44664831616067413	0.006978879940010533	precursors_only	0	0	Bacillota_A	phaC-
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1	26	0.2551294849384669	0.003986398202163545	complete	1	1	Pseudomonadota	phaC+
s__Aggregatibacter_actinomycetemcomitans_A--RS_GCF_003130205.1	7	0.09106436458316572	0.0014228806966119644	absent	0	0	Pseudomonadota	phaC-
s__Agitococcus_sp002333125--GB_GCA_002333125.1	5	0.15439805515591637	0.0024124696118111933	complete	1	1	Pseudomonadota	phaC+
s__Agrobacterium_pusense--RS_GCF_900102105.1	7	0.674216892066027	0.010534638938531671	complete	1	1	Pseudomonadota	phaC+
s__Akkermansia_muciniphila--RS_GCF_000020225.1	107	0.4873479593253993	0.007614811864459364	absent	0	0	Verrucomicrobiota	phaC-
s__Akkermansia_muciniphila_B--RS_GCF_018847375.1	23	0.517372168626498	0.008083940134789032	precursors_only	0	0	Verrucomicrobiota	phaC-
s__Akkermansia_muciniphila_D--GB_GCA_004557455.1	5	0.17535763179342786	0.0027399629967723104	absent	0	0	Verrucomicrobiota	phaC-
s__Akkermansia_sp004167605--RS_GCF_004167605.1	70	0.048843385483492804	0.0007631778981795751	absent	0	0	Verrucomicrobiota	phaC-
s__Albidovulum_sp024236495--GB_GCA_024236495.1	5	0.14372870699709478	0.002245761046829606	complete	1	1	Pseudomonadota	phaC+
