strain_id	full_name	taxon_id	genome_name	genome_id	external_id	size	genes	contigs
EB106-03-03-XG65	Environmental isolate EB106-03-03-XG65 Unconfirmed Organism.	1008	EB106-03-03-XG65.1	1265	ENIGMA Data Repository	3673967	3528	2
EB106-05-01-XG146	Ensifer adhaerens EB106-05-01-XG146	1180	EB106-05-01-XG146.2	61	ENIGMA Data Repository	7409761	7019	3
EB106-05-01-XG146	Ensifer adhaerens EB106-05-01-XG146	1180	EB106-05-01-XG146.1	62	KBase	7349065	7007	60
EB106-05-01-XG146	Ensifer adhaerens EB106-05-01-XG146	1180	EB106-05-01-XG146.3	3704	ENIGMA Data Repository	7409761	7072	3
EB106-05-01-XG146	Ensifer adhaerens EB106-05-01-XG146	1180	EB106-05-01-XG146.4	3791	ENIGMA Data Repository	7349638	7004	60
EB106-05-01-XG201	Environmental isolate EB106-05-01-XG201	163	EB106-05-01-XG201.1	63	KBase	4930054	4534	55
EB106-05-01-XG201	Environmental isolate EB106-05-01-XG201	163	EB106-05-01-XG201.3	3705	ENIGMA Data Repository	4972118	4581	3
EB106-07-01-XG149	Environmental isolate EB106-07-01-XG149	3233	EB106-07-01-XG149.1	3356	KBase: 156527/754/2	5464167	5643	30
EB271-G4-3-1	Environmental isolate EB271-G4-3-1	3510	EB271-G4-3-1.1	3798	ENIGMA Data Repository	6150600	5476	39
FW104-10B01	Rhodanobacter denitrificans	1	FW104-10B01.ncbi.1	101	NCBI:GCF_021560695.1	3959115	3628	1
FW104-10B01	Rhodanobacter denitrificans	1	rhodanobacter_10B01	1218	KBase	3944885	3589	1
FW104-10B01	Rhodanobacter denitrificans	1	FW104-10B01.3	4241	NCBI:GCF_021560695.1	3959115	3628	1
FW104-10F02	Rhodanobacter denitrificans	1	FW104-10F02.ncbi.1	102	NCBI:GCF_021560655.1	3959114	3626	1
FW104-10F02	Rhodanobacter denitrificans	1	FW104-10F02.1	3230	KBase: 41372/835/1	3959114	3598	1
FW104-R3	Rhodanobacter denitrificans	1	FW104-R3.ncbi.2	108	NCBI:GCF_021560675.1	3959116	3629	1
