species_id	biome_id	genome_count	total_genes	core_genes	soft_core_genes	shell_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000000121	human-gut	20	5703	638	668	3082	1315	0.23058039628265825	0.1118709451166053
MGYG000000153	human-gut	67	4744	49	593	1983	2119	0.44666947723440137	0.01032883642495784
MGYG000000174	human-gut	13	7111	1014	0	5408	689	0.09689213893967093	0.1425959780621572
MGYG000000185	human-gut	746	12643	0	22	2216	10405	0.8229850510163726	0.0
MGYG000000111	human-gut	22	2738	0	1013	1355	370	0.13513513513513514	0.0
MGYG000000143	human-gut	28	4445	575	707	1858	1305	0.29358830146231724	0.12935883014623173
MGYG000000196	human-gut	579	43365	3	843	4131	38388	0.8852300242130751	6.918021445866483e-05
MGYG000000122	human-gut	421	6674	1	507	1791	4375	0.655528918189991	0.00014983518130056938
MGYG000000154	human-gut	995	30557	0	732	1889	27936	0.9142258729587328	0.0
MGYG000000175	human-gut	9	5722	1993	0	3078	651	0.11377140859839217	0.3483047885354771
MGYG000000133	human-gut	185	9879	0	86	2747	7046	0.7132300840166008	0.0
MGYG000000186	human-gut	78	5574	2	64	2186	3322	0.5959813419447435	0.0003588087549336204
MGYG000000165	human-gut	5	4708	1073	0	3635	0	0.0	0.22790994052676294
MGYG000000197	human-gut	117	5078	0	12	1911	3155	0.6213076014178811	0.0
MGYG000000123	human-gut	64	10776	247	1702	3986	4841	0.4492390497401633	0.022921306607275427
MGYG000000155	human-gut	23	2767	117	196	1859	595	0.2150343332128659	0.0422840621611854
MGYG000000176	human-gut	3	5633	2799	0	2834	0	0.0	0.4968933072962897
MGYG000000134	human-gut	15	4136	241	0	2977	918	0.22195357833655707	0.0582688588007737
MGYG000000187	human-gut	197	8230	4	334	2279	5613	0.6820170109356014	0.0004860267314702309
MGYG000000198	human-gut	12	8395	3203	0	4236	956	0.11387730792138177	0.3815366289458011
MGYG000000124	human-gut	7	6197	2621	0	2510	1066	0.1720187187348717	0.422946587058254
MGYG000000177	human-gut	787	9676	0	61	1916	7699	0.7956800330715171	0.0
MGYG000000146	human-gut	147	16997	0	135	2639	14223	0.8367947284814967	0.0
MGYG000000167	human-gut	67	4180	0	93	1910	2177	0.5208133971291866	0.0
MGYG000000199	human-gut	222	5679	1	146	1855	3677	0.6474731466807536	0.00017608733932030288
MGYG000000136	human-gut	39	7923	236	492	2406	4789	0.6044427615802095	0.029786696958222895
MGYG000000157	human-gut	10	3617	102	0	3220	295	0.08155930329001936	0.028200165883328725
MGYG000000168	human-gut	9	4685	1936	0	2612	137	0.029242262540021345	0.41323372465314834
MGYG000000179	human-gut	79	11861	0	113	5300	6448	0.5436303852963493	0.0
MGYG000000105	human-gut	136	11882	27	466	2641	8748	0.7362396902878303	0.0022723447231105874
MGYG000000137	human-gut	8	3748	950	0	1902	896	0.2390608324439701	0.2534685165421558
MGYG000000158	human-gut	3	2033	1548	0	485	0	0.0	0.7614363010329562
MGYG000000190	human-gut	1662	22146	0	479	2002	19665	0.8879707396369547	0.0
MGYG000000148	human-gut	367	28043	0	22	2671	25350	0.9039689048960525	0.0
MGYG000000138	human-gut	120	12365	8	725	2786	8846	0.7154063890012131	0.0006469874646178731
MGYG000000159	human-gut	154	7217	0	187	2729	4301	0.5959539975058888	0.0
MGYG000000117	human-gut	20	3166	562	510	1628	466	0.14718888186986734	0.17751105495893874
MGYG000000170	human-gut	141	5188	7	439	1837	2905	0.5599460292983809	0.0013492675404780262
MGYG000000128	human-gut	41	3177	67	612	1485	1013	0.31885426502990244	0.021089077746301543
MGYG000000139	human-gut	69	9231	14	330	2202	6685	0.7241902285776189	0.001516628750947893
MGYG000000160	human-gut	28	2646	239	187	1424	796	0.30083144368858655	0.09032501889644746
MGYG000000192	human-gut	16	4421	411	0	2985	1025	0.23184799819045465	0.09296539244514816
MGYG000000150	human-gut	60	11347	193	1263	5291	4600	0.4053934960782586	0.017008901031109545
MGYG000000171	human-gut	7	3928	882	0	2204	842	0.21435845213849286	0.22454175152749492
MGYG000000129	human-gut	3	2219	1154	0	1065	0	0.0	0.5200540784136999
MGYG000000182	human-gut	7	2705	772	0	1507	426	0.15748613678373383	0.28539741219963033
MGYG000000140	human-gut	470	12618	0	122	2177	10319	0.817799968299255	0.0
MGYG000000161	human-gut	47	3545	32	151	1845	1517	0.4279266572637518	0.009026798307475317
MGYG000000193	human-gut	506	26937	0	58	2936	23943	0.8888517652299811	0.0
MGYG000000119	human-gut	39	5981	43	105	3103	2730	0.4564454104664772	0.007189433205149641
MGYG000000151	human-gut	113	8139	107	434	3359	4239	0.5208256542572798	0.01314657820371053
MGYG000000172	human-gut	20	7837	959	900	4093	1885	0.24052571136914636	0.12236825315809621
MGYG000000130	human-gut	8	1825	281	0	1341	203	0.11123287671232877	0.15397260273972602
MGYG000000183	human-gut	216	11320	0	60	4605	6655	0.5878975265017667	0.0
MGYG000000141	human-gut	43	7424	63	427	2297	4637	0.6245959051724138	0.008485991379310345
MGYG000000162	human-gut	28	4234	223	404	2184	1423	0.33608880491261217	0.05266887104393009
MGYG000000194	human-gut	81	6523	13	646	2030	3834	0.5877663651694006	0.001992948030047524
MGYG000000120	human-gut	18	2739	384	0	1625	730	0.26652062796641107	0.140197152245345
MGYG000000173	human-gut	16	2580	32	0	1827	721	0.27945736434108526	0.012403100775193798
MGYG000000131	human-gut	3	3721	2779	0	942	0	0.0	0.7468422467078742
MGYG000000184	human-gut	4	2960	1032	0	1928	0	0.0	0.34864864864864864
MGYG000000142	human-gut	760	21518	0	80	2418	19020	0.883911144158379	0.0
MGYG000000163	human-gut	3	2831	2024	0	807	0	0.0	0.7149417167078771
MGYG000000195	human-gut	244	9166	0	122	1959	7085	0.7729653065677504	0.0
MGYG000001411	human-gut	11	1963	242	0	1627	94	0.047885888945491596	0.12328069281711666
MGYG000001422	human-gut	3	5982	4176	0	1806	0	0.0	0.6980942828485457
MGYG000001400	human-gut	546	20397	0	58	3290	17049	0.8358582144433004	0.0
MGYG000001433	human-gut	57	10535	59	339	3885	6252	0.5934504034171808	0.005600379686758424
MGYG000001467	human-gut	10	4248	1514	0	2603	131	0.03083804143126177	0.3564030131826742
MGYG000001499	human-gut	3	5643	3531	0	2112	0	0.0	0.6257309941520468
MGYG000001444	human-gut	215	5140	0	39	1932	3169	0.6165369649805448	0.0
MGYG000001423	human-gut	3	3122	1582	0	1540	0	0.0	0.5067264573991032
MGYG000001489	human-gut	58	12336	228	961	4339	6808	0.5518806744487679	0.01848249027237354
MGYG000001401	human-gut	28	2653	146	368	1556	583	0.21975122502826988	0.05503203920090464
MGYG000001434	human-gut	18	3841	188	0	3093	560	0.1457953657901588	0.04894558708669617
MGYG000001413	human-gut	49	3918	77	414	1598	1829	0.4668198060234814	0.019652884124553342
MGYG000001458	human-gut	11	4099	362	0	3505	232	0.05659917052939741	0.08831422298121493
MGYG000001490	human-gut	265	8584	0	20	1671	6893	0.8030055917986952	0.0
MGYG000001402	human-gut	90	6510	28	598	3192	2692	0.41351766513056837	0.004301075268817204
MGYG000001435	human-gut	5	2220	583	0	1637	0	0.0	0.2626126126126126
MGYG000001446	human-gut	147	3944	118	1177	1372	1277	0.3237829614604463	0.029918864097363083
MGYG000001425	human-gut	3	1843	1074	0	769	0	0.0	0.5827455236028215
