locusId	sysName	scaffoldId	begin	end	strand	type	desc
ABZR88_RS00005	ABZR88_RS00005	NZ_CP160205	1	1428	+	1	chromosomal replication initiator protein DnaA
ABZR88_RS00010	ABZR88_RS00010	NZ_CP160205	1726	2613	+	1	neutral zinc metallopeptidase
ABZR88_RS00015	ABZR88_RS00015	NZ_CP160205	2728	3000	-	1	hypothetical protein
ABZR88_RS00020	ABZR88_RS00020	NZ_CP160205	2981	3496	-	1	RNA polymerase sigma factor
ABZR88_RS00025	ABZR88_RS00025	NZ_CP160205	3914	5143	-	1	glycosyltransferase
ABZR88_RS00030	ABZR88_RS00030	NZ_CP160205	5329	6519	+	1	glycine C-acetyltransferase
ABZR88_RS00035	ABZR88_RS00035	NZ_CP160205	6588	7625	+	1	phenylalanine--tRNA ligase subunit alpha
ABZR88_RS00040	ABZR88_RS00040	NZ_CP160205	7630	8061	+	1	hypothetical protein
ABZR88_RS00045	ABZR88_RS00045	NZ_CP160205	8065	8646	+	1	TetR/AcrR family transcriptional regulator
ABZR88_RS00050	ABZR88_RS00050	NZ_CP160205	8796	9578	-	1	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
ABZR88_RS00055	ABZR88_RS00055	NZ_CP160205	9774	10829	+	1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
ABZR88_RS00060	ABZR88_RS00060	NZ_CP160205	11436	12620	+	1	DUF5009 domain-containing protein
ABZR88_RS00065	ABZR88_RS00065	NZ_CP160205	12708	13304	+	1	GDSL-type esterase/lipase family protein
ABZR88_RS00070	ABZR88_RS00070	NZ_CP160205	13301	14020	+	1	esterase family protein
ABZR88_RS00075	ABZR88_RS00075	NZ_CP160205	14463	15041	+	1	RNA polymerase sigma factor
ABZR88_RS00080	ABZR88_RS00080	NZ_CP160205	15038	15610	+	1	hypothetical protein
ABZR88_RS00085	ABZR88_RS00085	NZ_CP160205	15591	17054	+	1	hypothetical protein
ABZR88_RS00090	ABZR88_RS00090	NZ_CP160205	17340	18770	+	1	sigma-54 dependent transcriptional regulator
ABZR88_RS00095	ABZR88_RS00095	NZ_CP160205	18775	18978	+	1	hypothetical protein
ABZR88_RS00100	ABZR88_RS00100	NZ_CP160205	19033	19305	-	1	hypothetical protein
ABZR88_RS00105	ABZR88_RS00105	NZ_CP160205	19351	19488	+	1	hypothetical protein
ABZR88_RS00110	ABZR88_RS00110	NZ_CP160205	19617	20174	-	1	hypothetical protein
ABZR88_RS00115	ABZR88_RS00115	NZ_CP160205	20269	20508	+	1	hypothetical protein
ABZR88_RS00120	ABZR88_RS00120	NZ_CP160205	20492	20785	+	1	type II toxin-antitoxin system RelE/ParE family toxin
ABZR88_RS00125	ABZR88_RS00125	NZ_CP160205	20794	21732	+	1	2-hydroxyacid dehydrogenase
ABZR88_RS00130	ABZR88_RS00130	NZ_CP160205	22010	22483	+	1	transcription elongation factor GreA
ABZR88_RS00135	ABZR88_RS00135	NZ_CP160205	22629	23045	+	1	HIT family protein
ABZR88_RS00140	ABZR88_RS00140	NZ_CP160205	23317	23853	+	1	AAA family ATPase
ABZR88_RS00145	ABZR88_RS00145	NZ_CP160205	23997	24521	+	1	DUF177 domain-containing protein
ABZR88_RS00150	ABZR88_RS00150	NZ_CP160205	24534	24725	+	1	50S ribosomal protein L32
ABZR88_RS00155	ABZR88_RS00155	NZ_CP160205	24741	25682	+	1	phosphate acyltransferase PlsX
ABZR88_RS00160	ABZR88_RS00160	NZ_CP160205	25699	26688	+	1	beta-ketoacyl-ACP synthase III
ABZR88_RS00165	ABZR88_RS00165	NZ_CP160205	26918	27400	+	1	acetyl-CoA carboxylase biotin carboxyl carrier protein
ABZR88_RS00170	ABZR88_RS00170	NZ_CP160205	27561	28895	+	1	acetyl-CoA carboxylase biotin carboxylase subunit
ABZR88_RS00175	ABZR88_RS00175	NZ_CP160205	28950	29807	+	1	twin-arginine translocase subunit TatC
ABZR88_RS00180	ABZR88_RS00180	NZ_CP160205	30157	31707	+	1	NAD(P)/FAD-dependent oxidoreductase
ABZR88_RS00185	ABZR88_RS00185	NZ_CP160205	31877	32350	+	1	DinB family protein
ABZR88_RS00190	ABZR88_RS00190	NZ_CP160205	32375	33205	+	1	hypothetical protein
ABZR88_RS00195	ABZR88_RS00195	NZ_CP160205	33318	33533	-	1	hypothetical protein
ABZR88_RS00200	ABZR88_RS00200	NZ_CP160205	33614	34000	-	1	hypothetical protein
ABZR88_RS00205	ABZR88_RS00205	NZ_CP160205	34012	34575	-	1	RNA polymerase sigma factor
ABZR88_RS00210	ABZR88_RS00210	NZ_CP160205	34883	35680	+	1	carbon-nitrogen hydrolase family protein
ABZR88_RS00215	ABZR88_RS00215	NZ_CP160205	35741	36106	+	1	CoA-binding protein
ABZR88_RS00220	ABZR88_RS00220	NZ_CP160205	36141	36584	+	1	hypothetical protein
ABZR88_RS00225	ABZR88_RS00225	NZ_CP160205	36606	37982	-	1	RNA methyltransferase
ABZR88_RS00230	ABZR88_RS00230	NZ_CP160205	38902	40423	+	2	16S ribosomal RNA
ABZR88_RS00235	ABZR88_RS00235	NZ_CP160205	40635	40709	+	5	tRNA-Ile
ABZR88_RS00240	ABZR88_RS00240	NZ_CP160205	40729	40802	+	5	tRNA-Ala
ABZR88_RS00245	ABZR88_RS00245	NZ_CP160205	40998	43875	+	2	23S ribosomal RNA
ABZR88_RS00250	ABZR88_RS00250	NZ_CP160205	44081	44192	+	2	5S ribosomal RNA
ABZR88_RS00255	ABZR88_RS00255	NZ_CP160205	46119	47640	+	2	16S ribosomal RNA
ABZR88_RS00260	ABZR88_RS00260	NZ_CP160205	47852	47926	+	5	tRNA-Ile
ABZR88_RS00265	ABZR88_RS00265	NZ_CP160205	47946	48019	+	5	tRNA-Ala
ABZR88_RS00270	ABZR88_RS00270	NZ_CP160205	48215	51092	+	2	23S ribosomal RNA
ABZR88_RS00275	ABZR88_RS00275	NZ_CP160205	51298	51409	+	2	5S ribosomal RNA
ABZR88_RS00280	ABZR88_RS00280	NZ_CP160205	51657	52673	+	1	Gfo/Idh/MocA family oxidoreductase
ABZR88_RS00285	ABZR88_RS00285	NZ_CP160205	52696	53214	+	1	redoxin domain-containing protein
