locusId	sysName	scaffoldId	begin	end	strand	type	desc
DZA65_RS00010	DZA65_RS00010	NZ_CP031560	1325	2425	+	1	DNA polymerase III subunit beta
DZA65_RS00015	DZA65_RS00015	NZ_CP031560	2591	3676	+	1	DNA replication/repair protein RecF
DZA65_RS00020	DZA65_RS00020	NZ_CP031560	3694	6105	+	1	DNA topoisomerase (ATP-hydrolyzing) subunit B
DZA65_RS00025	DZA65_RS00025	NZ_CP031560	6182	7366	-	1	MFS transporter
DZA65_RS00030	DZA65_RS00030	NZ_CP031560	7560	8312	-	1	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ
DZA65_RS00035	DZA65_RS00035	NZ_CP031560	8309	10351	-	1	oligopeptidase A
DZA65_RS00040	DZA65_RS00040	NZ_CP031560	10497	10781	-	1	DUF2623 domain-containing protein
DZA65_RS00045	DZA65_RS00045	NZ_CP031560	10954	11796	+	1	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
DZA65_RS00050	DZA65_RS00050	NZ_CP031560	11895	12809	-	1	ribonuclease Z
DZA65_RS00055	DZA65_RS00055	NZ_CP031560	13190	14542	+	1	glutathione-disulfide reductase
DZA65_RS00060	DZA65_RS00060	NZ_CP031560	14659	15630	-	7	DASS family sodium-coupled anion symporter
DZA65_RS00065	DZA65_RS00065	NZ_CP031560	15673	17025	-	1	adenylosuccinate lyase family protein
DZA65_RS00070	DZA65_RS00070	NZ_CP031560	17234	17968	+	1	GntR family transcriptional regulator
DZA65_RS00080	DZA65_RS00080	NZ_CP031560	18660	20063	+	1	MBOAT family protein
DZA65_RS00085	DZA65_RS00085	NZ_CP031560	20050	21117	+	1	DUF459 domain-containing protein
DZA65_RS00090	DZA65_RS00090	NZ_CP031560	21140	22354	+	1	hypothetical protein
DZA65_RS00095	DZA65_RS00095	NZ_CP031560	22452	22630	+	7	AsnC family transcriptional regulator
DZA65_RS00100	DZA65_RS00100	NZ_CP031560	22633	23754	-	1	phosphoserine transaminase
DZA65_RS00105	DZA65_RS00105	NZ_CP031560	24057	25304	-	1	formyl-CoA transferase
