locusId	sysName	scaffoldId	begin	end	strand	type	desc
MMJJ_RS00010	MMJJ_RS00010	NZ_CP026606	440	1204	-	1	D-aminoacyl-tRNA deacylase
MMJJ_RS00015	MMJJ_RS00015	NZ_CP026606	1532	3526	+	1	DNA topoisomerase VI subunit B
MMJJ_RS00020	MMJJ_RS00020	NZ_CP026606	3668	4555	+	1	50S ribosomal protein L11 methyltransferase
MMJJ_RS00025	MMJJ_RS00025	NZ_CP026606	4566	5369	+	1	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
MMJJ_RS00030	MMJJ_RS00030	NZ_CP026606	5374	6249	+	1	thymidylate synthase
MMJJ_RS00035	MMJJ_RS00035	NZ_CP026606	6409	8751	+	1	CO dehydrogenase/acetyl-CoA synthase complex subunit alpha
MMJJ_RS00040	MMJJ_RS00040	NZ_CP026606	8761	9279	+	1	CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon
MMJJ_RS00045	MMJJ_RS00045	NZ_CP026606	9291	10664	+	1	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex subunit beta
MMJJ_RS00050	MMJJ_RS00050	NZ_CP026606	10675	11427	+	1	AAA family ATPase
MMJJ_RS00055	MMJJ_RS00055	NZ_CP026606	11442	12596	+	1	CO dehydrogenase/acetyl-CoA synthase subunit delta
MMJJ_RS00060	MMJJ_RS00060	NZ_CP026606	12610	13983	+	1	acetyl-CoA decarbonylase/synthase complex subunit gamma
MMJJ_RS00065	MMJJ_RS00065	NZ_CP026606	13988	14452	+	1	4Fe-4S dicluster domain-containing protein
MMJJ_RS00070	MMJJ_RS00070	NZ_CP026606	14557	14736	+	1	CooT family nickel-binding protein
MMJJ_RS00075	MMJJ_RS00075	NZ_CP026606	14749	15531	-	1	AAA family ATPase
MMJJ_RS00080	MMJJ_RS00080	NZ_CP026606	15528	16184	-	1	DUF166 domain-containing protein
MMJJ_RS00085	MMJJ_RS00085	NZ_CP026606	16403	17254	+	1	substrate-binding domain-containing protein
MMJJ_RS00090	MMJJ_RS00090	NZ_CP026606	17306	17965	+	1	4Fe-4S binding protein
MMJJ_RS00095	MMJJ_RS00095	NZ_CP026606	17952	18809	+	1	permease
MMJJ_RS00100	MMJJ_RS00100	NZ_CP026606	18887	19300	+	1	hypothetical protein
MMJJ_RS00105	MMJJ_RS00105	NZ_CP026606	19351	20700	-	1	adenylosuccinate lyase
MMJJ_RS00110	MMJJ_RS00110	NZ_CP026606	20722	22443	-	1	ATP-dependent DNA ligase
MMJJ_RS00115	MMJJ_RS00115	NZ_CP026606	22472	22888	-	1	hypothetical protein
MMJJ_RS00120	MMJJ_RS00120	NZ_CP026606	22922	24196	-	1	histidinol dehydrogenase
MMJJ_RS00125	MMJJ_RS00125	NZ_CP026606	24214	24645	-	1	KEOPS complex subunit Cgi121
MMJJ_RS00130	MMJJ_RS00130	NZ_CP026606	24902	25621	+	1	uroporphyrinogen-III C-methyltransferase
MMJJ_RS00135	MMJJ_RS00135	NZ_CP026606	25708	26286	+	1	FmdE family protein
MMJJ_RS00140	MMJJ_RS00140	NZ_CP026606	26335	26592	-	1	hypothetical protein
MMJJ_RS00145	MMJJ_RS00145	NZ_CP026606	26718	27437	-	1	aquaporin family protein
MMJJ_RS00150	MMJJ_RS00150	NZ_CP026606	27434	27649	-	1	DUF2180 family protein
MMJJ_RS00155	MMJJ_RS00155	NZ_CP026606	27685	29184	-	1	DUF2193 domain-containing protein
MMJJ_RS00160	MMJJ_RS00160	NZ_CP026606	29525	30532	+	1	hypothetical protein
MMJJ_RS00165	MMJJ_RS00165	NZ_CP026606	30618	31520	+	1	F420-dependent thioredoxin reductase
MMJJ_RS00170	MMJJ_RS00170	NZ_CP026606	31537	31884	+	1	thioredoxin family protein
MMJJ_RS00175	MMJJ_RS00175	NZ_CP026606	31904	32557	+	1	cytochrome c biogenesis CcdA family protein
MMJJ_RS00180	MMJJ_RS00180	NZ_CP026606	32559	35030	-	1	DNA topoisomerase I
MMJJ_RS00185	MMJJ_RS00185	NZ_CP026606	35077	35940	-	1	succinate--CoA ligase subunit alpha
MMJJ_RS00190	MMJJ_RS00190	NZ_CP026606	36501	36974	+	1	hypothetical protein
MMJJ_RS00195	MMJJ_RS00195	NZ_CP026606	37263	38015	+	1	precorrin-3B C(17)-methyltransferase
MMJJ_RS00200	MMJJ_RS00200	NZ_CP026606	38158	38553	+	1	translation initiation factor IF-5A
MMJJ_RS00205	MMJJ_RS00205	NZ_CP026606	38646	39566	-	1	adenosylcobinamide-phosphate synthase CbiB
MMJJ_RS00210	MMJJ_RS00210	NZ_CP026606	39577	41007	-	1	DUF530 family protein
MMJJ_RS00215	MMJJ_RS00215	NZ_CP026606	41020	42354	-	1	CCA tRNA nucleotidyltransferase
MMJJ_RS00220	MMJJ_RS00220	NZ_CP026606	42412	42768	-	1	UPF0058 family protein
MMJJ_RS00225	MMJJ_RS00225	NZ_CP026606	43050	43916	+	1	ATP phosphoribosyltransferase
MMJJ_RS00230	MMJJ_RS00230	NZ_CP026606	44099	45508	+	1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
MMJJ_RS00235	MMJJ_RS00235	NZ_CP026606	45582	47423	-	1	hypothetical protein
