locusId	sysName	scaffoldId	begin	end	strand	type	desc
ABZR86_RS00005	ABZR86_RS00005	NZ_JBFBVS010000001	741	1019	-	1	hypothetical protein
ABZR86_RS00010	ABZR86_RS00010	NZ_JBFBVS010000001	1571	1966	-	1	arsenate reductase ArsC
ABZR86_RS00015	ABZR86_RS00015	NZ_JBFBVS010000001	1957	2445	-	1	ArsI/CadI family heavy metal resistance metalloenzyme
ABZR86_RS00020	ABZR86_RS00020	NZ_JBFBVS010000001	2442	2783	-	1	metalloregulator ArsR/SmtB family transcription factor
ABZR86_RS00025	ABZR86_RS00025	NZ_JBFBVS010000001	2912	4528	-	1	family 43 glycosylhydrolase
ABZR86_RS00030	ABZR86_RS00030	NZ_JBFBVS010000001	4551	6074	-	1	beta-xylosidase
ABZR86_RS00035	ABZR86_RS00035	NZ_JBFBVS010000001	6382	8079	+	7	monovalent cation:proton antiporter-2 (CPA2) family protein
ABZR86_RS00040	ABZR86_RS00040	NZ_JBFBVS010000001	8326	9372	+	1	hypothetical protein
ABZR86_RS00045	ABZR86_RS00045	NZ_JBFBVS010000001	9416	10147	-	1	hypothetical protein
ABZR86_RS00050	ABZR86_RS00050	NZ_JBFBVS010000001	10400	11257	+	1	AraC family transcriptional regulator
ABZR86_RS00055	ABZR86_RS00055	NZ_JBFBVS010000001	11342	12484	+	1	M50 family metallopeptidase
ABZR86_RS00060	ABZR86_RS00060	NZ_JBFBVS010000001	12481	13551	-	1	hypothetical protein
ABZR86_RS00065	ABZR86_RS00065	NZ_JBFBVS010000001	13680	14177	-	1	hypothetical protein
ABZR86_RS00070	ABZR86_RS00070	NZ_JBFBVS010000001	14272	14730	+	1	hypothetical protein
ABZR86_RS00075	ABZR86_RS00075	NZ_JBFBVS010000001	14830	15576	-	1	glucose 1-dehydrogenase
ABZR86_RS00080	ABZR86_RS00080	NZ_JBFBVS010000001	15688	16065	+	1	helix-turn-helix domain-containing protein
ABZR86_RS00085	ABZR86_RS00085	NZ_JBFBVS010000001	16166	16315	+	1	hypothetical protein
ABZR86_RS00090	ABZR86_RS00090	NZ_JBFBVS010000001	16371	17195	-	1	AraC family transcriptional regulator
ABZR86_RS00095	ABZR86_RS00095	NZ_JBFBVS010000001	17234	18052	-	1	DUF4198 domain-containing protein
ABZR86_RS00100	ABZR86_RS00100	NZ_JBFBVS010000001	18049	18534	-	1	hypothetical protein
ABZR86_RS00105	ABZR86_RS00105	NZ_JBFBVS010000001	18531	19130	-	1	HupE/UreJ family protein
ABZR86_RS00110	ABZR86_RS00110	NZ_JBFBVS010000001	19127	20356	-	1	DUF4331 family protein
ABZR86_RS00115	ABZR86_RS00115	NZ_JBFBVS010000001	20468	21037	-	1	DUF1579 domain-containing protein
ABZR86_RS00120	ABZR86_RS00120	NZ_JBFBVS010000001	21173	21712	+	1	cysteine hydrolase family protein
ABZR86_RS00125	ABZR86_RS00125	NZ_JBFBVS010000001	21945	24875	+	1	TonB-dependent receptor
ABZR86_RS00130	ABZR86_RS00130	NZ_JBFBVS010000001	25088	26362	+	1	DUF763 domain-containing protein
ABZR86_RS00135	ABZR86_RS00135	NZ_JBFBVS010000001	26392	27096	-	1	DUF899 family protein
ABZR86_RS00140	ABZR86_RS00140	NZ_JBFBVS010000001	27126	27785	-	1	glutathione S-transferase family protein
ABZR86_RS00145	ABZR86_RS00145	NZ_JBFBVS010000001	28068	28535	+	1	MarR family transcriptional regulator
ABZR86_RS00150	ABZR86_RS00150	NZ_JBFBVS010000001	28597	29154	+	1	isochorismatase family protein
ABZR86_RS00155	ABZR86_RS00155	NZ_JBFBVS010000001	29189	30475	+	1	MFS transporter
ABZR86_RS00160	ABZR86_RS00160	NZ_JBFBVS010000001	30650	31117	-	1	hypothetical protein
