locusId	sysName	scaffoldId	begin	end	strand	type	desc
GFF1	PS417_00005	CP007637	225	1742	+	1	chromosomal replication initiation protein
GFF2	PS417_00010	CP007637	1781	2884	+	1	DNA polymerase III subunit beta
GFF3	PS417_00015	CP007637	2905	4008	+	1	recombinase RecF
GFF4	PS417_00020	CP007637	4013	6430	+	1	DNA gyrase subunit B
GFF5	PS417_00025	CP007637	6537	7259	-	1	transcriptional regulator
GFF6	PS417_00030	CP007637	7272	7457	-	1	hypothetical protein
GFF7	PS417_00035	CP007637	7515	8432	+	1	hypothetical protein
GFF8	PS417_00040	CP007637	8436	10715	+	1	ATPase
GFF9	PS417_00045	CP007637	10898	11668	-	1	glycerol acyltransferase
GFF10	PS417_00050	CP007637	11751	12284	-	1	histidinol phosphatase
GFF11	PS417_00055	CP007637	12290	14344	-	1	glycine-tRNA synthetase subunit beta
GFF12	PS417_00060	CP007637	14341	15294	-	1	glycyl-tRNA synthetase
GFF13	PS417_00065	CP007637	15376	15933	+	1	3-methyladenine DNA glycosylase
GFF14	PS417_00070	CP007637	15974	16861	+	1	lipid A biosynthesis lauroyl acyltransferase
GFF15	PS417_00075	CP007637	16998	17309	-	1	hypothetical protein
GFF16	PS417_00080	CP007637	17327	18700	-	1	potassium transporter peripheral membrane component
GFF17	PS417_00085	CP007637	18722	20032	-	1	16S rRNA methyltransferase
GFF18	PS417_00090	CP007637	20029	20982	-	1	methionyl-tRNA formyltransferase
GFF19	PS417_00095	CP007637	21052	21558	-	1	peptide deformylase
GFF20	PS417_00100	CP007637	21694	22470	+	1	peptidoglycan-binding protein
GFF21	PS417_00110	CP007637	23683	24240	+	1	tRNA threonylcarbamoyladenosine biosynthesis protein RimN
GFF22	PS417_00115	CP007637	24371	25348	-	1	quinone oxidoreductase
GFF23	PS417_00120	CP007637	25508	26440	+	1	coproporphyrinogen III oxidase
GFF24	PS417_00125	CP007637	26440	27258	+	1	shikimate dehydrogenase
GFF25	PS417_00130	CP007637	27295	28887	-	1	SulP family inorganic anion transporter
GFF26	PS417_00135	CP007637	29021	29935	-	1	glycine/betaine ABC transporter substrate-binding protein
GFF27	PS417_00140	CP007637	29951	31465	-	1	choline-sulfatase
GFF28	PS417_00145	CP007637	31569	32519	+	1	LysR family transcriptional regulator
GFF29	PS417_00150	CP007637	32551	32880	+	1	4,5-dioxygenase
GFF30	PS417_00155	CP007637	32977	33936	+	1	2-dehydro-3-deoxygalactonokinase
GFF31	PS417_00160	CP007637	33938	34558	+	1	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
GFF32	PS417_00165	CP007637	34607	35755	+	1	galactonate dehydratase
GFF33	PS417_00170	CP007637	35939	37246	+	1	glucarate transporter
GFF34	PS417_00175	CP007637	37312	37752	-	1	CigR
GFF35	PS417_00180	CP007637	37889	38698	-	1	tryptophan synthase subunit alpha
GFF36	PS417_00185	CP007637	38698	39939	-	1	tryptophan synthase subunit beta
GFF37	PS417_00190	CP007637	40050	40946	+	1	LysR family transcriptional regulator
GFF38	PS417_00195	CP007637	40956	41282	-	1	hypothetical protein
GFF39	PS417_00200	CP007637	41439	41654	+	1	hypothetical protein
GFF40	PS417_00205	CP007637	41770	41997	+	1	hypothetical protein
GFF41	PS417_00210	CP007637	42057	43058	-	1	hypothetical protein
GFF42	PS417_00215	CP007637	43276	43707	+	1	peroxiredoxin OsmC
GFF43	PS417_00220	CP007637	43943	44182	+	1	hypothetical protein
GFF44	PS417_00225	CP007637	44183	44605	-	1	hypothetical protein
GFF45	PS417_00230	CP007637	44748	45791	+	1	aminopeptidase
GFF46	PS417_00235	CP007637	45878	46537	-	1	HAD family hydrolase
GFF47	PS417_00240	CP007637	46534	47076	-	1	anhydrase
GFF48	PS417_00245	CP007637	47179	49230	+	1	oligopeptidase A
GFF49	PS417_00250	CP007637	49227	49502	+	1	DNA-binding protein
GFF50	PS417_00255	CP007637	49538	49741	-	1	hypothetical protein
GFF51	PS417_00260	CP007637	49936	50688	+	1	gluconate 2-dehydrogenase
GFF52	PS417_00265	CP007637	50691	52475	+	1	GMC family oxidoreductase
GFF53	PS417_00270	CP007637	52488	53750	+	1	alcohol dehydrogenase
GFF54	PS417_00275	CP007637	53828	54085	-	1	hypothetical protein
GFF55	PS417_00280	CP007637	54309	55367	+	1	radical SAM protein
GFF56	PS417_00285	CP007637	55595	56326	+	1	carbonate dehydratase
GFF57	PS417_00290	CP007637	56412	57959	+	1	SulP family inorganic anion transporter
GFF58	PS417_00295	CP007637	58091	58738	-	1	hypothetical protein
GFF59	PS417_00300	CP007637	59106	60233	+	1	cytochrome B559 subunit alpha
GFF60	PS417_00305	CP007637	60292	61878	+	1	cytochrome oxidase subunit I
GFF61	PS417_00310	CP007637	61900	62451	+	1	cysteine synthase
GFF62	PS417_00315	CP007637	62487	63374	+	1	MFS transporter
GFF63	PS417_00320	CP007637	63381	63584	-	1	hypothetical protein
GFF64	PS417_00325	CP007637	63613	64377	+	1	hypothetical protein
GFF65	PS417_00330	CP007637	64343	64927	+	1	hypothetical protein
GFF66	PS417_00335	CP007637	64938	66017	+	1	cytochrome B561
GFF67	PS417_00340	CP007637	66005	66904	+	1	protoheme IX farnesyltransferase
GFF68	PS417_00345	CP007637	66901	67536	+	1	copper-binding protein
GFF69	PS417_00350	CP007637	67698	68468	-	1	methionine ABC transporter substrate-binding protein
GFF70	PS417_00355	CP007637	68520	69194	-	1	metal ABC transporter permease
GFF71	PS417_00360	CP007637	69194	70201	-	1	methionine ABC transporter ATP-binding protein
GFF72	PS417_00365	CP007637	70467	72608	+	1	hydroperoxidase
