locusId	sysName	scaffoldId	begin	end	strand	type	desc
H281DRAFT_00001	H281DRAFT_00001	H281DRAFT_scaffold00001.1	1	705	+	1	Transposase DDE domain-containing protein
H281DRAFT_00002	H281DRAFT_00002	H281DRAFT_scaffold00001.1	1073	1918	+	1	hypothetical protein
H281DRAFT_00003	H281DRAFT_00003	H281DRAFT_scaffold00001.1	2719	3729	+	1	nitronate monooxygenase
H281DRAFT_00004	H281DRAFT_00004	H281DRAFT_scaffold00001.1	4600	5139	+	1	hypothetical protein
H281DRAFT_00005	H281DRAFT_00005	H281DRAFT_scaffold00001.1	5295	5576	-	1	hypothetical protein
H281DRAFT_00006	H281DRAFT_00006	H281DRAFT_scaffold00001.1	6081	6458	-	1	hypothetical protein
H281DRAFT_00007	H281DRAFT_00007	H281DRAFT_scaffold00001.1	6666	8261	+	1	Site-specific DNA recombinase
H281DRAFT_00008	H281DRAFT_00008	H281DRAFT_scaffold00001.1	8258	8575	+	1	hypothetical protein
H281DRAFT_00009	H281DRAFT_00009	H281DRAFT_scaffold00001.1	8572	9186	+	1	RepB plasmid partitioning protein
H281DRAFT_00010	H281DRAFT_00010	H281DRAFT_scaffold00001.1	9487	10146	+	1	nitrile hydratase
H281DRAFT_00011	H281DRAFT_00011	H281DRAFT_scaffold00001.1	10143	10814	+	1	nitrile hydratase
H281DRAFT_00012	H281DRAFT_00012	H281DRAFT_scaffold00001.1	10816	11184	+	1	nitrile hydratase accessory protein
H281DRAFT_00013	H281DRAFT_00013	H281DRAFT_scaffold00001.1	11769	13196	-	1	Cytochrome P450
H281DRAFT_00014	H281DRAFT_00014	H281DRAFT_scaffold00001.1	13253	14596	-	1	FAD/FMN-containing dehydrogenases
H281DRAFT_00015	H281DRAFT_00015	H281DRAFT_scaffold00001.1	15488	15649	+	1	hypothetical protein
H281DRAFT_00016	H281DRAFT_00016	H281DRAFT_scaffold00001.1	15933	18224	+	1	beta-glucosidase
H281DRAFT_00017	H281DRAFT_00017	H281DRAFT_scaffold00001.1	18368	19171	+	1	hypothetical protein
H281DRAFT_00018	H281DRAFT_00018	H281DRAFT_scaffold00001.1	19259	19903	+	1	hypothetical protein
H281DRAFT_00019	H281DRAFT_00019	H281DRAFT_scaffold00001.1	20574	21485	-	1	transcriptional regulator, LysR family
H281DRAFT_00020	H281DRAFT_00020	H281DRAFT_scaffold00001.1	21651	22349	+	1	Glutathione S-transferase
H281DRAFT_00021	H281DRAFT_00021	H281DRAFT_scaffold00001.1	22548	22817	+	1	hypothetical protein
H281DRAFT_00022	H281DRAFT_00022	H281DRAFT_scaffold00001.1	23204	23734	+	1	Transposase IS66 family protein
H281DRAFT_00023	H281DRAFT_00023	H281DRAFT_scaffold00001.1	24064	24765	-	1	Glutathione S-transferase
H281DRAFT_00024	H281DRAFT_00024	H281DRAFT_scaffold00001.1	25677	26003	+	1	protein of unknown function (DUF4148)
H281DRAFT_00025	H281DRAFT_00025	H281DRAFT_scaffold00001.1	26231	27703	-	1	fumarase, class II
H281DRAFT_00026	H281DRAFT_00026	H281DRAFT_scaffold00001.1	27718	29337	-	1	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
H281DRAFT_00027	H281DRAFT_00027	H281DRAFT_scaffold00001.1	30657	32036	+	1	succinate semialdehyde dehydrogenase (EC 1.2.1.16)
