gtdb_species_clade_id,phylogenetic_tree_id,GTDB_species,no_genomes,no_core,no_aux_genome,no_singleton_gene_clusters,no_gene_clusters,mean_intra_species_ANI,min_intra_species_ANI,singleton_fraction,core_fraction,aux_fraction
s__Bacillus_A_anthracis--RS_GCF_000742895.1,c1086ffa-f0c9-5740-aa70-ca5f4db62f65,s__Bacillus_A_anthracis,455,4530,45003,24380.0,49533,99.22,95.34,0.4921971211111784,0.09145418206044455,0.9085458179395555
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,f5abf808-b5c7-5639-9b0c-072b69d12832,s__Phocaeicola_vulgatus,449,2635,71920,39652.0,74555,98.85,95.43,0.531848970558648,0.035343035343035345,0.9646569646569647
s__Cronobacter_sakazakii--RS_GCF_000982825.1,f0e3de20-05d8-5013-9990-3aecd4f560d0,s__Cronobacter_sakazakii,449,3468,38955,22032.0,42423,98.01,97.39,0.5193409235556185,0.08174810833745845,0.9182518916625415
s__Streptococcus_equi--GB_GCA_900637675.1,40daef3c-4023-5456-8642-bcfb4bdebd41,s__Streptococcus_equi,472,1830,15913,10576.0,17743,99.18,95.16,0.5960660542185651,0.10313926618948317,0.8968607338105168
s__Corynebacterium_diphtheriae--RS_GCF_001457455.1,39a70d98-74fa-55a5-a340-1da10908e6e4,s__Corynebacterium_diphtheriae,389,1788,13444,5749.0,15232,98.11,95.03,0.3774290966386555,0.1173844537815126,0.8826155462184874
s__Serratia_marcescens_K--RS_GCF_002220655.1,fbff76ff-6c65-56c2-8960-f46736397728,s__Serratia_marcescens_K,425,4110,31431,19987.0,35541,98.79,98.1,0.5623645930052615,0.11564109057145269,0.8843589094285473
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2,e85d3df9-25c7-5b99-b1f4-eac83572dfa0,s__Staphylococcus_pseudintermedius,426,2040,24203,16256.0,26243,99.31,98.36,0.6194413748428153,0.07773501505163281,0.9222649849483672
s__Bacteroides_uniformis--GB_GCA_025147485.1,0d2bc254-d029-52ad-8c47-959fdf7fbb11,s__Bacteroides_uniformis,401,2427,74048,41774.0,76475,98.35,95.37,0.54624387054593,0.03173586139261197,0.968264138607388
s__Cutibacterium_acnes--RS_GCF_003030305.1,0503b5ac-24fd-5229-afd5-589ec7b71092,s__Cutibacterium_acnes,361,1860,12321,7886.0,14181,99.04,96.6,0.5560961850363162,0.13116141315845145,0.8688385868415486
s__Xanthomonas_oryzae--RS_GCF_004136375.1,1a97bda6-4a90-5939-ad05-ab89e0586367,s__Xanthomonas_oryzae,396,3355,27021,11359.0,30376,99.16,96.34,0.3739465367395312,0.11044903871477482,0.8895509612852252
s__Klebsiella_michiganensis--RS_GCF_002925905.1,ef530c19-78d6-5077-9863-18f8506a1d8a,s__Klebsiella_michiganensis,399,4597,57138,30368.0,61735,98.57,97.38,0.4919089657406657,0.07446343241273183,0.9255365675872682
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,f37ed23d-4aed-5b33-9703-920754084299,s__Helicobacter_pylori_BU,370,1192,20961,11306.0,22153,96.41,95.28,0.5103597706856859,0.053807610707353404,0.9461923892926466
s__Sarcina_perfringens--RS_GCF_000013285.1,0f69cb33-57fa-507f-b441-b65232bdce47,s__Sarcina_perfringens,403,2325,31313,15301.0,33638,98.03,95.74,0.45487246566383255,0.06911825911171889,0.9308817408882811
s__Burkholderia_multivorans--RS_GCF_000959525.1,a843ed04-69b7-5fd3-bd00-13dbdbb63fa6,s__Burkholderia_multivorans,404,4609,48640,27101.0,53249,97.72,96.87,0.5089485248549268,0.08655561606790738,0.9134443839320926
s__Klebsiella_aerogenes--RS_GCF_000215745.1,cf9eb0c5-677f-563c-8e6c-03dac6e522fb,s__Klebsiella_aerogenes,395,4152,56952,38642.0,61104,98.39,95.78,0.6323972244042944,0.06794972505891594,0.9320502749410841
