locusId	sysName	scaffoldId	begin	end	strand	type	desc
Psyr_0001	Psyr_0001	CP000075	1	1536	+	1	chromosomal replication initiator protein DnaA
Psyr_0002	Psyr_0002	CP000075	1575	2678	+	1	DNA polymerase III, beta subunit
Psyr_0003	Psyr_0003	CP000075	2701	3804	+	1	DNA replication and repair protein RecF
Psyr_0004	Psyr_0004	CP000075	3809	6226	+	1	DNA gyrase subunit B
Psyr_0005	Psyr_0005	CP000075	6282	7169	-	1	conserved hypothetical protein
Psyr_0006	Psyr_0006	CP000075	7197	8231	-	1	putative phenylacetaldoxime dehydratase
Psyr_0007	Psyr_0007	CP000075	8233	9243	-	1	Aliphatic nitrilase
Psyr_0008	Psyr_0008	CP000075	9410	10384	+	1	transcriptional regulator, AraC family
Psyr_0009	Psyr_0009	CP000075	10525	11295	-	1	Phospholipid/glycerol acyltransferase
Psyr_0010	Psyr_0010	CP000075	11361	11903	-	1	D-alpha,beta-D-heptose 1,7-bisphosphate phosphatase
Psyr_0011	Psyr_0011	CP000075	11916	13970	-	1	glycyl-tRNA synthetase beta chain
Psyr_0012	Psyr_0012	CP000075	13967	14974	-	1	glycyl-tRNA synthetase alpha chain
Psyr_0013	Psyr_0013	CP000075	14995	15546	+	1	DNA-3-methyladenine glycosylase I
Psyr_0014	Psyr_0014	CP000075	15585	16472	+	1	lipid A biosynthesis acyltransferase
Psyr_0015	Psyr_0015	CP000075	16812	19175	-	1	Oxidoreductase alpha (molybdopterin) subunit
Psyr_0016	Psyr_0016	CP000075	19329	20702	-	1	TrkA-N:TrkA-C
Psyr_0017	Psyr_0017	CP000075	20699	22045	-	1	16S rRNA m(5)C-967 methyltransferase
Psyr_0018	Psyr_0018	CP000075	22042	22986	-	1	methionyl-tRNA formyltransferase
Psyr_0019	Psyr_0019	CP000075	23040	23546	-	1	peptide deformylase
Psyr_0020	Psyr_0020	CP000075	23672	24697	+	1	Peptidoglycan-binding LysM
Psyr_0021	Psyr_0021	CP000075	24821	25939	+	1	DNA protecting protein DprA
Psyr_0022	Psyr_0022	CP000075	25978	26535	+	1	translation factor SUA5
Psyr_0023	Psyr_0023	CP000075	26572	27549	-	1	Zinc-containing alcohol dehydrogenase superfamily
Psyr_0024	Psyr_0024	CP000075	27721	28635	+	1	coproporphyrinogen oxidase
Psyr_0025	Psyr_0025	CP000075	28635	29459	+	1	shikimate dehydrogenase
Psyr_0026	Psyr_0026	CP000075	29644	31212	-	1	Sulfate transporter/antisigma-factor antagonist STAS:Sulphate transporter
Psyr_0027	Psyr_0027	CP000075	31284	31601	-	1	conserved hypothetical protein
Psyr_0028	Psyr_0028	CP000075	31768	32694	-	1	Substrate-binding region of ABC-type glycine betaine transport system
Psyr_0029	Psyr_0029	CP000075	32731	34236	-	1	Sulfatase
Psyr_0030	Psyr_0030	CP000075	34350	35300	+	1	transcriptional regulator, LysR family
Psyr_0031	Psyr_0031	CP000075	35445	36269	+	1	Alpha/beta hydrolase fold protein
Psyr_0032	Psyr_0032	CP000075	36536	37066	-	1	conserved hypothetical protein
Psyr_0033	Psyr_0033	CP000075	37192	38001	-	1	tryptophan synthase, alpha chain
Psyr_0034	Psyr_0034	CP000075	37998	39227	-	1	tryptophan synthase, beta chain
Psyr_0035	Psyr_0035	CP000075	39307	40263	+	1	regulatory protein, LysR:LysR, substrate-binding protein
Psyr_0036	Psyr_0036	CP000075	40264	40590	-	1	protein of unknown function DUF883
Psyr_0037	Psyr_0037	CP000075	40756	40971	+	1	Protein of unknown function DUF1458
Psyr_0038	Psyr_0038	CP000075	41122	41346	+	1	Protein of unknown function DUF1161
Psyr_0039	Psyr_0039	CP000075	41484	42485	-	1	luciferase
Psyr_0040	Psyr_0040	CP000075	42698	43129	+	1	OsmC-like protein
Psyr_0041	Psyr_0041	CP000075	43248	43481	+	1	Protein of unknown function DUF1161
Psyr_0042	Psyr_0042	CP000075	43482	43970	-	1	lipoprotein, putative
Psyr_0043	Psyr_0043	CP000075	44004	45059	+	1	conserved hypothetical protein
Psyr_0044	Psyr_0044	CP000075	45231	45776	-	1	transferase hexapeptide repeat protein
Psyr_0045	Psyr_0045	CP000075	45889	47940	+	1	oligopeptidase A, Metallo peptidase, MEROPS family M03A
Psyr_0046	Psyr_0046	CP000075	47937	48227	+	1	conserved hypothetical protein
Psyr_0047	Psyr_0047	CP000075	48272	48574	-	1	hypothetical protein
Psyr_0048	Psyr_0048	CP000075	48668	48898	-	1	conserved hypothetical protein
Psyr_0049	Psyr_0049	CP000075	49110	51008	-	1	Cytochrome c, class I:Iron permease FTR1
Psyr_0050	Psyr_0050	CP000075	51165	51797	-	1	Lysine exporter protein (LYSE/YGGA)
Psyr_0051	Psyr_0051	CP000075	51865	52458	-	1	conserved hypothetical protein
Psyr_0052	Psyr_0052	CP000075	52475	54385	-	1	ABC transporter
Psyr_0053	Psyr_0053	CP000075	54432	54908	+	1	conserved hypothetical protein
Psyr_0054	Psyr_0054	CP000075	54905	55921	-	1	alginate regulatory protein AlgR3
Psyr_0055	Psyr_0055	CP000075	56138	56815	+	1	FKBP-type peptidyl-prolyl isomerase, N-terminal:Peptidylprolyl isomerase, FKBP-type
Psyr_0056	Psyr_0056	CP000075	56893	57393	-	1	Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ
Psyr_0057	Psyr_0057	CP000075	57384	57536	-	1	conserved hypothetical protein
Psyr_0058	Psyr_0058	CP000075	57541	58068	-	1	Disulfide bond formation protein DsbB
Psyr_0059	Psyr_0059	CP000075	58285	59529	-	1	HemY, N-terminal:HemY, N-terminal:HemY, N-terminal
Psyr_0060	Psyr_0060	CP000075	59526	60701	-	1	Protein of unknown function DUF513
Psyr_0061	Psyr_0061	CP000075	60701	61474	-	1	uroporphyrinogen-III synthase
Psyr_0062	Psyr_0062	CP000075	61471	62412	-	1	hydroxymethylbilane synthase
Psyr_0063	Psyr_0063	CP000075	62645	63391	-	1	Two-component response regulator AlgR
Psyr_0064	Psyr_0064	CP000075	63388	64470	-	1	Sensory transduction protein kinase AlgZ
Psyr_0065	Psyr_0065	CP000075	64605	65999	+	1	argininosuccinate lyase
Psyr_0066	Psyr_0066	CP000075	66405	67646	+	1	bifunctional spore maturation protein, fused SpmA/SpmB
Psyr_0067	Psyr_0067	CP000075	67651	68844	-	1	membrane protein, putative
Psyr_0068	Psyr_0068	CP000075	68941	70317	-	1	Insulinase-like:Peptidase M16, C-terminal
Psyr_0069	Psyr_0069	CP000075	70375	72027	-	1	Na+/Pi-cotransporter:Na/Pi cotransporter II-related protein
