locusId	sysName	scaffoldId	begin	end	strand	type	desc
ABZR87_RS00005	ABZR87_RS00005	NZ_JBFBVT010000001	524	1066	-	1	hypothetical protein
ABZR87_RS00010	ABZR87_RS00010	NZ_JBFBVT010000001	1162	5076	-	1	translocation/assembly module TamB domain-containing protein
ABZR87_RS00015	ABZR87_RS00015	NZ_JBFBVT010000001	5079	6866	-	1	autotransporter assembly complex family protein
ABZR87_RS00020	ABZR87_RS00020	NZ_JBFBVT010000001	7104	7292	+	1	DUF3460 family protein
ABZR87_RS00025	ABZR87_RS00025	NZ_JBFBVT010000001	7332	8213	+	1	ScpA family protein
ABZR87_RS00030	ABZR87_RS00030	NZ_JBFBVT010000001	8253	9104	+	1	pantoate--beta-alanine ligase
ABZR87_RS00035	ABZR87_RS00035	NZ_JBFBVT010000001	9153	9818	-	1	ParA family protein
ABZR87_RS00040	ABZR87_RS00040	NZ_JBFBVT010000001	9894	11390	-	1	cobyric acid synthase
ABZR87_RS00045	ABZR87_RS00045	NZ_JBFBVT010000001	11452	12027	+	1	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
ABZR87_RS00050	ABZR87_RS00050	NZ_JBFBVT010000001	12024	13004	+	1	adenosylcobinamide-phosphate synthase CbiB
ABZR87_RS00055	ABZR87_RS00055	NZ_JBFBVT010000001	13001	14008	+	1	threonine-phosphate decarboxylase CobD
ABZR87_RS00060	ABZR87_RS00060	NZ_JBFBVT010000001	14019	14975	+	1	cobalamin-binding protein
ABZR87_RS00065	ABZR87_RS00065	NZ_JBFBVT010000001	14988	15575	-	1	alpha-ribazole phosphatase
ABZR87_RS00070	ABZR87_RS00070	NZ_JBFBVT010000001	15560	16330	-	1	adenosylcobinamide-GDP ribazoletransferase
ABZR87_RS00075	ABZR87_RS00075	NZ_JBFBVT010000001	16327	17391	-	1	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
ABZR87_RS00080	ABZR87_RS00080	NZ_JBFBVT010000001	17391	18011	-	1	cob(I)yrinic acid a,c-diamide adenosyltransferase
ABZR87_RS00085	ABZR87_RS00085	NZ_JBFBVT010000001	18001	18840	-	1	ABC transporter ATP-binding protein
ABZR87_RS00090	ABZR87_RS00090	NZ_JBFBVT010000001	18837	19856	-	1	iron ABC transporter permease
ABZR87_RS00095	ABZR87_RS00095	NZ_JBFBVT010000001	19853	21742	-	1	TonB-dependent receptor
ABZR87_RS00100	ABZR87_RS00100	NZ_JBFBVT010000001	22285	22605	+	1	hypothetical protein
ABZR87_RS00105	ABZR87_RS00105	NZ_JBFBVT010000001	22608	22925	+	1	cell division protein ZapA
ABZR87_RS00115	ABZR87_RS00115	NZ_JBFBVT010000001	23514	23984	+	1	EVE domain-containing protein
ABZR87_RS00120	ABZR87_RS00120	NZ_JBFBVT010000001	24079	24780	+	1	SIMPL domain-containing protein
ABZR87_RS00125	ABZR87_RS00125	NZ_JBFBVT010000001	24847	25749	-	1	prolipoprotein diacylglyceryl transferase
ABZR87_RS00130	ABZR87_RS00130	NZ_JBFBVT010000001	25764	26708	-	1	LysR substrate-binding domain-containing protein
ABZR87_RS00135	ABZR87_RS00135	NZ_JBFBVT010000001	26837	28510	+	1	dihydroxy-acid dehydratase
ABZR87_RS00140	ABZR87_RS00140	NZ_JBFBVT010000001	28566	28991	-	1	DUF2486 family protein
ABZR87_RS00145	ABZR87_RS00145	NZ_JBFBVT010000001	28988	29416	-	1	DNA polymerase III subunit chi
ABZR87_RS00150	ABZR87_RS00150	NZ_JBFBVT010000001	29439	30947	-	1	leucyl aminopeptidase
ABZR87_RS00155	ABZR87_RS00155	NZ_JBFBVT010000001	31062	32180	+	1	LPS export ABC transporter permease LptF
ABZR87_RS00160	ABZR87_RS00160	NZ_JBFBVT010000001	32177	33373	+	1	LPS export ABC transporter permease LptG
ABZR87_RS00165	ABZR87_RS00165	NZ_JBFBVT010000001	33373	33744	+	1	CbiX/SirB N-terminal domain-containing protein
ABZR87_RS00170	ABZR87_RS00170	NZ_JBFBVT010000001	33741	34157	-	1	5-carboxymethyl-2-hydroxymuconate Delta-isomerase
ABZR87_RS00175	ABZR87_RS00175	NZ_JBFBVT010000001	34187	35083	-	1	LysR family transcriptional regulator
ABZR87_RS00180	ABZR87_RS00180	NZ_JBFBVT010000001	35209	36225	+	1	NAD(P)-dependent alcohol dehydrogenase
ABZR87_RS00185	ABZR87_RS00185	NZ_JBFBVT010000001	36241	37047	-	1	uroporphyrinogen-III C-methyltransferase
ABZR87_RS00190	ABZR87_RS00190	NZ_JBFBVT010000001	37104	38411	-	1	sulfate adenylyltransferase subunit 1
ABZR87_RS00195	ABZR87_RS00195	NZ_JBFBVT010000001	38414	39364	-	1	sulfate adenylyltransferase subunit CysD
ABZR87_RS00200	ABZR87_RS00200	NZ_JBFBVT010000001	39385	40212	-	1	phosphoadenylyl-sulfate reductase
ABZR87_RS00205	ABZR87_RS00205	NZ_JBFBVT010000001	40209	40754	-	1	DUF934 domain-containing protein
ABZR87_RS00210	ABZR87_RS00210	NZ_JBFBVT010000001	40772	42433	-	1	nitrite/sulfite reductase
ABZR87_RS00215	ABZR87_RS00215	NZ_JBFBVT010000001	42559	43332	-	1	sulfite exporter TauE/SafE family protein
ABZR87_RS00220	ABZR87_RS00220	NZ_JBFBVT010000001	43486	44427	+	1	CysB family HTH-type transcriptional regulator
ABZR87_RS00225	ABZR87_RS00225	NZ_JBFBVT010000001	44469	45638	+	1	ABC transporter substrate-binding protein
ABZR87_RS00230	ABZR87_RS00230	NZ_JBFBVT010000001	45660	46544	+	1	NAD(P)-dependent oxidoreductase
ABZR87_RS00235	ABZR87_RS00235	NZ_JBFBVT010000001	46611	46695	+	5	tRNA-Leu
ABZR87_RS00240	ABZR87_RS00240	NZ_JBFBVT010000001	46899	48758	+	1	dihydroxy-acid dehydratase
ABZR87_RS00245	ABZR87_RS00245	NZ_JBFBVT010000001	48842	49648	-	1	2,5-didehydrogluconate reductase DkgB
ABZR87_RS00250	ABZR87_RS00250	NZ_JBFBVT010000001	49672	50874	-	1	MFS transporter
ABZR87_RS00255	ABZR87_RS00255	NZ_JBFBVT010000001	50871	51815	-	1	TIGR03571 family LLM class oxidoreductase
