locusId	sysName	scaffoldId	begin	end	strand	type	desc
AO356_00010	AO356_00010	CP012831	463	1560	-	1	ABC transporter ATP-binding protein
AO356_00015	AO356_00015	CP012831	1618	2451	-	1	sugar ABC transporter permease
AO356_00020	AO356_00020	CP012831	2462	3388	-	1	sugar ABC transporter permease
AO356_00025	AO356_00025	CP012831	3448	4758	-	1	sugar ABC transporter substrate-binding protein
AO356_00030	AO356_00030	CP012831	5051	6001	+	1	AraC family transcriptional regulator
AO356_00035	AO356_00035	CP012831	6063	6977	+	1	sugar kinase
AO356_00040	AO356_00040	CP012831	7185	8102	-	1	LysR family transcriptional regulator
AO356_00045	AO356_00045	CP012831	8271	9134	+	1	glycine/betaine ABC transporter substrate-binding protein
AO356_00050	AO356_00050	CP012831	9283	10026	+	1	2-haloalkanoic acid dehalogenase
AO356_00055	AO356_00055	CP012831	10038	11339	+	1	oxidoreductase
AO356_00060	AO356_00060	CP012831	11408	11698	+	1	hypothetical protein
AO356_00065	AO356_00065	CP012831	12424	13104	+	1	SAM-dependent methyltransferase
AO356_00070	AO356_00070	CP012831	14887	15117	+	1	hypothetical protein
AO356_00075	AO356_00075	CP012831	15122	15964	+	1	cobyrinic acid a,c-diamide synthase
AO356_00080	AO356_00080	CP012831	16050	16259	+	1	hypothetical protein
AO356_00085	AO356_00085	CP012831	16274	17845	+	1	chromosome partitioning protein ParB
AO356_00090	AO356_00090	CP012831	17842	18390	+	1	hypothetical protein
AO356_00095	AO356_00095	CP012831	18387	19574	+	1	hypothetical protein
AO356_00100	AO356_00100	CP012831	19719	20474	+	1	conjugal transfer protein
AO356_00105	AO356_00105	CP012831	20471	20989	+	1	integrase
AO356_00110	AO356_00110	CP012831	21076	21318	-	1	hypothetical protein
AO356_00115	AO356_00115	CP012831	21556	22671	+	1	hypothetical protein
AO356_00120	AO356_00120	CP012831	22824	24791	+	1	DNA topoisomerase III
AO356_00125	AO356_00125	CP012831	24835	25092	-	1	hypothetical protein
AO356_00130	AO356_00130	CP012831	25301	25642	+	1	XRE family transcriptional regulator
AO356_00135	AO356_00135	CP012831	26542	27123	+	1	hypothetical protein
AO356_00140	AO356_00140	CP012831	27194	27451	+	1	hypothetical protein
AO356_00150	AO356_00150	CP012831	28100	28864	+	1	ABC transporter substrate-binding protein
AO356_00155	AO356_00155	CP012831	28954	29496	+	1	pili assembly chaperone
AO356_00160	AO356_00160	CP012831	29493	30164	+	1	chemotaxis protein
AO356_00165	AO356_00165	CP012831	30174	30893	+	1	hypothetical protein
AO356_00170	AO356_00170	CP012831	30875	31423	+	1	lytic transglycosylase
AO356_00175	AO356_00175	CP012831	31420	31935	+	1	conjugal transfer protein
AO356_00180	AO356_00180	CP012831	31945	34050	+	1	conjugal transfer protein TraG
AO356_00185	AO356_00185	CP012831	34140	34871	+	1	hypothetical protein
AO356_00190	AO356_00190	CP012831	34946	36082	-	1	hypothetical protein
AO356_00195	AO356_00195	CP012831	36079	37830	-	1	hypothetical protein
AO356_00200	AO356_00200	CP012831	37994	38194	-	1	hypothetical protein
AO356_00205	AO356_00205	CP012831	38296	38535	+	1	conjugal transfer protein
AO356_00210	AO356_00210	CP012831	38553	38924	+	1	conjugal transfer protein
AO356_00215	AO356_00215	CP012831	38932	39345	+	1	conjugal transfer protein
AO356_00220	AO356_00220	CP012831	39342	39983	+	1	hypothetical protein
AO356_00225	AO356_00225	CP012831	39980	40792	+	1	conjugal transfer protein
AO356_00230	AO356_00230	CP012831	40782	42299	+	1	conjugal transfer protein
AO356_00235	AO356_00235	CP012831	42262	42678	+	1	conjugal transfer protein
AO356_00240	AO356_00240	CP012831	42678	45425	+	1	conjugal transfer protein
AO356_00245	AO356_00245	CP012831	45450	46196	-	1	hypothetical protein
AO356_00250	AO356_00250	CP012831	46193	46441	-	1	hypothetical protein
AO356_00255	AO356_00255	CP012831	47046	47300	+	1	DNA-binding protein
AO356_00260	AO356_00260	CP012831	47417	48373	+	1	conjugal transfer protein
AO356_00265	AO356_00265	CP012831	48370	49752	+	1	conjugal transfer protein
AO356_00270	AO356_00270	CP012831	49756	50064	+	1	hypothetical protein
AO356_00275	AO356_00275	CP012831	50075	51616	+	1	hypothetical protein
AO356_00280	AO356_00280	CP012831	51605	52000	-	1	hypothetical protein
AO356_00285	AO356_00285	CP012831	52461	52790	+	1	hypothetical protein
AO356_00290	AO356_00290	CP012831	52921	53883	+	1	DNA primase
AO356_00295	AO356_00295	CP012831	54016	54210	-	1	hypothetical protein
AO356_00300	AO356_00300	CP012831	54440	56164	+	1	relaxase
AO356_00305	AO356_00305	CP012831	56659	57279	-	1	hypothetical protein
AO356_00310	AO356_00310	CP012831	57491	58111	+	1	hypothetical protein
AO356_00315	AO356_00315	CP012831	58104	59387	+	1	nucleotidyltransferase
AO356_00320	AO356_00320	CP012831	59499	60803	+	1	hypothetical protein
AO356_00325	AO356_00325	CP012831	60949	63414	-	1	RNA helicase
AO356_00330	AO356_00330	CP012831	63416	64216	-	1	hypothetical protein
AO356_00335	AO356_00335	CP012831	65556	67397	-	1	integrase
AO356_00340	AO356_00340	CP012831	67620	67695	-	5	tRNA-Gly
AO356_00345	AO356_00345	CP012831	67759	68319	-	1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
