locusId	sysName	scaffoldId	begin	end	strand	type	desc
LRK54_RS00005	LRK54_RS00005	NZ_CP088922	136	884	-	7	autotransporter outer membrane beta-barrel domain-containing protein
LRK54_RS00010	LRK54_RS00010	NZ_CP088922	1112	2125	-	1	transporter
LRK54_RS00015	LRK54_RS00015	NZ_CP088922	2416	3018	+	1	hypothetical protein
LRK54_RS00020	LRK54_RS00020	NZ_CP088922	3078	3668	+	1	hypothetical protein
LRK54_RS00025	LRK54_RS00025	NZ_CP088922	3784	4341	-	1	cold shock domain-containing protein
LRK54_RS00030	LRK54_RS00030	NZ_CP088922	4553	5539	+	1	virulence protein RhuM/Fic/DOC family protein
LRK54_RS00035	LRK54_RS00035	NZ_CP088922	5674	6177	+	1	redoxin domain-containing protein
LRK54_RS00040	LRK54_RS00040	NZ_CP088922	6455	7462	+	1	hypothetical protein
LRK54_RS00045	LRK54_RS00045	NZ_CP088922	7776	8177	+	1	carboxypeptidase-like regulatory domain-containing protein
LRK54_RS00050	LRK54_RS00050	NZ_CP088922	8385	9590	-	1	acetyl-CoA C-acyltransferase
LRK54_RS00055	LRK54_RS00055	NZ_CP088922	9652	12039	-	1	3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein
LRK54_RS00060	LRK54_RS00060	NZ_CP088922	12079	12705	-	1	TetR/AcrR family transcriptional regulator
LRK54_RS00065	LRK54_RS00065	NZ_CP088922	12930	13355	+	1	nucleoside-diphosphate kinase
LRK54_RS00070	LRK54_RS00070	NZ_CP088922	13358	14488	+	1	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
LRK54_RS00075	LRK54_RS00075	NZ_CP088922	14478	15266	+	1	type IV pilus biogenesis/stability protein PilW
LRK54_RS00080	LRK54_RS00080	NZ_CP088922	15263	16258	+	1	helix-turn-helix domain-containing protein
LRK54_RS00085	LRK54_RS00085	NZ_CP088922	16412	17062	+	1	tetratricopeptide repeat protein
LRK54_RS00090	LRK54_RS00090	NZ_CP088922	17071	18270	+	1	outer membrane protein assembly factor BamB
LRK54_RS00095	LRK54_RS00095	NZ_CP088922	18293	19696	+	1	ribosome biogenesis GTPase Der
LRK54_RS00100	LRK54_RS00100	NZ_CP088922	19787	20656	+	1	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
LRK54_RS00105	LRK54_RS00105	NZ_CP088922	20746	22203	+	1	IMP dehydrogenase
LRK54_RS00110	LRK54_RS00110	NZ_CP088922	22322	23926	+	1	glutamine-hydrolyzing GMP synthase
LRK54_RS00115	LRK54_RS00115	NZ_CP088922	24005	24493	+	1	tRNA adenosine(34) deaminase TadA
LRK54_RS00120	LRK54_RS00120	NZ_CP088922	24497	25036	-	1	glyoxalase/bleomycin resistance/dioxygenase family protein
LRK54_RS00125	LRK54_RS00125	NZ_CP088922	25506	26255	-	1	hypothetical protein
LRK54_RS00130	LRK54_RS00130	NZ_CP088922	26391	26723	-	1	cupredoxin domain-containing protein
LRK54_RS00135	LRK54_RS00135	NZ_CP088922	27490	28449	-	1	hypothetical protein
LRK54_RS00140	LRK54_RS00140	NZ_CP088922	28741	30612	+	1	Mu transposase C-terminal domain-containing protein
LRK54_RS00145	LRK54_RS00145	NZ_CP088922	30612	31550	+	1	TniB family NTP-binding protein
LRK54_RS00150	LRK54_RS00150	NZ_CP088922	32679	33053	+	1	hypothetical protein
