locusId	sysName	scaffoldId	begin	end	strand	type	desc
CA265_RS00005	CA265_RS00005	NZ_CP021237	1	1431	+	1	chromosomal replication initiation protein DnaA
CA265_RS00010	CA265_RS00010	NZ_CP021237	1565	2113	-	1	DNA mismatch repair protein MutT
CA265_RS00015	CA265_RS00015	NZ_CP021237	2153	2542	-	1	hypothetical protein
CA265_RS00020	CA265_RS00020	NZ_CP021237	2628	3401	-	1	methanol dehydrogenase
CA265_RS00025	CA265_RS00025	NZ_CP021237	3405	3848	-	1	hypothetical protein
CA265_RS00030	CA265_RS00030	NZ_CP021237	3931	4512	-	1	LemA family protein
CA265_RS00035	CA265_RS00035	NZ_CP021237	4996	6537	+	1	FAD-binding protein
CA265_RS00040	CA265_RS00040	NZ_CP021237	6571	7038	+	1	hypothetical protein
CA265_RS00045	CA265_RS00045	NZ_CP021237	7082	7441	+	1	CoA-binding protein
CA265_RS00050	CA265_RS00050	NZ_CP021237	7438	8547	-	1	hypothetical protein
CA265_RS00055	CA265_RS00055	NZ_CP021237	8547	9512	-	1	hypothetical protein
CA265_RS00060	CA265_RS00060	NZ_CP021237	10489	12009	+	2	16S ribosomal RNA
CA265_RS00065	CA265_RS00065	NZ_CP021237	12265	12339	+	5	tRNA-Ile
CA265_RS00070	CA265_RS00070	NZ_CP021237	12357	12433	+	5	tRNA-Ala
CA265_RS00075	CA265_RS00075	NZ_CP021237	12855	15734	+	2	23S ribosomal RNA
CA265_RS00080	CA265_RS00080	NZ_CP021237	15866	15977	+	2	5S ribosomal RNA
CA265_RS00085	CA265_RS00085	NZ_CP021237	16638	17504	+	1	hypothetical protein
CA265_RS00090	CA265_RS00090	NZ_CP021237	18411	19931	+	2	16S ribosomal RNA
CA265_RS00095	CA265_RS00095	NZ_CP021237	20187	20261	+	5	tRNA-Ile
CA265_RS00100	CA265_RS00100	NZ_CP021237	20279	20355	+	5	tRNA-Ala
CA265_RS00105	CA265_RS00105	NZ_CP021237	20713	23592	+	2	23S ribosomal RNA
CA265_RS00110	CA265_RS00110	NZ_CP021237	23724	23835	+	2	5S ribosomal RNA
CA265_RS00115	CA265_RS00115	NZ_CP021237	24023	24244	-	1	hypothetical protein
CA265_RS00120	CA265_RS00120	NZ_CP021237	24379	26148	+	1	peptidase S8
CA265_RS00125	CA265_RS00125	NZ_CP021237	26173	26955	-	1	polysaccharide deacetylase
CA265_RS00130	CA265_RS00130	NZ_CP021237	26956	27888	-	1	glycosyltransferase
CA265_RS00135	CA265_RS00135	NZ_CP021237	27885	29069	-	1	hypothetical protein
CA265_RS00140	CA265_RS00140	NZ_CP021237	29188	30489	-	1	hypothetical protein
CA265_RS00145	CA265_RS00145	NZ_CP021237	30666	33734	+	1	SusC/RagA family TonB-linked outer membrane protein
CA265_RS00150	CA265_RS00150	NZ_CP021237	33745	35481	+	1	RagB/SusD family nutrient uptake outer membrane protein
CA265_RS00155	CA265_RS00155	NZ_CP021237	35523	37931	+	1	hypothetical protein
CA265_RS00160	CA265_RS00160	NZ_CP021237	38642	39238	+	1	hypothetical protein
CA265_RS00165	CA265_RS00165	NZ_CP021237	39396	40388	+	1	hypothetical protein
CA265_RS00170	CA265_RS00170	NZ_CP021237	40570	43953	+	1	SusC/RagA family TonB-linked outer membrane protein
CA265_RS00175	CA265_RS00175	NZ_CP021237	43965	45341	+	1	hypothetical protein
CA265_RS00180	CA265_RS00180	NZ_CP021237	45381	46502	+	1	hypothetical protein
CA265_RS00185	CA265_RS00185	NZ_CP021237	46507	47994	+	1	hypothetical protein
CA265_RS00190	CA265_RS00190	NZ_CP021237	48087	48680	-	1	hypothetical protein
CA265_RS00195	CA265_RS00195	NZ_CP021237	48822	49157	-	1	hypothetical protein
CA265_RS00200	CA265_RS00200	NZ_CP021237	49281	49886	+	1	N-acetyltransferase
CA265_RS00205	CA265_RS00205	NZ_CP021237	49906	51006	+	1	acetylornithine deacetylase
CA265_RS00210	CA265_RS00210	NZ_CP021237	51647	51724	+	1	potassium-transporting ATPase subunit F
CA265_RS00215	CA265_RS00215	NZ_CP021237	51764	53476	+	1	potassium-transporting ATPase subunit KdpA
CA265_RS00220	CA265_RS00220	NZ_CP021237	53565	55592	+	1	potassium-transporting ATPase subunit B
CA265_RS00225	CA265_RS00225	NZ_CP021237	55677	56237	+	1	potassium-transporting ATPase subunit C
CA265_RS00230	CA265_RS00230	NZ_CP021237	56398	57468	+	1	hypothetical protein
CA265_RS00235	CA265_RS00235	NZ_CP021237	57619	57867	+	1	hypothetical protein
CA265_RS00240	CA265_RS00240	NZ_CP021237	57873	59003	+	1	histidine kinase
CA265_RS00245	CA265_RS00245	NZ_CP021237	59082	59444	+	1	hypothetical protein
CA265_RS00250	CA265_RS00250	NZ_CP021237	59648	60442	+	1	oxidoreductase
CA265_RS00255	CA265_RS00255	NZ_CP021237	60601	61422	+	1	alpha/beta hydrolase
CA265_RS00260	CA265_RS00260	NZ_CP021237	61604	62698	+	1	hypothetical protein
CA265_RS00265	CA265_RS00265	NZ_CP021237	62761	63426	+	1	RNA polymerase sigma-70 factor
CA265_RS00270	CA265_RS00270	NZ_CP021237	63436	64395	+	1	hypothetical protein
