locusId	sysName	scaffoldId	begin	end	strand	type	desc
Rv0001	Rv0001	AL123456	1	1524	+	1	Chromosomal replication initiator protein DnaA
Rv0002	Rv0002	AL123456	2052	3260	+	1	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)
Rv0003	Rv0003	AL123456	3280	4437	+	1	DNA replication and repair protein RecF (single-strand DNA binding protein)
Rv0004	Rv0004	AL123456	4434	4997	+	1	Conserved hypothetical protein
Rv0005	Rv0005	AL123456	5240	7267	+	1	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
Rv0006	Rv0006	AL123456	7302	9818	+	1	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
Rv0007	Rv0007	AL123456	9914	10828	+	1	Possible conserved membrane protein
GFF8		AL123456	10887	10960	+	5	tRNA-Ile
GFF9		AL123456	11112	11184	+	5	tRNA-Ala
Rv0008c	Rv0008c	AL123456	11874	12311	-	1	Possible membrane protein
Rv0009	Rv0009	AL123456	12468	13016	+	1	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)
Rv0010c	Rv0010c	AL123456	13133	13558	-	1	Probable conserved membrane protein
Rv0011c	Rv0011c	AL123456	13714	13995	-	1	Probable conserved transmembrane protein
Rv0012	Rv0012	AL123456	14089	14877	+	1	Probable conserved membrane protein
Rv0013	Rv0013	AL123456	14914	15612	+	1	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)
Rv0014c	Rv0014c	AL123456	15590	17470	-	1	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)
Rv0015c	Rv0015c	AL123456	17467	18762	-	1	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)
Rv0016c	Rv0016c	AL123456	18759	20234	-	1	Probable penicillin-binding protein PbpA
Rv0017c	Rv0017c	AL123456	20231	21640	-	1	Probable cell division protein RodA
Rv0018c	Rv0018c	AL123456	21637	23181	-	1	Phosphoserine/threonine phosphatase PstP
Rv0019c	Rv0019c	AL123456	23270	23737	-	1	Conserved protein with FHA domain, FhaB
Rv0020c	Rv0020c	AL123456	23861	25444	-	1	Conserved protein with FHA domain, FhaA
GFF23		AL123456	25644	25726	+	5	tRNA-Leu
Rv0021c	Rv0021c	AL123456	25913	26881	-	1	Conserved hypothetical protein
Rv0022c	Rv0022c	AL123456	27023	27442	-	1	Probable transcriptional regulatory protein WhiB-like WhiB5
Rv0023	Rv0023	AL123456	27595	28365	+	1	Possible transcriptional regulatory protein
Rv0024	Rv0024	AL123456	28362	29207	+	1	Putative secreted protein P60-related protein
Rv0025	Rv0025	AL123456	29245	29607	+	1	Conserved hypothetical protein
Rv0026	Rv0026	AL123456	29722	31068	+	1	Conserved hypothetical protein
Rv0027	Rv0027	AL123456	31189	31506	+	1	Conserved hypothetical protein
Rv0028	Rv0028	AL123456	31514	31819	+	1	Conserved hypothetical protein
Rv0029	Rv0029	AL123456	32057	33154	+	1	Conserved hypothetical protein
Rv0030	Rv0030	AL123456	33224	33553	+	1	Conserved hypothetical protein
Rv0031	Rv0031	AL123456	33582	33794	+	1	Possible remnant of a transposase
Rv0032	Rv0032	AL123456	34295	36610	+	1	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)
Rv0033	Rv0033	AL123456	36607	36870	+	1	Probable acyl carrier protein AcpA (ACP)
Rv0034	Rv0034	AL123456	36867	37262	+	1	Conserved hypothetical protein
Rv0035	Rv0035	AL123456	37259	38947	+	1	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
Rv0036c	Rv0036c	AL123456	39056	39829	-	1	Conserved protein
Rv0037c	Rv0037c	AL123456	39877	41202	-	1	Probable conserved integral membrane protein
Rv0038	Rv0038	AL123456	41304	41912	+	1	Conserved protein
Rv0039c	Rv0039c	AL123456	42004	42351	-	1	Possible conserved transmembrane protein
Rv0040c	Rv0040c	AL123456	42433	43365	-	1	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)
Rv0041	Rv0041	AL123456	43562	46471	+	1	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)
Rv0042c	Rv0042c	AL123456	46581	47207	-	1	Possible transcriptional regulatory protein (probably MarR-family)
Rv0043c	Rv0043c	AL123456	47366	48100	-	1	Probable transcriptional regulatory protein (probably GntR-family)
Rv0044c	Rv0044c	AL123456	48233	49027	-	1	Possible oxidoreductase
Rv0045c	Rv0045c	AL123456	49043	49939	-	1	Possible hydrolase
Rv0046c	Rv0046c	AL123456	50021	51124	-	1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)
Rv0047c	Rv0047c	AL123456	51185	51727	-	1	Conserved protein
Rv0048c	Rv0048c	AL123456	51828	52697	-	1	Possible membrane protein
Rv0049	Rv0049	AL123456	52831	53244	+	1	Conserved hypothetical protein
Rv0050	Rv0050	AL123456	53663	55699	+	1	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)
Rv0051	Rv0051	AL123456	55696	57378	+	1	Probable conserved transmembrane protein
Rv0052	Rv0052	AL123456	57410	57973	+	1	Conserved protein
Rv0053	Rv0053	AL123456	58192	58482	+	1	30S ribosomal protein S6 RpsF
Rv0054	Rv0054	AL123456	58586	59080	+	1	Single-strand binding protein Ssb (helix-destabilizing protein)
Rv0055	Rv0055	AL123456	59122	59376	+	1	30S ribosomal protein S18-1 RpsR1
Rv0056	Rv0056	AL123456	59409	59867	+	1	50S ribosomal protein L9 RplI
Rv0057	Rv0057	AL123456	59896	60417	+	1	Hypothetical protein
Rv0058	Rv0058	AL123456	60396	63020	+	1	Probable replicative DNA helicase DnaB
Rv0059	Rv0059	AL123456	63200	63892	+	1	Hypothetical protein
Rv0060	Rv0060	AL123456	63909	64967	+	1	Conserved hypothetical protein
Rv0061c	Rv0061c	AL123456	65012	65350	-	1	Hypothetical protein
Rv0062	Rv0062	AL123456	65552	66694	+	1	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)
Rv0063	Rv0063	AL123456	66923	68362	+	1	Possible oxidoreductase
Rv0064	Rv0064	AL123456	68620	71559	+	1	Probable conserved transmembrane protein
Rv0064A	Rv0064A	AL123456	71589	71828	+	1	Possible antitoxin VapB1
Rv0065	Rv0065	AL123456	71821	72222	+	1	Possible toxin VapC1
Rv0066c	Rv0066c	AL123456	72274	74511	-	1	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)
Rv0067c	Rv0067c	AL123456	74629	75198	-	1	Possible transcriptional regulatory protein (possibly TetR-family)
Rv0068	Rv0068	AL123456	75301	76212	+	1	Probable oxidoreductase
Rv0069c	Rv0069c	AL123456	76237	77622	-	1	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)
Rv0070c	Rv0070c	AL123456	77619	78896	-	1	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)
Rv0071	Rv0071	AL123456	79486	80193	+	1	Possible maturase
Rv0072	Rv0072	AL123456	80624	81673	+	1	Probable glutamine-transport transmembrane protein ABC transporter
Rv0073	Rv0073	AL123456	81676	82668	+	1	Probable glutamine-transport ATP-binding protein ABC transporter
Rv0074	Rv0074	AL123456	82748	83983	+	1	Conserved protein
Rv0075	Rv0075	AL123456	83996	85168	+	1	Probable aminotransferase
