locusId	sysName	scaffoldId	begin	end	strand	type	desc
5207467	Shew_0001	113993	111	1490	+	1	chromosomal replication initiation protein (RefSeq)
5207468	Shew_0002	113993	1511	2611	+	1	DNA polymerase III, beta subunit (RefSeq)
5207469	Shew_0003	113993	2684	3766	+	1	DNA replication and repair protein RecF (RefSeq)
5207470	Shew_0004	113993	3783	6200	+	1	DNA gyrase, B subunit (RefSeq)
5207471	Shew_0005	113993	6322	7041	+	1	hypothetical protein (RefSeq)
5207472	Shew_0006	113993	7075	7803	-	1	LamB/YcsF family protein (RefSeq)
5207473	Shew_0007	113993	7793	8725	-	1	urea amidolyase related protein (RefSeq)
5207474	Shew_0008	113993	8722	9408	-	1	allophanate hydrolase subunit 1 (RefSeq)
5207475	Shew_0009	113993	9507	11576	-	1	glycyl-tRNA synthetase subunit beta (RefSeq)
5207476	Shew_0010	113993	11589	12494	-	1	glycyl-tRNA synthetase subunit alpha (RefSeq)
5207477	Shew_0011	113993	12604	13173	+	1	DNA-3-methyladenine glycosylase I (RefSeq)
5207478	Shew_0012	113993	13179	13859	-	1	hypothetical protein (RefSeq)
5207479	Shew_0013	113993	14072	17275	-	1	amidohydrolase (RefSeq)
5207480	Shew_0014	113993	17578	18018	-	1	hypothetical protein (RefSeq)
5207481	Shew_0015	113993	18184	18429	-	1	SirA family protein (RefSeq)
5207482	Shew_0016	113993	18563	19027	-	1	ybaK/ebsC protein (RefSeq)
5207483	Shew_0017	113993	19011	19499	-	1	GCN5-related N-acetyltransferase (RefSeq)
5207484	Shew_0018	113993	19854	21017	-	1	3-ketoacyl-CoA thiolase (RefSeq)
5207485	Shew_0019	113993	21039	23189	-	1	multifunctional fatty acid oxidation complex subunit alpha (RefSeq)
5207486	Shew_0020	113993	23495	24817	+	1	proline dipeptidase (RefSeq)
5207487	Shew_0021	113993	24832	25446	+	1	hypothetical protein (RefSeq)
5207488	Shew_0022	113993	25599	27056	+	1	TrkH family potassium uptake protein (RefSeq)
5207489	Shew_0023	113993	27056	27583	+	1	protoporphyrinogen oxidase (RefSeq)
5207490	Shew_0024	113993	27605	27910	-	1	ArsR family transcriptional regulator (RefSeq)
5207491	Shew_0025	113993	28183	28716	+	1	protoporphyrinogen oxidase (RefSeq)
5207492	Shew_0026	113993	28832	29368	+	1	hypothetical protein (RefSeq)
5207493	Shew_0027	113993	29381	30028	-	1	glutathione S-transferase domain-containing protein (RefSeq)
5207494	Shew_0028	113993	30110	31009	-	1	LysR family transcriptional regulator (RefSeq)
5207495	Shew_0029	113993	31239	31928	+	1	3-methyladenine DNA glycosylase (RefSeq)
5207496	Shew_0030	113993	32076	32831	-	1	hypothetical protein (RefSeq)
5207497	Shew_0031	113993	33256	34416	+	1	RND family efflux transporter MFP subunit (RefSeq)
5207498	Shew_0032	113993	34426	37575	+	1	hydrophobe/amphiphile efflux-1 (HAE1) family protein (RefSeq)
5207499	Shew_0033	113993	37798	39639	+	1	peptidase M14, carboxypeptidase A (RefSeq)
5207500	Shew_0034	113993	39701	40504	-	1	methyltransferase type 12 (RefSeq)
5207501	Shew_0035	113993	40708	41478	+	1	putative lipoprotein (RefSeq)
5207502	Shew_0036	113993	41568	42389	-	1	phosphoesterase, PA-phosphatase related (RefSeq)
5207503	Shew_0037	113993	42482	43300	-	1	phosphoesterase, PA-phosphatase related (RefSeq)
5207504	Shew_0038	113993	43463	43756	-	1	excinuclease ABC subunit C (RefSeq)
5207505	Shew_0039	113993	43758	45818	-	1	oligopeptidase B (RefSeq)
5207506	Shew_0040	113993	46327	46980	+	1	3,4-dihydroxy-2-butanone 4-phosphate synthase (RefSeq)
5207507	Shew_0041	113993	47293	50577	+	1	diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor(s) (RefSeq)
5207508	Shew_0042	113993	50756	51280	-	1	Ferritin, Dps family protein (RefSeq)
5207509	Shew_0043	113993	51408	51596	+	1	hypothetical protein (RefSeq)
5207510	Shew_0044	113993	51810	54920	+	1	acriflavin resistance protein (RefSeq)
5207511	Shew_0045	113993	54917	55987	+	1	RND family efflux transporter MFP subunit (RefSeq)
5207512	Shew_0046	113993	56169	57416	+	1	molybdenum cofactor synthesis domain-containing protein (RefSeq)
5207513	Shew_0047	113993	57427	58194	+	1	molybdopterin biosynthesis protein MoeB (RefSeq)
5207514	Shew_0048	113993	58313	59020	-	1	short chain dehydrogenase (RefSeq)
5207515	Shew_0049	113993	59401	60972	+	1	choline/carnitine/betaine transporter (RefSeq)
5207516	Shew_0050	113993	61076	61795	-	1	DNA polymerase III subunit epsilon (RefSeq)
5207517	Shew_0051	113993	61803	63692	-	1	cyclic nucleotide-binding protein (RefSeq)
5207518	Shew_0052	113993	63788	64693	-	1	DNA binding domain-containing protein (RefSeq)
5207519	Shew_0053	113993	64717	65562	-	1	formate dehydrogenase, subunit FdhD (RefSeq)
5207520	Shew_0054	113993	65858	66328	+	1	hypothetical protein (RefSeq)
5207521	Shew_0055	113993	66328	66918	+	1	hypothetical protein (RefSeq)
