locusId	sysName	scaffoldId	begin	end	strand	type	desc
LRK53_RS00005	LRK53_RS00005	NZ_CP088923	1	1332	+	1	chromosomal replication initiator protein DnaA
LRK53_RS00010	LRK53_RS00010	NZ_CP088923	1576	2676	+	1	DNA polymerase III subunit beta
LRK53_RS00015	LRK53_RS00015	NZ_CP088923	2773	3852	+	1	DNA replication/repair protein RecF
LRK53_RS00020	LRK53_RS00020	NZ_CP088923	3948	6380	+	1	DNA topoisomerase (ATP-hydrolyzing) subunit B
LRK53_RS00025	LRK53_RS00025	NZ_CP088923	6652	7917	+	1	tetratricopeptide repeat protein
LRK53_RS00030	LRK53_RS00030	NZ_CP088923	8139	8798	+	1	energy transducer TonB
LRK53_RS00035	LRK53_RS00035	NZ_CP088923	8855	9628	+	1	MotA/TolQ/ExbB proton channel family protein
LRK53_RS00040	LRK53_RS00040	NZ_CP088923	9640	10062	+	1	biopolymer transporter ExbD
LRK53_RS00045	LRK53_RS00045	NZ_CP088923	10067	10477	+	1	biopolymer transporter ExbD
LRK53_RS00050	LRK53_RS00050	NZ_CP088923	10764	11507	-	1	pyridoxine 5'-phosphate synthase
LRK53_RS00055	LRK53_RS00055	NZ_CP088923	11585	12229	-	1	4'-phosphopantetheinyl transferase superfamily protein
LRK53_RS00060	LRK53_RS00060	NZ_CP088923	12307	15789	+	1	hybrid sensor histidine kinase/response regulator
LRK53_RS00065	LRK53_RS00065	NZ_CP088923	15797	17260	-	1	glutamate synthase subunit beta
LRK53_RS00070	LRK53_RS00070	NZ_CP088923	17281	21984	-	1	glutamate synthase-related protein
LRK53_RS00075	LRK53_RS00075	NZ_CP088923	22206	22877	-	1	response regulator transcription factor
LRK53_RS00080	LRK53_RS00080	NZ_CP088923	22960	24900	-	1	acetate--CoA ligase
LRK53_RS00085	LRK53_RS00085	NZ_CP088923	25247	26629	+	1	hypothetical protein
LRK53_RS00090	LRK53_RS00090	NZ_CP088923	26790	28460	+	1	MFS transporter
LRK53_RS00095	LRK53_RS00095	NZ_CP088923	28588	30261	+	1	AMP-binding protein
LRK53_RS00100	LRK53_RS00100	NZ_CP088923	30580	31491	+	1	IS110 family transposase
LRK53_RS00105	LRK53_RS00105	NZ_CP088923	31525	31764	-	1	hypothetical protein
LRK53_RS00110	LRK53_RS00110	NZ_CP088923	31910	33016	+	1	PA0069 family radical SAM protein
LRK53_RS00115	LRK53_RS00115	NZ_CP088923	33057	34532	-	1	hypothetical protein
LRK53_RS00120	LRK53_RS00120	NZ_CP088923	34529	35422	-	1	ABC transporter ATP-binding protein
