locusId	sysName	scaffoldId	begin	end	strand	type	desc
AZOBR_RS14390	AZOBR_RS14390	NC_016594.1	795	2192	+	1	dihydrolipoamide dehydrogenase
AZOBR_RS14395	AZOBR_RS14395	NC_016594.1	2463	3419	+	1	radical SAM protein
AZOBR_RS14400	AZOBR_RS14400	NC_016594.1	3464	3931	+	1	cyclase
AZOBR_RS14405	AZOBR_RS14405	NC_016594.1	3957	4460	-	1	competence damage-inducible protein A
AZOBR_RS14410	AZOBR_RS14410	NC_016594.1	4530	5672	-	1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
AZOBR_RS14415	AZOBR_RS14415	NC_016594.1	5916	6731	+	1	hypothetical protein
AZOBR_RS14420	AZOBR_RS14420	NC_016594.1	6856	7842	+	1	tRNA-dihydrouridine synthase
AZOBR_RS14425	AZOBR_RS14425	NC_016594.1	7842	9044	+	1	ATPase
AZOBR_RS14430	AZOBR_RS14430	NC_016594.1	9041	10486	+	1	chemotaxis protein CheY
AZOBR_RS14440	AZOBR_RS14440	NC_016594.1	12985	14385	+	1	ATPase AAA
AZOBR_RS14445	AZOBR_RS14445	NC_016594.1	14687	14881	+	7	hypothetical protein
AZOBR_RS14450	AZOBR_RS14450	NC_016594.1	15187	16563	+	1	potassium transporter TrkA
AZOBR_RS14455	AZOBR_RS14455	NC_016594.1	16606	17469	+	1	D-amino acid aminotransferase
AZOBR_RS14460	AZOBR_RS14460	NC_016594.1	17466	18164	+	1	HAD family hydrolase
AZOBR_RS14465	AZOBR_RS14465	NC_016594.1	18260	18508	+	1	RNA-binding protein Hfq
AZOBR_RS14470	AZOBR_RS14470	NC_016594.1	18495	19820	+	1	GTPase HflX
AZOBR_RS14475	AZOBR_RS14475	NC_016594.1	19993	20277	+	1	hypothetical protein
AZOBR_RS14480	AZOBR_RS14480	NC_016594.1	20369	20905	+	1	hypothetical protein
AZOBR_RS14485	AZOBR_RS14485	NC_016594.1	20902	21714	+	1	inositol-1-monophosphatase
AZOBR_RS14490	AZOBR_RS14490	NC_016594.1	21806	22114	+	1	hypothetical protein
AZOBR_RS14495	AZOBR_RS14495	NC_016594.1	22187	22606	+	1	hypothetical protein
AZOBR_RS14500	AZOBR_RS14500	NC_016594.1	22783	23592	+	1	nucleoside triphosphate pyrophosphohydrolase
AZOBR_RS14505	AZOBR_RS14505	NC_016594.1	23600	24121	-	1	hydrogenase
AZOBR_RS14510	AZOBR_RS14510	NC_016594.1	24133	25674	-	1	hydrogenase expression protein HypE
AZOBR_RS14515	AZOBR_RS14515	NC_016594.1	25685	27142	-	1	oxidoreductase
AZOBR_RS14520	AZOBR_RS14520	NC_016594.1	27139	27801	-	1	hydrogenase-4 component E
AZOBR_RS14525	AZOBR_RS14525	NC_016594.1	27803	28720	-	1	formate hydrogenlyase
AZOBR_RS14535	AZOBR_RS14535	NC_016594.1	31200	33569	+	1	RNA-binding protein
AZOBR_RS14540	AZOBR_RS14540	NC_016594.1	33880	34761	+	7	hypothetical protein
AZOBR_RS14545	AZOBR_RS14545	NC_016594.1	34799	35434	-	1	threonine transporter
AZOBR_RS14550	AZOBR_RS14550	NC_016594.1	35525	35845	-	1	hypothetical protein
AZOBR_RS14555	AZOBR_RS14555	NC_016594.1	35885	36196	-	1	hypothetical protein
AZOBR_RS14560	AZOBR_RS14560	NC_016594.1	36236	36931	-	7	hypothetical protein
AZOBR_RS14565	AZOBR_RS14565	NC_016594.1	37080	38021	-	1	hypothetical protein
AZOBR_RS14570	AZOBR_RS14570	NC_016594.1	38362	38997	-	1	hypothetical protein
AZOBR_RS14575	AZOBR_RS14575	NC_016594.1	39218	39538	+	1	hypothetical protein
AZOBR_RS14580	AZOBR_RS14580	NC_016594.1	39642	40838	+	1	homoserine O-acetyltransferase
AZOBR_RS14585	AZOBR_RS14585	NC_016594.1	40896	41369	-	7	hypothetical protein
AZOBR_RS14590	AZOBR_RS14590	NC_016594.1	41572	41943	-	1	cell division protein
AZOBR_RS14595	AZOBR_RS14595	NC_016594.1	41998	43830	-	1	hypothetical protein
AZOBR_RS14600	AZOBR_RS14600	NC_016594.1	44019	44657	+	1	glutathione S-transferase
AZOBR_RS14605	AZOBR_RS14605	NC_016594.1	44736	45842	-	1	ABC transporter substrate-binding protein
AZOBR_RS14615	AZOBR_RS14615	NC_016594.1	47711	48022	-	1	hypothetical protein
AZOBR_RS14620	AZOBR_RS14620	NC_016594.1	48168	49286	+	1	DNA topoisomerase I
AZOBR_RS14625	AZOBR_RS14625	NC_016594.1	49290	50282	-	1	methyltransferase type 11
AZOBR_RS14630	AZOBR_RS14630	NC_016594.1	50460	50810	+	1	exported protein of unknown function
AZOBR_RS14635	AZOBR_RS14635	NC_016594.1	50850	52010	-	7	hypothetical protein
AZOBR_RS14640	AZOBR_RS14640	NC_016594.1	53067	54146	-	1	transglycosylase
AZOBR_RS14645	AZOBR_RS14645	NC_016594.1	54488	55147	+	1	putative TRANSCRIPTIONal REGULATOR protein TetR/AcrR-family (fragment)
AZOBR_RS14650	AZOBR_RS14650	NC_016594.1	55195	56304	+	1	RND transporter
AZOBR_RS14655	AZOBR_RS14655	NC_016594.1	56321	59467	+	1	nodulation protein NolG
AZOBR_RS14660	AZOBR_RS14660	NC_016594.1	59472	60221	-	1	membrane protein
AZOBR_RS14665	AZOBR_RS14665	NC_016594.1	60369	61256	+	1	LysR family transcriptional regulator
AZOBR_RS14670	AZOBR_RS14670	NC_016594.1	61394	64516	-	1	multidrug transporter
AZOBR_RS14680	AZOBR_RS14680	NC_016594.1	65862	66737	+	7	LysR family transcriptional regulator
AZOBR_RS14685	AZOBR_RS14685	NC_016594.1	66937	67689	+	7	hypothetical protein
AZOBR_RS14690	AZOBR_RS14690	NC_016594.1	67748	68734	+	1	C4-dicarboxylate ABC transporter substrate-binding protein
AZOBR_RS14695	AZOBR_RS14695	NC_016594.1	68889	69398	+	1	DctQ (C4-dicarboxylate permease  small subunit)
AZOBR_RS14700	AZOBR_RS14700	NC_016594.1	69402	70703	+	1	C4-dicarboxylate ABC transporter permease
AZOBR_RS14715	AZOBR_RS14715	NC_016594.1	72518	73297	+	1	hypothetical protein
AZOBR_RS14720	AZOBR_RS14720	NC_016594.1	73308	73715	-	1	regulator
AZOBR_RS14725	AZOBR_RS14725	NC_016594.1	73708	75285	-	1	histidine kinase
AZOBR_RS14730	AZOBR_RS14730	NC_016594.1	75503	77110	-	1	peptide chain release factor 3
AZOBR_RS14735	AZOBR_RS14735	NC_016594.1	77277	78290	-	1	aspartate-semialdehyde dehydrogenase
AZOBR_RS14740	AZOBR_RS14740	NC_016594.1	78576	81074	-	1	glycogen phosphorylase
AZOBR_RS14745	AZOBR_RS14745	NC_016594.1	81436	82581	+	1	GNAT family acetyltransferase
AZOBR_RS14750	AZOBR_RS14750	NC_016594.1	82581	84062	+	1	carboxylate--amine ligase
AZOBR_RS14755	AZOBR_RS14755	NC_016594.1	84551	85024	+	1	RNA polymerase sigma-70 factor
AZOBR_RS14760	AZOBR_RS14760	NC_016594.1	85371	85583	+	1	hypothetical protein
AZOBR_RS14765	AZOBR_RS14765	NC_016594.1	85835	87277	+	7	hypothetical protein
AZOBR_RS14770	AZOBR_RS14770	NC_016594.1	87336	87734	-	1	hypothetical protein
AZOBR_RS14775	AZOBR_RS14775	NC_016594.1	87852	88706	-	1	peptide ABC transporter ATP-binding protein
AZOBR_RS14785	AZOBR_RS14785	NC_016594.1	91512	93065	-	1	histidine kinase
AZOBR_RS14790	AZOBR_RS14790	NC_016594.1	93124	93924	-	1	response regulator
AZOBR_RS14795	AZOBR_RS14795	NC_016594.1	93917	94534	-	1	hypothetical protein
AZOBR_RS14800	AZOBR_RS14800	NC_016594.1	95379	95933	-	7	hypothetical protein
AZOBR_RS14805	AZOBR_RS14805	NC_016594.1	96169	96678	-	7	hypothetical protein
AZOBR_RS14810	AZOBR_RS14810	NC_016594.1	97150	97425	+	7	hypothetical protein
AZOBR_RS14815	AZOBR_RS14815	NC_016594.1	97899	98315	+	1	membrane protein
AZOBR_RS14820	AZOBR_RS14820	NC_016594.1	98369	99316	+	7	hypothetical protein
AZOBR_RS14825	AZOBR_RS14825	NC_016594.1	99591	99986	+	7	BadM/Rrf2 family transcriptional regulator
AZOBR_RS14830	AZOBR_RS14830	NC_016594.1	100123	101610	+	1	cysteine desulfarase
AZOBR_RS14835	AZOBR_RS14835	NC_016594.1	101643	102395	+	1	transporter
AZOBR_RS14840	AZOBR_RS14840	NC_016594.1	102461	103753	+	1	Fe-S cluster assembly protein SufD
AZOBR_RS14845	AZOBR_RS14845	NC_016594.1	103768	105030	+	1	cysteine desulfurase
AZOBR_RS14850	AZOBR_RS14850	NC_016594.1	105027	105494	+	1	nitrogen fixation protein NifU
AZOBR_RS14855	AZOBR_RS14855	NC_016594.1	105518	105925	+	1	hypothetical protein
AZOBR_RS14860	AZOBR_RS14860	NC_016594.1	105942	106298	+	1	hypothetical protein
AZOBR_RS14865	AZOBR_RS14865	NC_016594.1	107728	110385	+	1	aminopeptidase N
AZOBR_RS14870	AZOBR_RS14870	NC_016594.1	110471	110851	-	1	cytochrome C transmembrane protein
AZOBR_RS14875	AZOBR_RS14875	NC_016594.1	110981	111643	-	1	carbon monoxide dehydrogenase subunit G
AZOBR_RS14880	AZOBR_RS14880	NC_016594.1	111744	112205	-	1	hypothetical protein
AZOBR_RS14885	AZOBR_RS14885	NC_016594.1	112441	112947	+	1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
AZOBR_RS14890	AZOBR_RS14890	NC_016594.1	112979	113464	+	1	hypothetical protein
AZOBR_RS14895	AZOBR_RS14895	NC_016594.1	113902	114261	-	1	hypothetical protein
AZOBR_RS14900	AZOBR_RS14900	NC_016594.1	114501	114761	-	1	hypothetical protein
