genome_id	t3ss_type	biofilm_type	model_type	pel_count	psl_count	algD	algU	exoS	exoT	exoU	exoY	gacS	hasR	ladS	lasI	lasR	mucA	mucB	pchA	pchD	pelA	pelD	pelE	pelF	popB	popD	pqsA	pscC	pscD	pscF	pvdA	retS	rhlI	rhlR	rsmA	tssB	tssC
51	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
52	ExoS+	Pel-only	PAO1-like	4	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
53	ExoU+	Pel-only	PA14-like	3	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54	ExoU+	Pel-only	PA14-like	3	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
55	ExoS+	Pel-only	PAO1-like	4	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
57	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
58	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
59	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
60	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
61	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
62	Neither	Pel-only	Intermediate	3	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
63	Neither	Pel-only	Intermediate	3	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
66	ExoS+	Pel-only	PAO1-like	3	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
