locusId	sysName	scaffoldId	begin	end	strand	type	desc
RPSI07_RS00005	RPSI07_RS00005	NC_014310	272	1342	+	1	repa replicase protein
RPSI07_RS24070	RPSI07_RS24070	NC_014310	1641	1907	+	1	hypothetical protein
RPSI07_RS00010	RPSI07_RS00010	NC_014310	2272	2475	-	1	cold-shock protein
RPSI07_RS00015	RPSI07_RS00015	NC_014310	2881	3549	+	1	ParA family protein
RPSI07_RS00020	RPSI07_RS00020	NC_014310	3546	4550	+	1	chromosome partitioning protein ParB
RPSI07_RS00025	RPSI07_RS00025	NC_014310	4867	5709	+	1	DNA-binding protein
RPSI07_RS00030	RPSI07_RS00030	NC_014310	5949	6914	+	1	UTP--glucose-1-phosphate uridylyltransferase
RPSI07_RS00035	RPSI07_RS00035	NC_014310	7194	8537	+	1	MFS transporter
RPSI07_RS00040	RPSI07_RS00040	NC_014310	8550	10457	+	1	sensor histidine kinase
RPSI07_RS00045	RPSI07_RS00045	NC_014310	10450	11811	+	1	sigma-54-dependent Fis family transcriptional regulator
RPSI07_RS00050	RPSI07_RS00050	NC_014310	11817	12614	-	1	YhfC family intramembrane metalloprotease
RPSI07_RS00055	RPSI07_RS00055	NC_014310	12786	13217	+	1	hypothetical protein
RPSI07_RS00060	RPSI07_RS00060	NC_014310	13348	16035	+	1	PAS domain S-box protein
RPSI07_RS00065	RPSI07_RS00065	NC_014310	16521	17681	+	1	leu/ile/val-binding periplasmic (pbp) ABC transporter protein
RPSI07_RS00070	RPSI07_RS00070	NC_014310	17779	18660	+	1	branched-chain amino acid ABC transporter permease
RPSI07_RS00075	RPSI07_RS00075	NC_014310	18671	19570	+	1	branched-chain amino acid ABC transporter permease
RPSI07_RS00080	RPSI07_RS00080	NC_014310	19578	20375	+	1	ABC transporter ATP-binding protein
RPSI07_RS00085	RPSI07_RS00085	NC_014310	20372	21106	+	1	ABC transporter ATP-binding protein
RPSI07_RS00090	RPSI07_RS00090	NC_014310	21182	22051	-	1	LysR family transcriptional regulator
RPSI07_RS00095	RPSI07_RS00095	NC_014310	22253	22510	+	1	hypothetical protein
RPSI07_RS00100	RPSI07_RS00100	NC_014310	22545	22892	+	1	hypothetical protein
RPSI07_RS00105	RPSI07_RS00105	NC_014310	22917	24302	+	1	chloride channel protein
RPSI07_RS24075	RPSI07_RS24075	NC_014310	24291	24914	-	1	hypothetical protein
