locusId	sysName	scaffoldId	begin	end	strand	type	desc
AMB_RS00005	AMB_RS00005	NC_007626	11	1336	+	1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
AMB_RS00010	AMB_RS00010	NC_007626	1352	3265	+	1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
AMB_RS00015	AMB_RS00015	NC_007626	3305	3937	+	1	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
AMB_RS00020	AMB_RS00020	NC_007626	3918	4715	+	1	ParA family protein
AMB_RS00025	AMB_RS00025	NC_007626	4718	5662	+	1	chromosome partitioning protein ParB
AMB_RS00030	AMB_RS00030	NC_007626	5762	6118	+	1	hypothetical protein
AMB_RS00035	AMB_RS00035	NC_007626	6119	6610	+	1	hypothetical protein
AMB_RS00040	AMB_RS00040	NC_007626	6801	6875	-	5	tRNA-Gly
AMB_RS00045	AMB_RS00045	NC_007626	7065	7997	+	1	thioredoxin
AMB_RS00050	AMB_RS00050	NC_007626	8006	8665	+	1	ATP-dependent protease
AMB_RS00055	AMB_RS00055	NC_007626	8677	8874	+	1	hypothetical protein
AMB_RS00060	AMB_RS00060	NC_007626	8877	9326	+	1	DUF971 domain-containing protein
AMB_RS00065	AMB_RS00065	NC_007626	9333	9806	+	1	Cys-tRNA(Pro) deacylase
AMB_RS00070	AMB_RS00070	NC_007626	9900	11123	-	1	2-octaprenyl-6-methoxyphenyl hydroxylase
AMB_RS00075	AMB_RS00075	NC_007626	11477	11815	+	1	P-II family nitrogen regulator
AMB_RS00080	AMB_RS00080	NC_007626	12202	13551	+	1	ammonium transporter
AMB_RS00085	AMB_RS00085	NC_007626	13864	15063	+	1	aspartate aminotransferase
AMB_RS00090	AMB_RS00090	NC_007626	15071	17485	+	1	DNA translocase FtsK
AMB_RS00095	AMB_RS00095	NC_007626	17556	18212	+	1	outer membrane lipoprotein carrier protein LolA
AMB_RS00100	AMB_RS00100	NC_007626	18552	19343	+	1	exodeoxyribonuclease III
AMB_RS00105	AMB_RS00105	NC_007626	19513	20154	-	1	DNA-binding response regulator
AMB_RS00110	AMB_RS00110	NC_007626	20317	21429	+	1	GTP cyclohydrolase II
AMB_RS00115	AMB_RS00115	NC_007626	21454	22608	+	1	hypothetical protein
AMB_RS00120	AMB_RS00120	NC_007626	22612	23262	-	1	YggS family pyridoxal phosphate-dependent enzyme
AMB_RS00125	AMB_RS00125	NC_007626	23292	23891	+	1	thiamine phosphate synthase
AMB_RS00130	AMB_RS00130	NC_007626	23899	25428	-	1	tetratricopeptide repeat protein
AMB_RS00135	AMB_RS00135	NC_007626	25496	26845	-	1	porin
AMB_RS00140	AMB_RS00140	NC_007626	27116	27646	+	1	DUF3576 domain-containing protein
AMB_RS00145	AMB_RS00145	NC_007626	27722	30310	+	1	leucine--tRNA ligase
AMB_RS00150	AMB_RS00150	NC_007626	30297	30872	+	1	hypothetical protein
AMB_RS00155	AMB_RS00155	NC_007626	30869	31891	+	1	DNA polymerase III subunit delta
AMB_RS00160	AMB_RS00160	NC_007626	31891	32943	+	1	hypothetical protein
AMB_RS00165	AMB_RS00165	NC_007626	33060	37871	+	1	NAD-glutamate dehydrogenase
AMB_RS00170	AMB_RS00170	NC_007626	37904	38482	+	1	phosphoheptose isomerase
AMB_RS00175	AMB_RS00175	NC_007626	38439	38987	+	1	hypothetical protein
AMB_RS00180	AMB_RS00180	NC_007626	39159	40997	+	1	hypothetical protein
AMB_RS00185	AMB_RS00185	NC_007626	41021	42601	+	1	hypothetical protein
AMB_RS00190	AMB_RS00190	NC_007626	42589	43983	-	1	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
AMB_RS00195	AMB_RS00195	NC_007626	43987	44943	-	1	nucleoside-diphosphate sugar epimerase
AMB_RS00200	AMB_RS00200	NC_007626	44940	45941	-	1	glycosyl transferase
AMB_RS00205	AMB_RS00205	NC_007626	45968	48127	-	1	threonine dehydrogenase
AMB_RS23080	AMB_RS23080	NC_007626	48136	48879	-	1	hypothetical protein
AMB_RS00215	AMB_RS00215	NC_007626	48826	50583	+	1	asparagine synthase (glutamine-hydrolyzing)
AMB_RS00220	AMB_RS00220	NC_007626	50520	51575	+	1	GNAT family N-acetyltransferase
AMB_RS00225	AMB_RS00225	NC_007626	51572	52408	+	1	polysaccharide deacetylase family protein
AMB_RS00230	AMB_RS00230	NC_007626	52405	53517	+	1	DegT/DnrJ/EryC1/StrS aminotransferase family protein
AMB_RS00235	AMB_RS00235	NC_007626	53514	54716	-	1	radical SAM protein
AMB_RS00240	AMB_RS00240	NC_007626	54903	55520	+	1	hypothetical protein
AMB_RS00245	AMB_RS00245	NC_007626	55520	56023	+	1	transcriptional activator RfaH
AMB_RS00250	AMB_RS00250	NC_007626	56093	56677	+	1	dTDP-4-dehydrorhamnose 3,5-epimerase
AMB_RS00255	AMB_RS00255	NC_007626	56681	57454	+	1	methyltransferase, TIGR04325 family
AMB_RS00260	AMB_RS00260	NC_007626	57432	58802	+	1	class I SAM-dependent methyltransferase
