locusId	sysName	scaffoldId	begin	end	strand	type	desc
HMPREF1058_RS19220	HMPREF1058_RS19220	NZ_JH724282	1	1134	-	1	tape measure protein
HMPREF1058_RS19215	HMPREF1058_RS19215	NZ_JH724282	1260	1973	-	1	hypothetical protein
HMPREF1058_RS21565	HMPREF1058_RS21565	NZ_JH724282	2055	2735	-	1	hypothetical protein
HMPREF1058_RS19210	HMPREF1058_RS19210	NZ_JH724282	2740	3141	-	1	hypothetical protein
HMPREF1058_RS19205	HMPREF1058_RS19205	NZ_JH724282	3138	3599	-	1	hypothetical protein
HMPREF1058_RS19200	HMPREF1058_RS19200	NZ_JH724282	3590	3913	-	1	hypothetical protein
HMPREF1058_RS19195	HMPREF1058_RS19195	NZ_JH724282	3916	4233	-	1	hypothetical protein
HMPREF1058_RS19190	HMPREF1058_RS19190	NZ_JH724282	4237	5541	-	1	hypothetical protein
HMPREF1058_RS19185	HMPREF1058_RS19185	NZ_JH724282	5563	5961	-	1	hypothetical protein
HMPREF1058_RS19180	HMPREF1058_RS19180	NZ_JH724282	5986	6684	-	1	hypothetical protein
HMPREF1058_RS20315	HMPREF1058_RS20315	NZ_JH724282	7001	8035	-	1	acyltransferase family protein
HMPREF1058_RS0119230	HMPREF1058_RS0119230	NZ_JH724282	8313	8567	+	1	Txe/YoeB family addiction module toxin
HMPREF1058_RS19175	HMPREF1058_RS19175	NZ_JH724282	8780	9574	-	1	hypothetical protein
HMPREF1058_RS19170	HMPREF1058_RS19170	NZ_JH724282	9564	10667	-	1	AAA family ATPase
HMPREF1058_RS19165	HMPREF1058_RS19165	NZ_JH724282	10747	11088	-	1	hypothetical protein
HMPREF1058_RS20320	HMPREF1058_RS20320	NZ_JH724282	11085	13751	-	1	hypothetical protein
HMPREF1058_RS19160	HMPREF1058_RS19160	NZ_JH724282	14022	14381	-	1	hypothetical protein
HMPREF1058_RS19155	HMPREF1058_RS19155	NZ_JH724282	14463	14921	-	1	DUF2829 domain-containing protein
HMPREF1058_RS21305	HMPREF1058_RS21305	NZ_JH724282	14982	15545	-	1	hypothetical protein
HMPREF1058_RS19150	HMPREF1058_RS19150	NZ_JH724282	15567	16973	-	1	phage portal protein
HMPREF1058_RS19145	HMPREF1058_RS19145	NZ_JH724282	17015	17776	-	1	phage antirepressor KilAC domain-containing protein
HMPREF1058_RS19140	HMPREF1058_RS19140	NZ_JH724282	17944	18258	-	1	hypothetical protein
HMPREF1058_RS19135	HMPREF1058_RS19135	NZ_JH724282	18285	19796	-	1	hypothetical protein
HMPREF1058_RS19130	HMPREF1058_RS19130	NZ_JH724282	19796	20143	-	1	hypothetical protein
HMPREF1058_RS19125	HMPREF1058_RS19125	NZ_JH724282	20227	21240	-	1	hypothetical protein
HMPREF1058_RS19120	HMPREF1058_RS19120	NZ_JH724282	21252	21440	-	1	hypothetical protein
HMPREF1058_RS19115	HMPREF1058_RS19115	NZ_JH724282	21563	22699	-	1	hypothetical protein
HMPREF1058_RS19110	HMPREF1058_RS19110	NZ_JH724282	22650	23339	-	1	hypothetical protein
HMPREF1058_RS19105	HMPREF1058_RS19105	NZ_JH724282	23377	24408	-	1	ATP-grasp domain-containing protein
HMPREF1058_RS19100	HMPREF1058_RS19100	NZ_JH724282	24405	25013	-	1	hypothetical protein
HMPREF1058_RS19095	HMPREF1058_RS19095	NZ_JH724282	24998	25498	-	1	GNAT family N-acetyltransferase
HMPREF1058_RS19090	HMPREF1058_RS19090	NZ_JH724282	25722	25794	-	5	tRNA-Phe
HMPREF1058_RS19085	HMPREF1058_RS19085	NZ_JH724282	26006	26191	-	1	hypothetical protein
HMPREF1058_RS19080	HMPREF1058_RS19080	NZ_JH724282	26188	26373	-	1	hypothetical protein
HMPREF1058_RS19075	HMPREF1058_RS19075	NZ_JH724282	26363	27013	-	1	DUF3560 domain-containing protein
HMPREF1058_RS19070	HMPREF1058_RS19070	NZ_JH724282	27025	27309	-	1	hypothetical protein
HMPREF1058_RS21380	HMPREF1058_RS21380	NZ_JH724282	27326	27499	-	1	hypothetical protein
HMPREF1058_RS19065	HMPREF1058_RS19065	NZ_JH724282	27714	28025	-	1	helix-turn-helix domain-containing protein
HMPREF1058_RS19060	HMPREF1058_RS19060	NZ_JH724282	28022	28387	-	1	type II toxin-antitoxin system RelE/ParE family toxin
HMPREF1058_RS0119250	HMPREF1058_RS0119250	NZ_JH724282	28401	28688	-	1	hypothetical protein
HMPREF1058_RS19055	HMPREF1058_RS19055	NZ_JH724282	28764	29039	-	1	hypothetical protein
HMPREF1058_RS19050	HMPREF1058_RS19050	NZ_JH724282	29046	29246	-	1	hypothetical protein
HMPREF1058_RS20335	HMPREF1058_RS20335	NZ_JH724282	29236	29412	-	1	DpnD/PcfM family protein
HMPREF1058_RS19045	HMPREF1058_RS19045	NZ_JH724282	29418	29828	-	1	hypothetical protein
HMPREF1058_RS20195	HMPREF1058_RS20195	NZ_JH724282	29836	30306	-	1	hypothetical protein
HMPREF1058_RS20340	HMPREF1058_RS20340	NZ_JH724282	30579	30812	-	1	DUF3873 family protein
HMPREF1058_RS19030	HMPREF1058_RS19030	NZ_JH724282	31102	31452	-	1	hypothetical protein
HMPREF1058_RS19025	HMPREF1058_RS19025	NZ_JH724282	31465	31662	-	1	hypothetical protein
HMPREF1058_RS19020	HMPREF1058_RS19020	NZ_JH724282	32260	32469	-	1	hypothetical protein
HMPREF1058_RS19015	HMPREF1058_RS19015	NZ_JH724282	32509	32763	-	1	hypothetical protein
HMPREF1058_RS19010	HMPREF1058_RS19010	NZ_JH724282	33155	33940	+	1	M48 family metallopeptidase
HMPREF1058_RS19005	HMPREF1058_RS19005	NZ_JH724282	34086	34430	-	1	HigA family addiction module antidote protein
HMPREF1058_RS19000	HMPREF1058_RS19000	NZ_JH724282	34437	34754	-	1	type II toxin-antitoxin system RelE/ParE family toxin
HMPREF1058_RS18995	HMPREF1058_RS18995	NZ_JH724282	35001	35255	-	7	hypothetical protein
HMPREF1058_RS18990	HMPREF1058_RS18990	NZ_JH724282	35258	35851	-	1	hypothetical protein
HMPREF1058_RS20345	HMPREF1058_RS20345	NZ_JH724282	35868	36080	+	7	helix-turn-helix domain-containing protein
HMPREF1058_RS20350	HMPREF1058_RS20350	NZ_JH724282	36318	36506	-	1	hypothetical protein
HMPREF1058_RS18980	HMPREF1058_RS18980	NZ_JH724282	36528	37451	-	1	SGNH/GDSL hydrolase family protein
HMPREF1058_RS18975	HMPREF1058_RS18975	NZ_JH724282	37471	39582	-	1	prolyl oligopeptidase family serine peptidase
HMPREF1058_RS18970	HMPREF1058_RS18970	NZ_JH724282	40197	40589	-	1	hypothetical protein
HMPREF1058_RS18960	HMPREF1058_RS18960	NZ_JH724282	40841	41044	-	1	hypothetical protein
HMPREF1058_RS18955	HMPREF1058_RS18955	NZ_JH724282	41047	41409	-	1	DUF551 domain-containing protein
HMPREF1058_RS20355	HMPREF1058_RS20355	NZ_JH724282	41610	41927	-	1	hypothetical protein
HMPREF1058_RS18945	HMPREF1058_RS18945	NZ_JH724282	41924	44440	-	1	DNA methylase N-4
HMPREF1058_RS18940	HMPREF1058_RS18940	NZ_JH724282	44445	44846	-	1	hypothetical protein
HMPREF1058_RS18935	HMPREF1058_RS18935	NZ_JH724282	45034	45615	-	1	hypothetical protein
HMPREF1058_RS18930	HMPREF1058_RS18930	NZ_JH724282	45590	46603	-	1	hypothetical protein
HMPREF1058_RS18925	HMPREF1058_RS18925	NZ_JH724282	46608	47780	-	1	DEAD/DEAH box helicase
HMPREF1058_RS18920	HMPREF1058_RS18920	NZ_JH724282	47765	48406	-	1	hypothetical protein
HMPREF1058_RS18915	HMPREF1058_RS18915	NZ_JH724282	48430	48909	-	1	recombination protein NinG
HMPREF1058_RS0119260	HMPREF1058_RS0119260	NZ_JH724282	48894	49088	-	1	hypothetical protein
HMPREF1058_RS18910	HMPREF1058_RS18910	NZ_JH724282	49354	50091	-	1	hypothetical protein
HMPREF1058_RS18905	HMPREF1058_RS18905	NZ_JH724282	50088	50519	-	1	hypothetical protein
HMPREF1058_RS18900	HMPREF1058_RS18900	NZ_JH724282	50521	50706	-	1	hypothetical protein
HMPREF1058_RS18895	HMPREF1058_RS18895	NZ_JH724282	50718	51155	-	1	hypothetical protein
HMPREF1058_RS20200	HMPREF1058_RS20200	NZ_JH724282	51145	51759	-	1	HNH endonuclease
HMPREF1058_RS18890	HMPREF1058_RS18890	NZ_JH724282	51787	52233	-	1	DUF3127 domain-containing protein
HMPREF1058_RS18885	HMPREF1058_RS18885	NZ_JH724282	52233	53063	-	1	hypothetical protein
HMPREF1058_RS18880	HMPREF1058_RS18880	NZ_JH724282	53047	53976	-	1	ATP-binding protein
HMPREF1058_RS18875	HMPREF1058_RS18875	NZ_JH724282	53996	54253	-	1	hypothetical protein
HMPREF1058_RS18870	HMPREF1058_RS18870	NZ_JH724282	54670	54897	-	1	hypothetical protein
HMPREF1058_RS21385	HMPREF1058_RS21385	NZ_JH724282	54924	55005	-	5	tRNA-OTHER
HMPREF1058_RS18865	HMPREF1058_RS18865	NZ_JH724282	55074	55259	-	1	hypothetical protein
HMPREF1058_RS18860	HMPREF1058_RS18860	NZ_JH724282	56009	56254	-	1	hypothetical protein
HMPREF1058_RS18855	HMPREF1058_RS18855	NZ_JH724282	56266	56592	-	1	DUF2693 domain-containing protein
