locusId	sysName	scaffoldId	begin	end	strand	type	desc
8499216	DvMF_0001	254340	4	1500	+	1	chromosomal replication initiator protein DnaA (RefSeq)
8499217	DvMF_0002	254340	1771	2325	+	1	transcriptional regulator, XRE family (RefSeq)
8499218	DvMF_0003	254340	2583	4256	+	1	AMP-dependent synthetase and ligase (RefSeq)
8499219	DvMF_0004	254340	4555	6309	-	1	protein of unknown function DUF181 (RefSeq)
8499220	DvMF_0005	254340	6402	7196	-	1	methyltransferase small (RefSeq)
8499221	DvMF_0006	254340	7599	8240	-	1	hypothetical protein (RefSeq)
8499222	DvMF_R0001	254340	8646	8720	-	5	tRNA-Gly (RefSeq)
8499223	DvMF_0007	254340	9037	9444	+	1	protein of unknown function DUF302 (RefSeq)
8499224	DvMF_R0002	254340	9516	9590	-	5	tRNA-Gly (RefSeq)
8499225	DvMF_R0003	254340	9648	9722	-	5	tRNA-Gly (RefSeq)
8499226	DvMF_R0004	254340	9731	9805	-	5	tRNA-Cys (RefSeq)
8499227	DvMF_R0005	254340	9819	9893	-	5	tRNA-Gly (RefSeq)
8499228	DvMF_0008	254340	10369	10731	+	1	transcriptional regulator, TraR/DksA family (RefSeq)
8499229	DvMF_0009	254340	10937	12919	+	1	protein of unknown function DUF814 (RefSeq)
8499230	DvMF_0010	254340	13084	14547	+	1	diguanylate phosphodiesterase (RefSeq)
8499231	DvMF_0011	254340	14550	15929	+	1	serine dehydratase alpha chain (RefSeq)
8499232	DvMF_0012	254340	16161	17159	-	1	glyceraldehyde-3-phosphate dehydrogenase, type I (RefSeq)
8499233	DvMF_0013	254340	17181	18104	-	1	fructose-1,6-bisphosphate aldolase, class II (RefSeq)
8499234	DvMF_0014	254340	18759	21203	+	1	hypothetical protein (RefSeq)
8499235	DvMF_0015	254340	21211	21834	+	1	peptidase C26 (RefSeq)
8499236	DvMF_0016	254340	21831	22622	+	1	transferase, putative (RefSeq)
8499237	DvMF_0017	254340	22694	23458	+	1	Methyltransferase type 11 (RefSeq)
8499238	DvMF_0018	254340	23462	24049	+	1	adenylylsulfate kinase (RefSeq)
8499239	DvMF_0019	254340	24087	25421	+	1	hypothetical protein (RefSeq)
8499240	DvMF_0020	254340	25558	26634	-	1	hypothetical protein (RefSeq)
8499241	DvMF_0021	254340	26913	27722	-	1	stationary-phase survival protein SurE (RefSeq)
8499242	DvMF_0022	254340	28080	29165	+	1	metal dependent phosphohydrolase (RefSeq)
8499243	DvMF_0023	254340	29224	29871	+	1	dTMP kinase (RefSeq)
8499244	DvMF_0024	254340	29953	31272	+	1	histone deacetylase superfamily (RefSeq)
8499245	DvMF_0025	254340	31317	32003	+	1	protein of unknown function DUF1121 (RefSeq)
8499246	DvMF_0026	254340	32239	34368	+	1	succinyl-CoA synthetase, alpha subunit (RefSeq)
8499247	DvMF_0027	254340	34593	36311	+	1	indolepyruvate/phenylpyruvate decarboxylase (RefSeq)
8499248	DvMF_0028	254340	36449	37012	-	1	hypothetical protein (RefSeq)
8499249	DvMF_0029	254340	37215	37841	-	1	hypothetical protein (RefSeq)
8499250	DvMF_0030	254340	38598	38939	-	1	hypothetical protein (RefSeq)
8499251	DvMF_0031	254340	39238	39513	+	1	hypothetical protein (RefSeq)
8499252	DvMF_0032	254340	39790	41526	+	1	diguanylate cyclase (RefSeq)
8499253	DvMF_0033	254340	41647	43079	-	7	
8499254	DvMF_0034	254340	43413	45029	+	1	RND efflux system, outer membrane lipoprotein, NodT family (RefSeq)
8499255	DvMF_0035	254340	45068	46282	+	1	efflux transporter, RND family, MFP subunit (RefSeq)
8499256	DvMF_0036	254340	46313	49459	+	1	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family (RefSeq)
8499257	DvMF_0037	254340	49462	50142	+	1	hypothetical protein (RefSeq)
8499258	DvMF_0038	254340	50269	51414	+	1	protein of unknown function DUF140 (RefSeq)
8499259	DvMF_0039	254340	51411	52319	+	1	ABC transporter related (RefSeq)
8499260	DvMF_0040	254340	52319	53302	+	1	Mammalian cell entry related domain protein (RefSeq)
8499261	DvMF_0041	254340	53446	54039	+	1	protein of unknown function DUF330 (RefSeq)
8499262	DvMF_0042	254340	54126	55274	+	1	diguanylate cyclase (RefSeq)
8499263	DvMF_R0006	254340	56999	57074	-	5	tRNA-Thr (RefSeq)
8499264	DvMF_0043	254340	57479	59059	+	1	hypothetical protein (RefSeq)
8499265	DvMF_0044	254340	59166	59999	-	1	hypothetical protein (RefSeq)
8499266	DvMF_0045	254340	60152	61366	+	1	Endonuclease/exonuclease/phosphatase (RefSeq)
8499267	DvMF_0046	254340	61659	62561	+	1	ornithine carbamoyltransferase (RefSeq)
8499268	DvMF_0047	254340	62630	63835	+	1	argininosuccinate synthase (RefSeq)
8499269	DvMF_0048	254340	63998	65380	+	1	argininosuccinate lyase (RefSeq)
8499270	DvMF_0049	254340	65645	66274	+	1	hypothetical protein (RefSeq)
8499271	DvMF_0050	254340	66553	66819	+	1	RNP-1 like RNA-binding protein (RefSeq)
8499272	DvMF_0051	254340	67046	67840	-	1	extracellular solute-binding protein family 3 (RefSeq)
8499273	DvMF_0052	254340	68597	68755	+	1	hypothetical protein (RefSeq)
8499274	DvMF_0053	254340	69339	70088	+	1	hypothetical protein (RefSeq)
8499275	DvMF_0054	254340	70353	70790	-	1	hypothetical protein (RefSeq)
8499276	DvMF_R0007	254340	71382	71471	-	5	tRNA-Sec (RefSeq)
8499277	DvMF_0055	254340	71779	73794	+	1	ATP-dependent metalloprotease FtsH (RefSeq)
8499278	DvMF_0056	254340	73791	74789	+	1	dihydropteroate synthase (RefSeq)
8499279	DvMF_0057	254340	74789	75532	+	1	protein of unknown function DUF147 (RefSeq)
8499280	DvMF_0058	254340	75535	76434	+	1	YbbR family protein (RefSeq)
8499281	DvMF_0059	254340	76660	78012	+	1	phosphoglucosamine mutase (RefSeq)
8499282	DvMF_0060	254340	78141	79016	+	1	UTP-glucose-1-phosphate uridylyltransferase (RefSeq)
8499283	DvMF_0061	254340	79119	81539	+	1	primosomal protein N' (RefSeq)
8499284	DvMF_0062	254340	81573	81740	+	1	hypothetical protein (RefSeq)
8499285	DvMF_0063	254340	81899	82291	+	1	response regulator receiver protein (RefSeq)
8499286	DvMF_0064	254340	82288	84084	+	1	histidine kinase (RefSeq)
8499287	DvMF_0065	254340	84586	85872	+	1	membrane protein involved in aromatic hydrocarbon degradation (RefSeq)
8499288	DvMF_0066	254340	86413	87576	-	1	Polysulphide reductase NrfD (RefSeq)
8499289	DvMF_0067	254340	87588	88367	-	1	4Fe-4S ferredoxin iron-sulfur binding domain protein (RefSeq)
8499290	DvMF_0068	254340	88367	88747	-	1	cytochrome c family protein (RefSeq)
8499291	DvMF_0069	254340	88750	90360	-	1	reductase, iron-sulfur binding subunit, putative (RefSeq)
8499292	DvMF_0070	254340	90370	91377	-	1	Nitrate reductase gamma subunit (RefSeq)
8499293	DvMF_0071	254340	91393	91938	-	1	hypothetical protein (RefSeq)
8499294	DvMF_0072	254340	92367	93407	-	1	hypothetical protein (RefSeq)
8499295	DvMF_0073	254340	93530	94480	+	1	protein of unknown function DUF45 (RefSeq)
8499296	DvMF_0074	254340	94764	96050	-	1	sulfate adenylyltransferase (RefSeq)
8499297	DvMF_0075	254340	97231	97602	+	1	30S ribosomal protein S12 (RefSeq)
8499298	DvMF_0076	254340	97618	98088	+	1	30S ribosomal protein S7 (RefSeq)
8499299	DvMF_0077	254340	98107	100182	+	1	elongation factor G (RefSeq)
8499300	DvMF_0078	254340	100967	101284	+	1	30S ribosomal protein S10 (RefSeq)
8499301	DvMF_0079	254340	101297	101926	+	1	50S ribosomal protein L3 (RefSeq)
8499302	DvMF_0080	254340	101945	102565	+	1	50S ribosomal protein L4 (RefSeq)
8499303	DvMF_0081	254340	102577	102867	+	1	50S ribosomal protein L23 (RefSeq)
8499304	DvMF_0082	254340	102871	103701	+	1	50S ribosomal protein L2 (RefSeq)
8499305	DvMF_0083	254340	103711	103992	+	1	30S ribosomal protein S19 (RefSeq)
8499306	DvMF_0084	254340	104005	104343	+	1	50S ribosomal protein L22 (RefSeq)
8499307	DvMF_0085	254340	104347	104988	+	1	30S ribosomal protein S3 (RefSeq)
8499308	DvMF_0086	254340	104988	105401	+	1	50S ribosomal protein L16 (RefSeq)
8499309	DvMF_0087	254340	105403	105588	+	1	50S ribosomal protein L29 (RefSeq)
8499310	DvMF_0088	254340	105593	105859	+	1	30S ribosomal protein S17 (RefSeq)
8499311	DvMF_0089	254340	105869	106237	+	1	50S ribosomal protein L14 (RefSeq)
8499312	DvMF_0090	254340	106248	106571	+	1	50S ribosomal protein L24 (RefSeq)
8499313	DvMF_0091	254340	106583	107122	+	1	50S ribosomal protein L5 (RefSeq)
8499314	DvMF_0092	254340	107135	107320	+	1	30S ribosomal protein S14 (RefSeq)
8499315	DvMF_0093	254340	107339	107719	+	1	30S ribosomal protein S8 (RefSeq)
8499316	DvMF_0094	254340	107729	108265	+	1	50S ribosomal protein L6 (RefSeq)
8499317	DvMF_0095	254340	108280	108639	+	1	50S ribosomal protein L18 (RefSeq)
8499318	DvMF_0096	254340	108658	109149	+	1	30S ribosomal protein S5 (RefSeq)
8499319	DvMF_0097	254340	109159	109329	+	1	50S ribosomal protein L30 (RefSeq)
8499320	DvMF_0098	254340	109329	109778	+	1	50S ribosomal protein L15 (RefSeq)
8499321	DvMF_0099	254340	109782	111095	+	1	preprotein translocase subunit SecY (RefSeq)
8499322	DvMF_0100	254340	111097	111891	+	1	methionine aminopeptidase, type I (RefSeq)
8499323	DvMF_0101	254340	111977	112090	+	1	50S ribosomal protein L36 (RefSeq)
8499324	DvMF_0102	254340	112108	112476	+	1	30S ribosomal protein S13 (RefSeq)
8499325	DvMF_0103	254340	112628	113017	+	1	30S ribosomal protein S11 (RefSeq)
8499326	DvMF_0104	254340	113034	113660	+	1	30S ribosomal protein S4 (RefSeq)
8499327	DvMF_0105	254340	113673	114716	+	1	DNA-directed RNA polymerase subunit alpha (RefSeq)
8499328	DvMF_0106	254340	114706	115107	+	1	50S ribosomal protein L17 (RefSeq)
8499329	DvMF_0107	254340	115303	116355	-	1	selenide, water dikinase (RefSeq)
8499330	DvMF_0108	254340	116352	117314	-	1	transcriptional regulator, LysR family (RefSeq)
8499331	DvMF_R0008	254340	117640	117724	+	5	tRNA-Leu (RefSeq)
8499332	DvMF_0109	254340	117805	119103	+	1	trigger factor (RefSeq)
8499333	DvMF_0110	254340	119625	120230	+	1	ATP-dependent Clp protease, proteolytic subunit ClpP (RefSeq)
8499334	DvMF_0111	254340	120238	121776	+	1	ATP-dependent protease ATP-binding subunit ClpX (RefSeq)
8499335	DvMF_0112	254340	121895	124357	+	1	ATP-dependent protease La (RefSeq)
8499336	DvMF_0113	254340	124755	125330	-	1	hypothetical protein (RefSeq)
8499337	DvMF_0114	254340	125353	125619	-	1	hypothetical protein (RefSeq)
8499338	DvMF_0115	254340	125637	126578	-	1	hypothetical protein (RefSeq)
8499339	DvMF_0116	254340	126981	127409	-	1	ferric uptake regulator, Fur family (RefSeq)
8499340	DvMF_0117	254340	127653	128483	-	1	ABC-3 protein (RefSeq)
8499341	DvMF_0118	254340	128483	129409	-	1	ABC transporter related (RefSeq)
8499342	DvMF_0119	254340	129416	130450	-	1	periplasmic solute binding protein (RefSeq)
8499343	DvMF_0120	254340	130879	131970	+	1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (RefSeq)
8499344	DvMF_0121	254340	131970	133697	+	1	prolyl-tRNA synthetase (RefSeq)
8499345	DvMF_0122	254340	133898	135433	+	1	exodeoxyribonuclease VII, large subunit (RefSeq)
8499346	DvMF_0123	254340	135433	136443	+	1	Peptidase M23 (RefSeq)
8499347	DvMF_0124	254340	136447	136749	+	1	exodeoxyribonuclease VII small subunit (RefSeq)
8499348	DvMF_0125	254340	136733	137674	+	1	Polyprenyl synthetase (RefSeq)
8499349	DvMF_0126	254340	137757	139697	+	1	1-deoxy-D-xylulose-5-phosphate synthase (RefSeq)
8499350	DvMF_0127	254340	139865	142180	-	1	methyl-accepting chemotaxis sensory transducer (RefSeq)
8499351	DvMF_0128	254340	142355	142972	-	1	multiple antibiotic resistance (MarC)-related protein (RefSeq)
8499352	DvMF_0129	254340	143165	143557	-	1	6-pyruvoyl tetrahydropterin synthase and hypothetical protein (RefSeq)
8499353	DvMF_0130	254340	143616	147137	-	1	DNA polymerase III, alpha subunit (RefSeq)
8499354	DvMF_0131	254340	147498	147839	+	1	hypothetical protein (RefSeq)
8499355	DvMF_0132	254340	147842	148711	+	1	metal-dependent phosphohydrolase HD region (RefSeq)
8499356	DvMF_0133	254340	148839	149576	+	1	Methyltransferase type 11 (RefSeq)
8499357	DvMF_0134	254340	149783	150322	-	1	hypothetical protein (RefSeq)
8499358	DvMF_0135	254340	150436	151254	-	1	Haloacid dehalogenase domain protein hydrolase (RefSeq)
8499359	DvMF_0136	254340	151254	152498	-	1	hypothetical protein (RefSeq)
