orgId	locusId	desc	annotation_class	max_abs_fit	top_condition_class	top_condition_fit	n_specific_phenotypes	n_condition_classes	gene_cluster_id	is_core	is_auxiliary	module	module_prediction	OG_id	og_n_organisms	essentiality_class	is_essential_dark	essential_prediction	n_domains	domain_names	top_cofit_partners	top_cofit_score	s_fitness	s_conservation	s_inference	s_pangenome	s_biogeographic	s_tractability	total_score	functional_hypothesis	hypothesis_confidence	suggested_experiment
pseudo5_N2C3_1	AO356_11255	hypothetical protein	hypothetical	3.3595443	nitrogen source	3.3595443	2	2.0	NZ_CP012831.1_2249	False	True	M018	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	OG00711	48.0	variably_essential	False		1.0	EamA			0.6199430375	0.6	0.7	0.4	0.9	0.85	0.649985759375	Module prediction: D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) | Domain hits: EamA | Strong fitness under: nitrogen source	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under nitrogen source conditions; test predicted function (D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4))
MR1	202463	conserved hypothetical protein (NCBI ptt file)	hypothetical	6.355357	stress	6.355357	6	2.0	NC_004347.2_3140	True	False	M013	PF01145	OG01937	32.0	variably_essential	False		1.0	YGGT			0.85	0.6	0.7	0.5	0.0	0.85	0.6325	Module prediction: PF01145 | Domain hits: YGGT | Strong fitness under: stress	high	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF01145)
MR1	199738	conserved hypothetical protein (NCBI ptt file)	hypothetical	5.504226	nitrogen source	5.504226	6	1.0	NZ_CP053946.1_1031	True	False	M036	K03306	OG04616	24.0	variably_essential	False		2.0	Gcw_chp | TIGR02001			0.85	0.6	0.7	0.5	0.0	0.85	0.6325	Module prediction: K03306 | Domain hits: Gcw_chp | TIGR02001 | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (K03306)
MR1	203545	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.9569993	nitrogen source	3.9569993	6	1.0	NC_004347.2_4158	True	False	M036	K03306	OG02495	14.0	never_essential	False		1.0	DUF4124			0.8446249124999999	0.5916666666666667	0.7	0.5	0.0	0.85	0.6294895614583332	Module prediction: K03306 | Domain hits: DUF4124 | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (K03306)
MR1	202450	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.864402	nitrogen source	3.864402	6	3.0	NC_004347.2_3128	True	False	M023	K03306	OG00572	45.0	variably_essential	False		1.0	Gly_transporter			0.83305025	0.6	0.7	0.5	0.0	0.85	0.6282625624999999	Module prediction: K03306 | Domain hits: Gly_transporter | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (K03306)
pseudo5_N2C3_1	AO356_18320	hypothetical protein	hypothetical	3.7920349	motility	3.7920349	6	3.0	NZ_JACNDD010000022.1_30	True	False	M000	PF00460	OG07010	14.0	never_essential	False		2.0	MotY_N | OmpA			0.8240043625	0.5916666666666667	0.7	0.5	0.0	0.85	0.6243344239583333	Module prediction: PF00460 | Domain hits: MotY_N | OmpA | Strong fitness under: motility	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under motility conditions; test predicted function (PF00460)
pseudo1_N1B4	Pf1N1B4_3696	FIG00955360: hypothetical protein	hypothetical	3.6684575	pH	3.6684575	5	3.0	NZ_JACNDV010000001.1_3245	True	False	M001	PF00361	OG02716	16.0	never_essential	False		1.0	DUF3108			0.8085571875	0.6	0.7	0.5	0.0	0.85	0.6221392968749999	Module prediction: PF00361 | Domain hits: DUF3108 | Strong fitness under: pH	high	RB-TnSeq validation in pseudo1_N1B4; targeted assay under pH conditions; test predicted function (PF00361)
pseudo5_N2C3_1	AO356_15270	hypothetical protein	hypothetical	5.587468	carbon source	5.587468	4	1.0	NZ_FONJ01000050.1_23	True	False	M025	PF02589	OG00336	33.0	variably_essential	False		1.0	LrgB			0.7999999999999999	0.6	0.7	0.5	0.0	0.85	0.6199999999999999	Module prediction: PF02589 | Domain hits: LrgB | Strong fitness under: carbon source	high	RB-TnSeq validation in pseudo5_N2C3_1; targeted assay under carbon source conditions; test predicted function (PF02589)
MR1	203247	conserved hypothetical protein (NCBI ptt file)	hypothetical	4.6191206	stress	4.6191206	4	4.0	NC_004347.2_3866	True	False	M001	PF01145	OG00856	27.0	variably_essential	False		1.0	GBBH-like_N			0.7999999999999999	0.6	0.7	0.5	0.0	0.85	0.6199999999999999	Module prediction: PF01145 | Domain hits: GBBH-like_N | Strong fitness under: stress	high	RB-TnSeq validation in MR1; targeted assay under stress conditions; test predicted function (PF01145)
MR1	201124	conserved hypothetical protein (NCBI ptt file)	hypothetical	5.010497	nitrogen source	5.010497	4	2.0	NC_004347.2_1830	True	False	M008	PF01144	OG00977	32.0	never_essential	False		2.0	HgmA_N | HgmA_C			0.7999999999999999	0.6	0.7	0.5	0.0	0.85	0.6199999999999999	Module prediction: PF01144 | Domain hits: HgmA_N | HgmA_C | Strong fitness under: nitrogen source	high	RB-TnSeq validation in MR1; targeted assay under nitrogen source conditions; test predicted function (PF01144)
Marino	GFF2506	conserved hypothetical protein	hypothetical	3.379443	stress	3.379443	6	1.0	NC_017506.1_2449	True	False	M000	Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB	OG01031	31.0	variably_essential	False		2.0	AsmA_2 | DUF3971			0.772430375	0.6	0.7	0.5	0.0	0.85	0.6131075937499999	Module prediction: Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB | Domain hits: AsmA_2 | DUF3971 | Strong fitness under: stress	high	RB-TnSeq validation in Marino; targeted assay under stress conditions; test predicted function (Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB)
Marino	GFF1827	protein belonging to uncharacterized protein family UPF0005	uncharacterized	3.706578	stress	3.706578	4	1.0	JAGLCV010000243.1_9	True	False	M017	PF01145	OG00267	40.0	variably_essential	False		1.0	Bax1-I			0.76332225	0.6	0.7	0.5	0.0	0.85	0.6108305624999999	Module prediction: PF01145 | Domain hits: Bax1-I | Strong fitness under: stress	high	RB-TnSeq validation in Marino; targeted assay under stress conditions; test predicted function (PF01145)
MR1	201731	conserved hypothetical protein (NCBI ptt file)	hypothetical	3.9589162	motility	3.9589162	7	2.0	NC_004347.2_2404	True	False	M038	TIGR00254	OG02915	9.0	never_essential	False		2.0	ZapC_C | ZapC_N			0.844864525	0.4875	0.7	0.5	0.0	0.85	0.6087161312499999	Module prediction: TIGR00254 | Domain hits: ZapC_C | ZapC_N | Strong fitness under: motility	high	RB-TnSeq validation in MR1; targeted assay under motility conditions; test predicted function (TIGR00254)
