locusId	sysName	scaffoldId	begin	end	strand	type	desc
ABIE51_RS00005	ABIE51_RS00005	NZ_JBEPOG010000001	98	212	-	2	5S ribosomal RNA
ABIE51_RS00010	ABIE51_RS00010	NZ_JBEPOG010000001	373	3236	-	2	23S ribosomal RNA
ABIE51_RS00015	ABIE51_RS00015	NZ_JBEPOG010000001	3470	3546	-	5	tRNA-Ile
ABIE51_RS00020	ABIE51_RS00020	NZ_JBEPOG010000001	3568	3643	-	5	tRNA-Ala
ABIE51_RS00025	ABIE51_RS00025	NZ_JBEPOG010000001	3753	5297	-	2	16S ribosomal RNA
ABIE51_RS00030	ABIE51_RS00030	NZ_JBEPOG010000001	5858	7084	-	1	tyrosine--tRNA ligase
ABIE51_RS00035	ABIE51_RS00035	NZ_JBEPOG010000001	7277	8719	+	1	peptidoglycan DD-metalloendopeptidase family protein
ABIE51_RS00040	ABIE51_RS00040	NZ_JBEPOG010000001	8721	9890	+	1	anhydro-N-acetylmuramic acid kinase
ABIE51_RS00045	ABIE51_RS00045	NZ_JBEPOG010000001	9919	10254	-	1	hypothetical protein
ABIE51_RS00050	ABIE51_RS00050	NZ_JBEPOG010000001	10283	11674	-	1	MFS transporter
ABIE51_RS00055	ABIE51_RS00055	NZ_JBEPOG010000001	11664	12437	-	1	exodeoxyribonuclease III
ABIE51_RS00060	ABIE51_RS00060	NZ_JBEPOG010000001	12553	13074	+	1	GNAT family N-acetyltransferase
ABIE51_RS00065	ABIE51_RS00065	NZ_JBEPOG010000001	13071	13736	+	1	orotate phosphoribosyltransferase
ABIE51_RS00070	ABIE51_RS00070	NZ_JBEPOG010000001	13868	14491	+	1	hypothetical protein
ABIE51_RS00075	ABIE51_RS00075	NZ_JBEPOG010000001	14592	15131	-	1	hypothetical protein
ABIE51_RS00080	ABIE51_RS00080	NZ_JBEPOG010000001	15041	16918	-	7	phosphomannomutase/phosphoglucomutase
ABIE51_RS00085	ABIE51_RS00085	NZ_JBEPOG010000001	16927	17385	-	1	dUTP diphosphatase
ABIE51_RS00090	ABIE51_RS00090	NZ_JBEPOG010000001	17468	18690	-	7	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
ABIE51_RS00095	ABIE51_RS00095	NZ_JBEPOG010000001	18937	19632	+	1	DNA repair protein RadC
ABIE51_RS00100	ABIE51_RS00100	NZ_JBEPOG010000001	19696	21384	+	1	arginine--tRNA ligase
ABIE51_RS00105	ABIE51_RS00105	NZ_JBEPOG010000001	21385	22245	+	1	SPOR domain-containing protein
ABIE51_RS00110	ABIE51_RS00110	NZ_JBEPOG010000001	22639	23034	+	1	hypothetical protein
ABIE51_RS00115	ABIE51_RS00115	NZ_JBEPOG010000001	23044	23919	-	1	NAD(P)-dependent oxidoreductase
ABIE51_RS00120	ABIE51_RS00120	NZ_JBEPOG010000001	23939	24145	-	1	YciI family protein
ABIE51_RS00125	ABIE51_RS00125	NZ_JBEPOG010000001	24198	26105	-	1	arginine decarboxylase
ABIE51_RS00130	ABIE51_RS00130	NZ_JBEPOG010000001	26293	27147	+	1	polyamine aminopropyltransferase
ABIE51_RS00135	ABIE51_RS00135	NZ_JBEPOG010000001	27375	28034	+	1	phosphotransferase
ABIE51_RS00140	ABIE51_RS00140	NZ_JBEPOG010000001	28036	29148	-	1	acyltransferase
ABIE51_RS00145	ABIE51_RS00145	NZ_JBEPOG010000001	29202	29540	-	1	P-II family nitrogen regulator
ABIE51_RS00150	ABIE51_RS00150	NZ_JBEPOG010000001	29731	30027	+	1	accessory factor UbiK family protein
ABIE51_RS00155	ABIE51_RS00155	NZ_JBEPOG010000001	30040	31554	+	1	YifB family Mg chelatase-like AAA ATPase
ABIE51_RS00160	ABIE51_RS00160	NZ_JBEPOG010000001	31660	32142	-	1	hypothetical protein
ABIE51_RS00165	ABIE51_RS00165	NZ_JBEPOG010000001	32211	32684	-	1	hypothetical protein
ABIE51_RS00170	ABIE51_RS00170	NZ_JBEPOG010000001	32821	33993	-	1	putative peptide maturation dehydrogenase
ABIE51_RS00175	ABIE51_RS00175	NZ_JBEPOG010000001	34234	34581	+	1	NHLP-related RiPP peptide
ABIE51_RS00180	ABIE51_RS00180	NZ_JBEPOG010000001	34616	37102	-	1	putative peptide modification system cyclase
ABIE51_RS00185	ABIE51_RS00185	NZ_JBEPOG010000001	37125	38177	-	1	GGDEF domain-containing protein
ABIE51_RS00190	ABIE51_RS00190	NZ_JBEPOG010000001	38413	39714	-	1	isocitrate lyase
ABIE51_RS00195	ABIE51_RS00195	NZ_JBEPOG010000001	39781	41388	-	1	malate synthase A
ABIE51_RS00200	ABIE51_RS00200	NZ_JBEPOG010000001	41511	42479	+	1	LysR family transcriptional regulator
ABIE51_RS00205	ABIE51_RS00205	NZ_JBEPOG010000001	42520	43125	-	1	lysophospholipid acyltransferase family protein
ABIE51_RS00210	ABIE51_RS00210	NZ_JBEPOG010000001	43164	43583	-	1	alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB
ABIE51_RS00215	ABIE51_RS00215	NZ_JBEPOG010000001	43632	44369	-	1	pseudouridine synthase
ABIE51_RS00220	ABIE51_RS00220	NZ_JBEPOG010000001	44359	46035	-	1	ubiquinone biosynthesis regulatory protein kinase UbiB
ABIE51_RS00225	ABIE51_RS00225	NZ_JBEPOG010000001	46032	46679	-	1	SCP2 sterol-binding domain-containing protein
ABIE51_RS00230	ABIE51_RS00230	NZ_JBEPOG010000001	46828	46986	-	1	DUF1328 domain-containing protein
ABIE51_RS00235	ABIE51_RS00235	NZ_JBEPOG010000001	47083	48081	-	1	2-alkyl-3-oxoalkanoate reductase
ABIE51_RS00240	ABIE51_RS00240	NZ_JBEPOG010000001	48256	49359	+	1	serine hydrolase
ABIE51_RS00245	ABIE51_RS00245	NZ_JBEPOG010000001	49343	50893	-	1	tetratricopeptide repeat protein
ABIE51_RS00250	ABIE51_RS00250	NZ_JBEPOG010000001	50897	52550	-	7	olefin beta-lactone synthetase
ABIE51_RS00255	ABIE51_RS00255	NZ_JBEPOG010000001	52665	53048	+	1	YkgJ family cysteine cluster protein
