locusId	sysName	scaffoldId	begin	end	strand	type	desc
14146	b0001	7023	190	255	+	1	thr operon leader peptide (NCBI)
14147	b0002	7023	337	2799	+	1	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)
14148	b0003	7023	2801	3733	+	1	homoserine kinase (NCBI)
14149	b0004	7023	3734	5020	+	1	threonine synthase (NCBI)
14150	b0005	7023	5234	5530	+	1	hypothetical protein (NCBI)
14151	b0006	7023	5683	6459	-	1	hypothetical protein (NCBI)
14152	b0007	7023	6529	7959	-	1	predicted transporter (NCBI)
14153	b0008	7023	8238	9191	+	1	transaldolase B (NCBI)
14154	b0009	7023	9306	9893	+	1	molybdenum cofactor biosynthesis protein (NCBI)
14155	b0010	7023	9928	10494	-	1	conserved inner membrane protein associated with acetate transport (NCBI)
14156	b0011	7023	10643	11356	-	1	hypothetical protein (NCBI)
14158	b0013	7023	11382	11786	-	1	hypothetical protein (NCBI)
14159	b0014	7023	12163	14079	+	1	molecular chaperone DnaK (NCBI)
14160	b0015	7023	14168	15298	+	1	chaperone Hsp40, co-chaperone with DnaK (NCBI)
14161	b0016	7023	15445	16557	+	1	IS186/IS421 transposase (NCBI)
14163	b0018	7023	16751	16960	-	1	regulatory protein for HokC, overlaps CDS of hokC (NCBI)
1936200	b4412	7023	16751	16903	-	1	toxic membrane protein, small (NCBI)
1936201	b4413	7023	16952	17006	+	6	regulatory antisense RNA (NCBI)
14164	b0019	7023	17489	18655	+	1	pH-dependent sodium/proton antiporter (NCBI)
14165	b0020	7023	18715	19620	+	1	DNA-binding transcriptional activator (NCBI)
14166	b0021	7023	19811	20314	-	1	IS1 transposase InsAB' (NCBI)
14167	b0022	7023	20233	20508	-	1	IS1 repressor protein InsA (NCBI)
14168	b0023	7023	20815	21078	-	1	30S ribosomal protein S20 (NCBI)
14169	b0024	7023	21181	21399	+	1	hypothetical protein (NCBI)
14170	b0025	7023	21407	22348	+	1	hypothetical protein (NCBI)
14171	b0026	7023	22391	25207	+	1	isoleucyl-tRNA synthetase (NCBI)
14172	b0027	7023	25207	25701	+	1	signal peptidase II (NCBI)
14173	b0028	7023	25826	26275	+	1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)
14174	b0029	7023	26277	27227	+	1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)
14175	b0030	7023	27293	28207	+	1	ribonucleoside hydrolase 3 (NCBI)
14176	b0031	7023	28374	29195	+	1	dihydrodipicolinate reductase (NCBI)
14177	b0032	7023	29651	30799	+	1	carbamoyl-phosphate synthase small subunit (NCBI)
14178	b0033	7023	30817	34038	+	1	carbamoyl-phosphate synthase large subunit (NCBI)
14180	b0034	7023	34300	34695	+	1	transcriptional regulator of cai operon (VIMSS)
14181	b0035	7023	34781	35371	-	1	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)
