locusId	sysName	scaffoldId	begin	end	strand	type	desc
RR42_RS00005	RR42_RS00005	NZ_CP010536	607	2394	+	1	chromosomal replication initiator protein DnaA
RR42_RS00010	RR42_RS00010	NZ_CP010536	2872	3996	+	1	DNA polymerase III subunit beta
RR42_RS00015	RR42_RS00015	NZ_CP010536	4224	6761	+	1	DNA gyrase subunit B
RR42_RS00020	RR42_RS00020	NZ_CP010536	7126	7770	+	1	hypothetical protein
RR42_RS00025	RR42_RS00025	NZ_CP010536	7996	10740	+	1	GTPase
RR42_RS00030	RR42_RS00030	NZ_CP010536	10744	13032	+	1	hypothetical protein
RR42_RS00035	RR42_RS00035	NZ_CP010536	13169	13756	+	1	hypothetical protein
RR42_RS00040	RR42_RS00040	NZ_CP010536	13970	14593	+	1	recombinase
RR42_RS00045	RR42_RS00045	NZ_CP010536	14590	17382	+	1	lactate dehydrogenase
RR42_RS00050	RR42_RS00050	NZ_CP010536	17379	19499	+	1	DEAD/DEAH box helicase
RR42_RS00055	RR42_RS00055	NZ_CP010536	19492	20688	+	1	hypothetical protein
RR42_RS00060	RR42_RS00060	NZ_CP010536	21323	22687	+	1	hypothetical protein
RR42_RS00065	RR42_RS00065	NZ_CP010536	22997	24085	+	1	hypothetical protein
RR42_RS00070	RR42_RS00070	NZ_CP010536	24488	27460	+	1	hypothetical protein
RR42_RS00075	RR42_RS00075	NZ_CP010536	28807	29505	+	1	hypothetical protein
RR42_RS00080	RR42_RS00080	NZ_CP010536	29731	29916	-	1	hypothetical protein
RR42_RS00085	RR42_RS00085	NZ_CP010536	30321	30647	+	1	hypothetical protein
RR42_RS00090	RR42_RS00090	NZ_CP010536	30826	31176	+	1	hypothetical protein
RR42_RS00095	RR42_RS00095	NZ_CP010536	31791	32333	+	1	hypothetical protein
RR42_RS00100	RR42_RS00100	NZ_CP010536	32326	32760	+	1	hypothetical protein
RR42_RS00105	RR42_RS00105	NZ_CP010536	32862	33203	-	1	hypothetical protein
RR42_RS00110	RR42_RS00110	NZ_CP010536	33441	33656	+	1	hypothetical protein
RR42_RS00115	RR42_RS00115	NZ_CP010536	33812	34903	+	1	hypothetical protein
RR42_RS00120	RR42_RS00120	NZ_CP010536	34908	35831	+	1	hypothetical protein
RR42_RS00125	RR42_RS00125	NZ_CP010536	36107	36430	+	1	hypothetical protein
RR42_RS00130	RR42_RS00130	NZ_CP010536	36942	39248	-	1	diguanylate cyclase
RR42_RS00135	RR42_RS00135	NZ_CP010536	40051	42501	+	1	hemagglutinin
RR42_RS00140	RR42_RS00140	NZ_CP010536	42537	44339	+	1	peptide transporter
RR42_RS00145	RR42_RS00145	NZ_CP010536	44458	45264	+	1	hypothetical protein
RR42_RS00150	RR42_RS00150	NZ_CP010536	45358	52287	+	1	hemagglutinin
RR42_RS00155	RR42_RS00155	NZ_CP010536	54584	55858	+	1	hemagglutinin
RR42_RS00160	RR42_RS00160	NZ_CP010536	56863	57081	-	1	hypothetical protein
RR42_RS00165	RR42_RS00165	NZ_CP010536	57823	58116	+	1	hypothetical protein
RR42_RS00170	RR42_RS00170	NZ_CP010536	59141	59686	-	1	RNA 2'-phosphotransferase
RR42_RS00175	RR42_RS00175	NZ_CP010536	59836	60633	+	1	hypothetical protein
RR42_RS00180	RR42_RS00180	NZ_CP010536	60850	61080	+	1	hypothetical protein
RR42_RS00185	RR42_RS00185	NZ_CP010536	61124	61363	-	1	hypothetical protein
RR42_RS00190	RR42_RS00190	NZ_CP010536	62998	64179	+	1	ABC transporter substrate-binding protein
RR42_RS00195	RR42_RS00195	NZ_CP010536	64311	65240	+	1	ABC transporter permease
RR42_RS00200	RR42_RS00200	NZ_CP010536	65299	66429	+	1	ABC transporter permease
RR42_RS00205	RR42_RS00205	NZ_CP010536	66426	67211	+	1	branched-chain amino acid ABC transporter ATP-binding protein
RR42_RS00210	RR42_RS00210	NZ_CP010536	67208	67933	+	1	ABC transporter ATP-binding protein
RR42_RS00215	RR42_RS00215	NZ_CP010536	67946	69235	+	1	branched-chain amino acid ABC transporter ATP-binding protein
RR42_RS00220	RR42_RS00220	NZ_CP010536	69276	70568	+	1	peptidase M20
RR42_RS00225	RR42_RS00225	NZ_CP010536	70655	71239	+	1	XRE family transcriptional regulator
RR42_RS00230	RR42_RS00230	NZ_CP010536	71437	72531	+	1	ADP-ribosylglycohydrolase
RR42_RS00235	RR42_RS00235	NZ_CP010536	72667	73938	+	1	membrane protein
RR42_RS00240	RR42_RS00240	NZ_CP010536	74032	74367	+	1	nucleotide pyrophosphohydrolase
RR42_RS00245	RR42_RS00245	NZ_CP010536	74621	76102	+	1	microcystin degradation protein MlrC
RR42_RS00250	RR42_RS00250	NZ_CP010536	76120	77166	-	1	GntR family transcriptional regulator
RR42_RS00255	RR42_RS00255	NZ_CP010536	77438	78121	+	1	ABC transporter permease
RR42_RS00260	RR42_RS00260	NZ_CP010536	78177	78821	+	1	amino acid ABC transporter permease
RR42_RS00265	RR42_RS00265	NZ_CP010536	78893	79621	+	1	phosphate ABC transporter ATP-binding protein
RR42_RS00270	RR42_RS00270	NZ_CP010536	79679	80485	+	1	amino acid ABC transporter
RR42_RS00275	RR42_RS00275	NZ_CP010536	80545	82113	+	1	galactarate dehydratase
RR42_RS00280	RR42_RS00280	NZ_CP010536	82195	82746	-	1	glutathione peroxidase
RR42_RS00285	RR42_RS00285	NZ_CP010536	83016	83285	+	1	thiamine biosynthesis protein ThiS
RR42_RS00290	RR42_RS00290	NZ_CP010536	83329	84483	+	1	sialidase
RR42_RS00295	RR42_RS00295	NZ_CP010536	84587	86008	+	1	DEAD/DEAH box helicase
RR42_RS00300	RR42_RS00300	NZ_CP010536	86073	86921	+	1	kinase
RR42_RS00305	RR42_RS00305	NZ_CP010536	87009	88082	-	1	hypothetical protein
RR42_RS00310	RR42_RS00310	NZ_CP010536	88220	88888	+	1	TetR family transcriptional regulator
RR42_RS00315	RR42_RS00315	NZ_CP010536	88932	89579	-	1	iron-binding protein
RR42_RS00320	RR42_RS00320	NZ_CP010536	89836	90285	+	1	histidine kinase
RR42_RS00325	RR42_RS00325	NZ_CP010536	90910	92400	+	1	MFS transporter
RR42_RS00330	RR42_RS00330	NZ_CP010536	92479	93117	+	1	glutathione peroxidase
RR42_RS00335	RR42_RS00335	NZ_CP010536	93213	94004	+	1	MBL fold metallo-hydrolase
RR42_RS00340	RR42_RS00340	NZ_CP010536	94026	94652	-	1	glutathione S-transferase
RR42_RS00345	RR42_RS00345	NZ_CP010536	94805	95716	+	1	LysR family transcriptional regulator
RR42_RS00350	RR42_RS00350	NZ_CP010536	95735	96637	-	1	LysR family transcriptional regulator
RR42_RS00355	RR42_RS00355	NZ_CP010536	96779	97741	+	1	hypothetical protein
RR42_RS00360	RR42_RS00360	NZ_CP010536	97832	98569	-	1	Asp/Glu/hydantoin racemase
RR42_RS00365	RR42_RS00365	NZ_CP010536	98817	100232	-	1	dihydropyrimidinase
