locusId	sysName	scaffoldId	begin	end	strand	type	desc
Dsui_0001	Dsui_0001	CP003153	103	1923	-	1	aminodeoxychorismate synthase, component I
Dsui_0002	Dsui_0002	CP003153	1991	2218	-	1	putative redox protein, regulator of disulfide bond formation
Dsui_0003	Dsui_0003	CP003153	2299	3786	-	1	putative Zn-dependent protease
Dsui_0004	Dsui_0004	CP003153	3829	4323	+	1	molybdenum cofactor biosynthesis protein MoaC
Dsui_0005	Dsui_0005	CP003153	4356	4826	+	1	putative secreted protein
Dsui_0006	Dsui_0006	CP003153	4836	5153	+	1	sulfur oxidation protein SoxZ
Dsui_0007	Dsui_0007	CP003153	5239	5442	-	1	cold shock protein
Dsui_0008	Dsui_0008	CP003153	5755	6072	+	1	hypothetical protein
Dsui_0009	Dsui_0009	CP003153	6073	8328	+	1	ATP-dependent Clp protease ATP-binding subunit clpA
Dsui_0010	Dsui_0010	CP003153	8436	8927	+	1	RraA family protein
Dsui_0011	Dsui_0011	CP003153	9345	10655	+	1	isocitrate lyase
Dsui_0012	Dsui_0012	CP003153	10877	11764	+	1	putative permease, DMT superfamily
Dsui_0013	Dsui_0013	CP003153	11766	12266	-	1	Thioredoxin
Dsui_0014	Dsui_0014	CP003153	12763	13377	+	1	putative membrane protein
Dsui_0015	Dsui_0015	CP003153	13512	13943	+	1	putative signal-transduction protein containing cAMP-binding and CBS domains
Dsui_0016	Dsui_0016	CP003153	13983	14891	-	1	transcriptional regulator
Dsui_0017	Dsui_0017	CP003153	15031	15720	+	1	2-haloalkanoic acid dehalogenase, type II
Dsui_0018	Dsui_0018	CP003153	15720	16505	+	1	putative permease
Dsui_0019	Dsui_0019	CP003153	16558	18156	+	1	malate synthase A
Dsui_0020	Dsui_0020	CP003153	18267	19067	-	1	HAD-superfamily subfamily IIA hydrolase, TIGR01458
Dsui_0021	Dsui_0021	CP003153	19060	19293	-	1	putative metalloendopeptidase
Dsui_0022	Dsui_0022	CP003153	19403	20341	+	1	hypothetical protein
Dsui_0023	Dsui_0023	CP003153	20587	21777	+	1	acetylornithine/succinylornithine aminotransferase
Dsui_0024	Dsui_0024	CP003153	21931	22377	+	1	cytochrome c556
Dsui_0025	Dsui_0025	CP003153	22628	23710	-	1	hypothetical protein
Dsui_0026	Dsui_0026	CP003153	23840	25126	-	1	CBS domain-containing protein
Dsui_0027	Dsui_0027	CP003153	25341	25703	+	1	putative effector of murein hydrolase LrgA
Dsui_0028	Dsui_0028	CP003153	25700	26455	+	1	putative effector of murein hydrolase
Dsui_0029	Dsui_0029	CP003153	26539	26886	-	1	putative pyrophosphatase
Dsui_0030	Dsui_0030	CP003153	27028	27720	+	1	FtsH-interacting integral membrane protein
Dsui_0031	Dsui_0031	CP003153	27850	28173	+	1	cation/cationic drug transporter
Dsui_0032	Dsui_0032	CP003153	28265	29095	+	1	NAD-dependent protein deacetylase, SIR2 family
Dsui_0033	Dsui_0033	CP003153	29186	30007	+	1	Zn-dependent protease with chaperone function
Dsui_0034	Dsui_0034	CP003153	30101	31537	+	1	flagellar capping protein
Dsui_0035	Dsui_0035	CP003153	31805	32854	-	1	ankyrin repeat-containing protein
Dsui_0036	Dsui_0036	CP003153	32970	33542	+	1	TonB family protein
Dsui_0037	Dsui_0037	CP003153	33629	34840	-	1	putative acyl-CoA transferase/carnitine dehydratase
Dsui_0038	Dsui_0038	CP003153	34926	35336	+	1	HIT family hydrolase, diadenosine tetraphosphate hydrolase
Dsui_0039	Dsui_0039	CP003153	35439	36215	+	1	dimethyladenosine transferase
Dsui_0040	Dsui_0040	CP003153	36401	38029	+	1	FAD-dependent dehydrogenase
Dsui_0041	Dsui_0041	CP003153	38068	39075	+	1	hypothetical protein
Dsui_0042	Dsui_0042	CP003153	39210	39401	-	1	Protein of unknown function (DUF2892)
Dsui_0043	Dsui_0043	CP003153	39537	40205	-	1	cAMP-binding protein
