genome_id,umap_x,umap_y
RS_GCF_018722605.1,22.350388,14.824794
GB_GCA_019417585.1,11.002382,23.848272
GB_GCA_024640595.1,-6.174056,4.87623
GB_GCA_024698785.1,-22.989304,1.125898
GB_GCA_022743185.1,-1.6841927,21.551392
RS_GCF_019915305.1,9.78817,-13.364032
RS_GCF_020829845.1,-1.4876996,3.5667572
RS_GCF_024587375.1,1.8415623,8.763081
RS_GCF_020966355.1,3.848354,-2.9564698
GB_GCA_021832245.1,3.798983,-5.247323
GB_GCA_021844885.1,9.146828,9.551034
GB_GCA_021629325.1,19.661493,14.739256
RS_GCF_021364755.1,-8.796713,-10.332631
RS_GCF_024677965.1,2.5858252,2.602112
RS_GCF_021394515.1,-3.4813905,18.926342
RS_GCF_022556445.1,8.751699,0.9536616
RS_GCF_021728495.1,5.691454,7.2992435
RS_GCF_022237675.1,7.2046223,1.7490174
GB_GCA_022769605.1,20.847206,5.7262836
GB_GCA_022780945.1,9.938673,18.274872
GB_GCA_022773835.1,-19.573706,-2.4128299
GB_GCA_022787215.1,9.903791,18.291061
GB_GCA_022787485.1,-8.932338,-13.601804
RS_GCF_024539585.1,6.0387373,-1.7277608
RS_GCF_023958475.1,-2.9812317,0.87392753
RS_GCF_024702215.1,3.7265878,6.0967054
RS_GCF_023706805.1,12.358091,-7.1499176
RS_GCF_003196935.1,-7.2000546,-14.676693
RS_GCF_003720175.1,1.8577743,8.675728
RS_GCF_004169595.1,3.4512527,2.0649502
RS_GCF_003950635.1,-5.5196466,-16.082869
RS_GCF_009757245.1,8.575548,2.7039015
RS_GCF_007999625.1,3.854656,15.646594
RS_GCF_012028915.1,8.368877,-7.1086087
RS_GCF_021605555.1,3.5202293,-3.206769
RS_GCF_022576955.1,4.439965,-3.2030878
RS_GCF_014243205.1,4.6767435,-0.78500336
RS_GCF_014042465.1,1.7390182,1.3024061
RS_GCF_014116915.1,-13.145784,16.528362
GB_GCA_016784735.1,-1.5166663,-4.1412573
RS_GCF_019857325.1,8.496456,0.34557694
GB_GCA_016901405.1,6.6228237,2.9186594
RS_GCF_015704975.1,9.602061,-1.1193175
GB_GCA_023441605.1,-13.180961,16.511042
GB_GCA_023440965.1,5.189966,14.881234
GB_GCA_023455365.1,-13.945596,16.082514
GB_GCA_017851555.1,-12.157907,-8.434866
RS_GCF_018070175.1,4.6183167,-0.6074814
RS_GCF_021062135.1,8.576177,2.7046258
GB_GCA_024690545.1,-22.98907,1.1262939
GB_GCA_022717795.1,6.5301137,18.72264
GB_GCA_021792395.1,7.362723,0.8443126
GB_GCA_021852205.1,4.037966,-8.086303
RS_GCF_020536675.1,-8.243723,21.603043
GB_GCA_021735495.1,24.00476,9.980654
RS_GCF_020268645.1,12.3621025,-7.144198
RS_GCF_020419745.1,-7.4114733,8.757545
RS_GCF_021727735.1,-1.2926184,-3.9253917
RS_GCF_022556975.1,18.461859,-14.071232
RS_GCF_021496255.1,-3.029445,-1.7687612
GB_GCA_022768945.1,-8.931658,-13.601185
RS_GCF_023160845.1,-3.748329,-5.7540975
RS_GCF_024128675.1,6.610504,0.26846942
RS_GCF_024706835.1,-1.392933,12.33325
RS_GCF_902507995.1,16.269178,0.68780494
RS_GCF_022342445.1,5.334385,3.0806193
RS_GCF_015321575.1,-2.6072094,9.929807
GB_GCA_008673975.1,-15.087816,-7.1928062
RS_GCF_016397465.1,-11.530321,-17.86607
GB_GCA_005808445.1,-1.9388534,3.4944692
GB_GCA_009775035.1,-11.701493,-1.2539188
RS_GCF_013418745.1,3.8063774,8.039473
RS_GCF_014492435.1,-1.2899399,-3.9207067
RS_GCF_015828985.1,-5.071262,0.41615447
GB_GCA_022795425.1,7.9595356,-13.908517
RS_GCF_013181825.1,-5.233947,16.044384
GB_GCA_016179055.1,3.9707434,6.4425874
GB_GCA_019455145.1,3.6447644,-3.0973706
RS_GCF_014852555.1,-13.091811,-6.249636
GB_GCA_018433175.1,-5.4749084,0.13196206
GB_GCA_016286065.1,-22.9874,1.1243377
RS_GCF_020858215.1,3.5892541,-13.262807
GB_GCA_021769355.1,-8.94263,-9.374833
GB_GCA_023431625.1,-3.6846302,6.1893077
GB_GCA_023400235.1,5.1854906,14.876553
GB_GCA_023452915.1,-11.773383,11.043168
GB_GCA_023406415.1,-8.227952,21.630804
GB_GCA_017743415.1,6.764778,-1.2891073
GB_GCA_018368055.1,2.0743008,-15.433774
GB_GCA_018382915.1,15.741663,-5.1838775
RS_GCF_017352255.1,-0.30804813,-1.7314146
RS_GCF_017571995.1,-5.028076,11.478048
RS_GCF_017599065.1,8.21131,-16.39824
RS_GCF_019927705.1,20.864698,5.7434506
RS_GCF_018449235.1,17.603354,8.771167
RS_GCF_019801645.1,-2.154197,-10.034977
GB_GCA_024690805.1,17.14834,5.5323734
GB_GCA_022746785.1,-2.7113442,21.781328
GB_GCA_022739615.1,6.533777,18.722672
RS_GCF_020254595.1,-15.07629,-5.0432434
RS_GCF_020995455.1,3.0116608,-1.8657014
GB_GCA_022655035.1,13.358952,-6.31814
GB_GCA_022643175.1,3.5601203,-2.4428031
GB_GCA_021620345.1,-2.7373981,21.775784
GB_GCA_021638535.1,-13.419132,6.845577
GB_GCA_021632245.1,-15.519277,13.38031
GB_GCA_021640815.1,-16.186872,13.964083
GB_GCA_021626365.1,20.240236,-0.13139805
RS_GCF_021172105.3,10.381471,-0.31033856
GB_GCA_022425115.1,9.971637,5.8628244
RS_GCF_022214415.1,5.695157,-8.440928
RS_GCF_024813695.1,-3.0402348,0.81154525
RS_GCF_024915705.1,3.8084955,8.045594
RS_GCF_003865075.1,-0.15617657,-2.0456846
RS_GCF_023706845.1,12.356907,-7.1485047
RS_GCF_013013025.1,5.875775,-0.42062747
RS_GCF_016391375.1,2.398389,-11.07891
RS_GCF_016009075.1,11.923509,-15.232886
RS_GCF_007115365.1,-0.46761033,-2.5428574
RS_GCF_009859045.1,3.5715053,4.479736
RS_GCF_008802705.1,18.460922,-14.070093
RS_GCF_009925345.1,-5.399851,6.3057327
RS_GCF_015828215.1,-4.272938,6.2260313
RS_GCF_021607065.1,3.810423,-3.326299
RS_GCF_009660915.1,2.1688085,19.435
RS_GCF_009710125.1,13.587825,-2.7626286
GB_GCA_022800895.1,7.6437325,14.532166
RS_GCF_013368115.1,4.3906455,0.39012897
GB_GCA_019400055.1,9.969928,0.4765805
RS_GCF_013187705.1,-4.899536,10.196839
RS_GCF_015025045.1,-7.61495,-4.2063704
GB_GCA_020636995.1,-6.479748,0.46915832
GB_GCA_024236155.1,3.8516264,15.647528
GB_GCA_018883725.1,6.5040107,3.9712603
GB_GCA_017694735.1,6.50466,3.9716382
GB_GCA_020249305.1,-5.7038655,14.925512
GB_GCA_016285635.1,-19.300766,-8.968883
GB_GCA_016286335.1,-8.445666,-0.23898384
GB_GCA_016785045.1,-9.903259,13.208861
RS_GCF_023864385.1,7.1479325,-4.1482115
RS_GCF_017176255.1,4.053962,-9.578919
RS_GCF_016337245.1,2.395082,-11.081955
GB_GCA_023386445.1,-11.773383,11.043168
GB_GCA_023423225.1,-3.1963851,-0.1684179
RS_GCF_018474205.1,0.29822606,-6.101631
RS_GCF_016654305.1,2.0474524,6.557651
GB_GCA_018364715.1,1.7977675,-15.850008
GB_GCA_018375595.1,10.70732,-16.433926
RS_GCF_017132795.1,-6.8578243,5.166167
RS_GCF_018613205.1,7.6740623,-2.1153424
RS_GCF_023650755.1,-2.0324125,-9.914499
GB_GCA_019415265.1,10.998774,23.847937
GB_GCA_018678915.1,-11.702673,-1.2559294
GB_GCA_019580555.1,-2.200968,8.445121
GB_GCA_021735225.1,15.220282,-13.435476
GB_GCA_022486815.1,2.7509282,21.928545
GB_GCA_022484005.1,-5.481864,-16.047447
GB_GCA_021836405.1,6.673247,1.4615265
GB_GCA_021637225.1,-9.215559,-11.719586
GB_GCA_021640565.1,-9.214996,-11.720326
RS_GCF_022556955.1,8.752264,0.95187134
GB_GCA_022425485.1,-10.269591,-5.5845904
GB_GCA_022781885.1,-19.560394,-2.401921
RS_GCF_023160795.1,14.732678,1.8001328
RS_GCF_023160745.1,-3.7468455,-5.7524304
RS_GCF_022869435.1,-2.1536224,-10.034401
GB_GCA_023262545.1,8.192776,-16.404135
GB_GCA_023381495.1,13.304635,-11.77246
RS_GCF_024029595.1,-1.8150948,-6.243758
RS_GCF_024261505.1,-3.0394883,-15.003701
RS_GCF_015473085.1,-4.066879,-3.1169136
RS_GCF_902507755.1,16.268824,0.6884729
RS_GCF_902509245.1,16.268917,0.68796355
RS_GCF_004152285.1,-4.3589892,-1.8845543
RS_GCF_016009095.1,2.370474,-11.0537
GB_GCA_005777415.1,-2.10355,-9.984279
RS_GCF_015828045.1,-4.5010624,5.807479
GB_GCA_012952425.1,5.5446444,-10.128233
GB_GCA_015075145.1,-2.4269128,-2.3078032
GB_GCA_013911445.1,-2.0731213,-9.9541445
