locusId	sysName	scaffoldId	begin	end	strand	type	desc
UW163_RS00010	UW163_RS00010	NZ_CP012939	85	1079	+	7	YOPP/AvrRxv family protein
UW163_RS00015	UW163_RS00015	NZ_CP012939	1274	1554	+	7	DNA-binding protein
UW163_RS24265	UW163_RS24265	NZ_CP012939	1605	2247	-	7	hypothetical protein
UW163_RS24270	UW163_RS24270	NZ_CP012939	2222	2442	-	7	hypothetical protein
UW163_RS00030	UW163_RS00030	NZ_CP012939	2439	2831	-	1	hypothetical protein
UW163_RS00035	UW163_RS00035	NZ_CP012939	2840	3612	-	7	hypothetical protein
UW163_RS00040	UW163_RS00040	NZ_CP012939	3720	4166	-	1	hypothetical protein
UW163_RS00045	UW163_RS00045	NZ_CP012939	4173	4475	-	1	hypothetical protein
UW163_RS00050	UW163_RS00050	NZ_CP012939	4478	5482	-	1	minor capsid protein E
UW163_RS00055	UW163_RS00055	NZ_CP012939	5489	5866	-	1	head decoration protein
UW163_RS00060	UW163_RS00060	NZ_CP012939	5876	7126	-	1	serine protease ClpP
UW163_RS00065	UW163_RS00065	NZ_CP012939	7136	8674	-	1	phage portal protein
UW163_RS00070	UW163_RS00070	NZ_CP012939	8674	8895	-	1	hypothetical protein
UW163_RS00075	UW163_RS00075	NZ_CP012939	8895	9287	-	1	hypothetical protein
UW163_RS00080	UW163_RS00080	NZ_CP012939	9298	9807	-	1	hypothetical protein
UW163_RS00085	UW163_RS00085	NZ_CP012939	9851	11818	-	1	terminase
UW163_RS00090	UW163_RS00090	NZ_CP012939	11818	12354	-	1	hypothetical protein
UW163_RS00095	UW163_RS00095	NZ_CP012939	12368	12712	+	1	hypothetical protein
UW163_RS00100	UW163_RS00100	NZ_CP012939	12828	13322	+	1	DUF3489 domain-containing protein
UW163_RS00105	UW163_RS00105	NZ_CP012939	13446	13637	+	1	hypothetical protein
UW163_RS24275	UW163_RS24275	NZ_CP012939	13940	14851	+	1	hypothetical protein
UW163_RS00110	UW163_RS00110	NZ_CP012939	15087	15455	-	1	hypothetical protein
UW163_RS00115	UW163_RS00115	NZ_CP012939	15619	15807	+	1	hypothetical protein
UW163_RS00120	UW163_RS00120	NZ_CP012939	15960	16340	+	1	hypothetical protein
UW163_RS00125	UW163_RS00125	NZ_CP012939	18343	19614	-	1	DNA methylase N-4
UW163_RS00130	UW163_RS00130	NZ_CP012939	19611	21014	-	1	DNA methylase N-4
UW163_RS00135	UW163_RS00135	NZ_CP012939	21427	21834	-	1	hypothetical protein
UW163_RS00140	UW163_RS00140	NZ_CP012939	21824	22036	-	1	hypothetical protein
UW163_RS00145	UW163_RS00145	NZ_CP012939	22267	24576	-	1	hypothetical protein
UW163_RS00150	UW163_RS00150	NZ_CP012939	24560	24949	-	1	hypothetical protein
UW163_RS00155	UW163_RS00155	NZ_CP012939	24955	25359	-	1	hypothetical protein
UW163_RS00160	UW163_RS00160	NZ_CP012939	25432	26064	-	1	hypothetical protein
UW163_RS00165	UW163_RS00165	NZ_CP012939	26083	26955	-	1	phage related protein
UW163_RS00170	UW163_RS00170	NZ_CP012939	26952	27449	-	1	hypothetical protein
UW163_RS00175	UW163_RS00175	NZ_CP012939	27446	27730	-	1	DDE transposase family protein
UW163_RS00185	UW163_RS00185	NZ_CP012939	28863	30073	+	7	IS3 family transposase
UW163_RS00190	UW163_RS00190	NZ_CP012939	30078	30455	+	1	hypothetical protein
UW163_RS00195	UW163_RS00195	NZ_CP012939	30452	31312	+	1	hypothetical protein
UW163_RS00200	UW163_RS00200	NZ_CP012939	31459	32433	-	1	hypothetical protein
UW163_RS00205	UW163_RS00205	NZ_CP012939	32430	33677	-	1	hypothetical protein
UW163_RS00210	UW163_RS00210	NZ_CP012939	34061	35167	-	1	type III secretion system YopJ family effector PopP1
UW163_RS00215	UW163_RS00215	NZ_CP012939	36032	36217	-	1	hypothetical protein
UW163_RS00220	UW163_RS00220	NZ_CP012939	36423	36899	-	1	ATPase
UW163_RS00225	UW163_RS00225	NZ_CP012939	36892	37227	-	1	transcriptional regulator
UW163_RS00230	UW163_RS00230	NZ_CP012939	37452	38306	-	1	LysR family transcriptional regulator
UW163_RS00235	UW163_RS00235	NZ_CP012939	38427	39323	+	1	SDR family oxidoreductase
UW163_RS00240	UW163_RS00240	NZ_CP012939	39372	40445	+	1	alkene reductase
UW163_RS00245	UW163_RS00245	NZ_CP012939	40435	41193	+	1	pirin family protein
UW163_RS00250	UW163_RS00250	NZ_CP012939	42192	49221	+	7	Type III effector protein (Skwp5)
UW163_RS00255	UW163_RS00255	NZ_CP012939	49360	50184	-	1	endoglucanase
UW163_RS00260	UW163_RS00260	NZ_CP012939	50418	51038	-	1	glutathione transferase GstA
UW163_RS00265	UW163_RS00265	NZ_CP012939	51201	51563	+	1	transcriptional regulator
UW163_RS00270	UW163_RS00270	NZ_CP012939	51634	52026	-	1	hypothetical protein
UW163_RS00275	UW163_RS00275	NZ_CP012939	52279	52704	+	1	universal stress protein
UW163_RS00280	UW163_RS00280	NZ_CP012939	52838	53470	+	1	LysE family translocator
UW163_RS00285	UW163_RS00285	NZ_CP012939	53541	54791	+	1	oxidase
UW163_RS00290	UW163_RS00290	NZ_CP012939	54802	55185	+	1	sulfite:cytochrome C oxidoreductase subunit B
UW163_RS00295	UW163_RS00295	NZ_CP012939	55253	55480	-	1	sulfurtransferase TusA family protein
UW163_RS00300	UW163_RS00300	NZ_CP012939	55519	56100	-	1	NUDIX hydrolase
UW163_RS00305	UW163_RS00305	NZ_CP012939	56117	57154	-	1	low specificity L-threonine aldolase
UW163_RS00310	UW163_RS00310	NZ_CP012939	57196	57384	-	1	4-oxalocrotonate tautomerase
UW163_RS00315	UW163_RS00315	NZ_CP012939	57397	58182	-	1	class II aldolase
UW163_RS00320	UW163_RS00320	NZ_CP012939	58259	59476	-	1	MFS transporter
UW163_RS00325	UW163_RS00325	NZ_CP012939	59584	60492	+	1	LysR family transcriptional regulator
UW163_RS00330	UW163_RS00330	NZ_CP012939	60567	61979	+	1	serine protease
UW163_RS00335	UW163_RS00335	NZ_CP012939	62015	62764	+	1	membrane protein
UW163_RS00340	UW163_RS00340	NZ_CP012939	62774	63481	-	1	hypothetical protein
UW163_RS00345	UW163_RS00345	NZ_CP012939	63516	65624	-	1	TonB-dependent siderophore receptor
UW163_RS00350	UW163_RS00350	NZ_CP012939	65870	66910	-	1	hypothetical protein
UW163_RS00355	UW163_RS00355	NZ_CP012939	66907	68013	-	1	hypothetical protein
UW163_RS00360	UW163_RS00360	NZ_CP012939	68332	70974	-	1	alanine--tRNA ligase
UW163_RS00365	UW163_RS00365	NZ_CP012939	71160	72380	+	1	CoA transferase
UW163_RS00370	UW163_RS00370	NZ_CP012939	72414	72866	+	1	DUF2214 domain-containing protein
UW163_RS00375	UW163_RS00375	NZ_CP012939	73087	73572	+	1	tripartite tricarboxylate transporter TctB family protein
UW163_RS00380	UW163_RS00380	NZ_CP012939	73583	75085	+	1	tripartite tricarboxylate transporter permease
UW163_RS24280	UW163_RS24280	NZ_CP012939	75135	75452	+	1	hypothetical protein
UW163_RS00385	UW163_RS00385	NZ_CP012939	75518	77260	+	1	glutamine--tRNA ligase
UW163_RS00390	UW163_RS00390	NZ_CP012939	77305	77874	+	1	polyisoprenoid-binding protein
UW163_RS00395	UW163_RS00395	NZ_CP012939	77882	78103	+	1	RNA-binding protein
UW163_RS00400	UW163_RS00400	NZ_CP012939	78145	78528	+	1	membrane protein
UW163_RS00405	UW163_RS00405	NZ_CP012939	78602	79954	-	1	DUF3999 domain-containing protein
UW163_RS00410	UW163_RS00410	NZ_CP012939	79951	82767	-	1	DUF2339 domain-containing protein
UW163_RS00415	UW163_RS00415	NZ_CP012939	82981	83529	+	1	hypothetical protein
UW163_RS00420	UW163_RS00420	NZ_CP012939	83574	83927	+	1	peptidyl-prolyl cis-trans isomerase
UW163_RS00425	UW163_RS00425	NZ_CP012939	83991	84066	+	5	tRNA-Cys
UW163_RS00430	UW163_RS00430	NZ_CP012939	84202	84942	+	1	gamma-glutamylcyclotransferase
UW163_RS00435	UW163_RS00435	NZ_CP012939	84950	85735	+	1	MFS transporter
UW163_RS00440	UW163_RS00440	NZ_CP012939	85796	87502	-	1	long-chain-fatty-acid--CoA ligase
UW163_RS00445	UW163_RS00445	NZ_CP012939	87700	88542	+	1	thioredoxin
UW163_RS00450	UW163_RS00450	NZ_CP012939	88551	89216	+	1	DsbA family protein
UW163_RS00455	UW163_RS00455	NZ_CP012939	89301	89714	+	1	hemerythrin
UW163_RS00460	UW163_RS00460	NZ_CP012939	90013	92187	+	1	catalase/peroxidase HPI
UW163_RS00465	UW163_RS00465	NZ_CP012939	92290	93192	-	1	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
UW163_RS00470	UW163_RS00470	NZ_CP012939	93275	95524	+	1	AsmA family protein
UW163_RS00475	UW163_RS00475	NZ_CP012939	95544	95801	-	7	cytochrome C
UW163_RS00480	UW163_RS00480	NZ_CP012939	95840	98072	-	7	hydrolase
UW163_RS00485	UW163_RS00485	NZ_CP012939	98424	99062	+	1	pyridoxamine 5'-phosphate oxidase
UW163_RS00490	UW163_RS00490	NZ_CP012939	99271	100491	+	1	class I SAM-dependent methyltransferase
UW163_RS00495	UW163_RS00495	NZ_CP012939	100496	101563	+	1	DUF72 domain-containing protein
UW163_RS00500	UW163_RS00500	NZ_CP012939	101596	102156	-	1	peptide-methionine (S)-S-oxide reductase
UW163_RS00505	UW163_RS00505	NZ_CP012939	102386	102958	+	1	flavin reductase
UW163_RS00510	UW163_RS00510	NZ_CP012939	102968	103174	-	1	DUF3079 domain-containing protein
UW163_RS00515	UW163_RS00515	NZ_CP012939	103261	103785	-	1	Lrp/AsnC family transcriptional regulator
UW163_RS00520	UW163_RS00520	NZ_CP012939	103945	104574	+	1	arylformamidase
UW163_RS00525	UW163_RS00525	NZ_CP012939	104618	105871	+	1	kynureninase
UW163_RS00530	UW163_RS00530	NZ_CP012939	105873	106757	+	1	tryptophan 2,3-dioxygenase
UW163_RS00535	UW163_RS00535	NZ_CP012939	106768	107589	-	1	IclR family transcriptional regulator
UW163_RS00540	UW163_RS00540	NZ_CP012939	107692	108885	+	1	acyl-CoA dehydrogenase
UW163_RS00545	UW163_RS00545	NZ_CP012939	109308	110690	+	1	NCS2 family permease
UW163_RS00550	UW163_RS00550	NZ_CP012939	110856	111494	-	1	peroxiredoxin
UW163_RS00555	UW163_RS00555	NZ_CP012939	111820	112095	+	1	DUF883 domain-containing protein
UW163_RS00560	UW163_RS00560	NZ_CP012939	112301	112678	+	1	membrane protein
UW163_RS00565	UW163_RS00565	NZ_CP012939	112675	113205	+	1	DUF3318 domain-containing protein
UW163_RS00570	UW163_RS00570	NZ_CP012939	113293	113670	-	1	hypothetical protein
UW163_RS00575	UW163_RS00575	NZ_CP012939	113983	114675	+	1	ABC transporter ATP-binding protein
UW163_RS00580	UW163_RS00580	NZ_CP012939	114686	115504	+	1	iron export ABC transporter permease subunit FetB
UW163_RS00585	UW163_RS00585	NZ_CP012939	115507	115968	+	1	NUDIX hydrolase
UW163_RS00590	UW163_RS00590	NZ_CP012939	115972	116877	-	1	TauD/TfdA family dioxygenase
UW163_RS00595	UW163_RS00595	NZ_CP012939	116967	118139	-	1	acyl-CoA dehydrogenase
UW163_RS00600	UW163_RS00600	NZ_CP012939	118248	118733	-	1	nucleoside 2-deoxyribosyltransferase
UW163_RS00605	UW163_RS00605	NZ_CP012939	118880	119632	+	1	DNA/RNA non-specific endonuclease
UW163_RS00610	UW163_RS00610	NZ_CP012939	119811	120929	-	1	3-deoxy-7-phosphoheptulonate synthase
UW163_RS00615	UW163_RS00615	NZ_CP012939	121359	121434	-	5	tRNA-Lys
UW163_RS00620	UW163_RS00620	NZ_CP012939	121496	122611	-	1	YeeE/YedE family protein
UW163_RS00625	UW163_RS00625	NZ_CP012939	122629	123303	-	1	7-cyano-7-deazaguanine synthase QueC
UW163_RS00630	UW163_RS00630	NZ_CP012939	123466	124239	-	1	tol-pal system protein YbgF
UW163_RS00635	UW163_RS00635	NZ_CP012939	124309	124827	-	1	peptidoglycan-associated lipoprotein
UW163_RS00640	UW163_RS00640	NZ_CP012939	124852	126156	-	1	translocation protein TolB
UW163_RS00645	UW163_RS00645	NZ_CP012939	126214	127230	-	1	cell envelope integrity protein TolA
UW163_RS00650	UW163_RS00650	NZ_CP012939	127268	127702	-	1	protein TolR
UW163_RS00655	UW163_RS00655	NZ_CP012939	127715	128407	-	1	protein TolQ
